Zipcode,Median Age_2011,Population_2011,Population (White Alone)_2011,Population (Black Alone)_2011,Population (American Indian or Alaskan Native Alone)_2011,Population (Asian Alone)_2011,Population (Native Hawaiian and Other Pacific Islander Alone)_2011,Population (Two or more races)_2011,Household Income_2011,Per Capita Income_2011,Employed_2011,Unemployed_2011,Median Age_2012,Population_2012,Population (White Alone)_2012,Population (Black Alone)_2012,Population (American Indian or Alaskan Native Alone)_2012,Population (Asian Alone)_2012,Population (Native Hawaiian and Other Pacific Islander Alone)_2012,Population (Two or more races)_2012,Household Income_2012,Per Capita Income_2012,Employed_2012,Unemployed_2012,Median Age_2013,Population_2013,Population (White Alone)_2013,Population (Black Alone)_2013,Population (American Indian or Alaskan Native Alone)_2013,Population (Asian Alone)_2013,Population (Native Hawaiian and Other Pacific Islander Alone)_2013,Population (Two or more races)_2013,Household Income_2013,Per Capita Income_2013,Employed_2013,Unemployed_2013,Median Age_2014,Population_2014,Population (White Alone)_2014,Population (Black Alone)_2014,Population (American Indian or Alaskan Native Alone)_2014,Population (Asian Alone)_2014,Population (Native Hawaiian and Other Pacific Islander Alone)_2014,Population (Two or more races)_2014,Household Income_2014,Per Capita Income_2014,Employed_2014,Unemployed_2014,Median Age_2015,Population_2015,Population (White Alone)_2015,Population (Black Alone)_2015,Population (American Indian or Alaskan Native Alone)_2015,Population (Asian Alone)_2015,Population (Native Hawaiian and Other Pacific Islander Alone)_2015,Population (Two or more races)_2015,Household Income_2015,Per Capita Income_2015,Employed_2015,Unemployed_2015,Median Age_2016,Population_2016,Population (White Alone)_2016,Population (Black Alone)_2016,Population (American Indian or Alaskan Native Alone)_2016,Population (Asian Alone)_2016,Population (Native Hawaiian and Other Pacific Islander Alone)_2016,Population (Two or more races)_2016,Household Income_2016,Per Capita Income_2016,Employed_2016,Unemployed_2016,Median Age_2017,Population_2017,Population (White Alone)_2017,Population (Black Alone)_2017,Population (American Indian or Alaskan Native Alone)_2017,Population (Asian Alone)_2017,Population (Native Hawaiian and Other Pacific Islander Alone)_2017,Population (Two or more races)_2017,Household Income_2017,Per Capita Income_2017,Employed_2017,Unemployed_2017,Median Age_2018,Population_2018,Population (White Alone)_2018,Population (Black Alone)_2018,Population (American Indian or Alaskan Native Alone)_2018,Population (Asian Alone)_2018,Population (Native Hawaiian and Other Pacific Islander Alone)_2018,Population (Two or more races)_2018,Household Income_2018,Per Capita Income_2018,Employed_2018,Unemployed_2018
78702,32.5,20643,12260,3264,215,363,0,329,35350,18767,9261,1192,32.1,21032,12977,3236,219,359,0,474,34734,18843,9594,1198,32.3,21655,13869,3128,223,263,0,592,36197,19715,10254,1196,33.1,21855,14606,3008,102,276,0,642,37690,21922,10831,1073,34.2,21477,15111,2926,99,476,0,700,41016,24664,11301,959,33.5,22617,16413,3034,46,415,0,888,48174,27624,12152,842,33.3,22876,16739,3025,40,431,0,804,54053,31332,12896,791,33.4,23389,16875,3580,31,469,3,838,59705,35537,13355,682
78703,36.4,19579,17589,258,219,943,0,412,85379,64283,10883,382,36.4,19873,17849,375,202,940,0,376,92606,65368,11228,438,36.2,19860,17897,325,153,877,0,446,80569,66049,11415,532,35.8,20061,17719,321,184,1218,0,454,81903,70259,11762,607,36.1,20530,18006,307,144,1335,0,518,88163,72850,12220,460,36.4,20815,18414,254,57,1482,0,375,92746,77733,12551,394,36,20788,18558,120,38,1653,0,231,98553,79101,12715,339,36.1,20890,18214,239,46,1889,0,260,105207,85040,12716,247
78704,31.8,41616,34331,1636,366,581,17,933,47336,35317,26244,1938,31.4,41709,36458,1450,311,694,21,930,50248,36500,26160,1933,31.6,41999,37836,1413,288,718,0,1134,50930,37301,26813,1992,32,42770,38890,1139,302,765,0,1121,52306,38699,27508,1621,32,44668,40277,1305,226,1170,0,1184,58601,41560,29075,1355,32.2,46474,41970,1233,249,1256,33,1261,62283,43496,30599,1149,32.6,47158,41998,1496,298,1444,24,1322,66262,46947,31314,1119,33,48486,42676,1852,267,1573,27,1526,70511,53557,32404,1127
78705,20.8,29247,21882,976,62,4667,2,586,11910,10843,11056,1856,20.8,30532,23032,929,69,4756,2,756,11917,10617,11494,1941,20.9,31282,23448,1295,86,4622,3,935,12143,9791,11479,1835,20.9,31735,23725,1453,66,4658,3,980,12786,10529,12013,1738,21,32346,24055,1667,132,4607,3,1002,12385,11246,12242,1632,20.9,32414,23811,2064,99,4559,10,1130,13349,12075,12455,1279,21,33075,23827,2347,104,4910,9,1143,15309,12956,12909,1260,21,33948,24285,2415,113,5192,17,1145,19188,14074,13738,1302
78712,-666666666,544,436,0,0,27,0,0,-666666666,1595,54,27,19.5,554,426,0,0,55,0,0,-666666666,1508,74,19,19.6,548,414,44,0,45,0,0,-666666666,3448,111,21,19.6,557,400,49,8,35,0,16,-666666666,3474,138,16,19.7,828,590,93,9,46,0,36,-666666666,3369,225,48,19.8,848,586,136,9,40,0,48,-666666666,3748,238,68,19.6,845,591,156,9,18,0,44,-666666666,3606,234,71,19.7,860,633,132,8,18,0,44,-666666666,3015,229,70
78717,33.5,22278,15990,1180,0,3855,11,581,94112,39760,12034,583,33.9,23514,16829,1026,0,4254,12,671,93305,38702,12680,702,33.6,24099,17826,965,0,3997,7,796,93701,38401,12657,707,34.3,25427,18654,762,0,4884,0,832,99541,40670,13098,678,34.9,26072,18540,900,13,5320,0,988,100364,41582,13603,578,35.1,27101,19147,825,146,5761,31,804,103595,42516,14044,474,34.7,27764,18291,1097,200,6786,50,978,104167,45258,14236,399,34.7,30218,18218,1338,224,8374,108,1297,110085,45879,15479,444
78719,38.5,1427,924,4,11,0,0,14,39794,23095,615,75,38.3,1717,1181,48,10,0,0,12,39500,21788,639,114,36.1,1746,1351,55,0,0,0,13,38305,19582,684,97,40.4,1807,1548,58,0,0,0,18,38875,16961,663,31,46.3,1485,1221,0,0,3,0,35,41111,16382,618,24,43.6,1762,1456,42,0,6,0,24,45250,15407,749,31,43.5,2007,1300,105,0,6,0,56,46833,16838,944,16,44.4,1815,1170,95,0,4,0,41,58917,19199,935,14
78721,30.6,11100,4375,3537,159,74,11,198,30591,14687,4232,660,31.2,11178,4880,3882,232,77,12,346,32131,15281,4095,768,32.2,11482,5552,3748,223,38,8,326,33798,15789,4469,782,32.7,12087,5989,3825,264,84,14,363,36698,17371,4812,1008,32.9,12508,6671,3843,242,147,25,366,37234,17250,5201,907,33.4,12153,6848,3749,115,184,0,414,38301,17626,5768,696,34.6,12447,6841,3851,53,185,0,323,41611,20187,6210,638,34.6,12492,7154,3282,55,224,0,378,44076,22792,6559,442
78722,33.9,5733,4387,744,34,140,0,157,44798,32028,3650,255,33.1,5973,4548,808,53,159,0,181,44917,33293,3833,323,33.6,6355,4975,649,38,244,34,171,50923,36289,4038,340,32.7,6514,4925,726,48,224,35,263,54526,36879,4092,328,32.3,7006,5191,855,0,315,35,346,64929,38941,4567,303,32.3,7292,5587,973,0,195,32,445,63559,36416,4818,183,32.6,7254,5754,853,0,188,29,362,69267,43161,4971,129,32.6,7110,5584,840,0,150,0,411,71340,43950,4870,136
78723,30.2,29869,17621,8119,251,553,0,494,41839,20478,14263,1633,30.3,30999,20338,7410,231,553,0,730,41869,20893,14665,1594,30.9,31234,20679,7438,269,600,0,892,42939,22439,15145,1516,32.1,30955,20656,6985,135,597,0,846,42615,23108,15130,1534,31.9,32155,21832,6674,116,627,0,692,42433,23463,15878,1328,32.7,32496,22427,6233,97,575,0,711,42462,25830,16581,1088,33.7,33170,22059,6287,115,720,0,879,49606,29017,17855,914,33.8,34569,21822,7038,125,854,0,974,54707,31940,19024,877
