Zipcode,Median Age_2011,Population_2011,Population (White Alone)_2011,Population (Black Alone)_2011,Population (American Indian or Alaskan Native Alone)_2011,Population (Asian Alone)_2011,Population (Native Hawaiian and Other Pacific Islander Alone)_2011,Population (Two or more races)_2011,Household Income_2011,Per Capita Income_2011,Employed_2011,Unemployed_2011,Median Age_2012,Population_2012,Population (White Alone)_2012,Population (Black Alone)_2012,Population (American Indian or Alaskan Native Alone)_2012,Population (Asian Alone)_2012,Population (Native Hawaiian and Other Pacific Islander Alone)_2012,Population (Two or more races)_2012,Household Income_2012,Per Capita Income_2012,Employed_2012,Unemployed_2012,Median Age_2013,Population_2013,Population (White Alone)_2013,Population (Black Alone)_2013,Population (American Indian or Alaskan Native Alone)_2013,Population (Asian Alone)_2013,Population (Native Hawaiian and Other Pacific Islander Alone)_2013,Population (Two or more races)_2013,Household Income_2013,Per Capita Income_2013,Employed_2013,Unemployed_2013,Median Age_2014,Population_2014,Population (White Alone)_2014,Population (Black Alone)_2014,Population (American Indian or Alaskan Native Alone)_2014,Population (Asian Alone)_2014,Population (Native Hawaiian and Other Pacific Islander Alone)_2014,Population (Two or more races)_2014,Household Income_2014,Per Capita Income_2014,Employed_2014,Unemployed_2014,Median Age_2015,Population_2015,Population (White Alone)_2015,Population (Black Alone)_2015,Population (American Indian or Alaskan Native Alone)_2015,Population (Asian Alone)_2015,Population (Native Hawaiian and Other Pacific Islander Alone)_2015,Population (Two or more races)_2015,Household Income_2015,Per Capita Income_2015,Employed_2015,Unemployed_2015,Median Age_2016,Population_2016,Population (White Alone)_2016,Population (Black Alone)_2016,Population (American Indian or Alaskan Native Alone)_2016,Population (Asian Alone)_2016,Population (Native Hawaiian and Other Pacific Islander Alone)_2016,Population (Two or more races)_2016,Household Income_2016,Per Capita Income_2016,Employed_2016,Unemployed_2016,Median Age_2017,Population_2017,Population (White Alone)_2017,Population (Black Alone)_2017,Population (American Indian or Alaskan Native Alone)_2017,Population (Asian Alone)_2017,Population (Native Hawaiian and Other Pacific Islander Alone)_2017,Population (Two or more races)_2017,Household Income_2017,Per Capita Income_2017,Employed_2017,Unemployed_2017,Median Age_2018,Population_2018,Population (White Alone)_2018,Population (Black Alone)_2018,Population (American Indian or Alaskan Native Alone)_2018,Population (Asian Alone)_2018,Population (Native Hawaiian and Other Pacific Islander Alone)_2018,Population (Two or more races)_2018,Household Income_2018,Per Capita Income_2018,Employed_2018,Unemployed_2018
78734,43.7,16729,14361,30,94,383,10,102,85233,45415,8308,430,43.2,17824,15955,30,40,513,0,127,82904,46008,8570,647,43.1,18290,16476,65,35,597,0,131,87300,46328,9021,732,43.3,18498,16797,109,61,646,0,163,92904,47998,9076,647,43.8,18948,17676,157,53,705,0,319,95539,50463,8970,580,44.5,18997,17695,169,50,555,0,424,98019,54496,9306,634,46,18722,17405,251,45,475,0,496,107827,56728,9300,439,46.1,18745,17089,413,44,444,0,702,115458,59634,9352,365
78735,35.6,16024,13752,115,8,1060,0,324,74857,57616,8248,314,35.1,16882,14522,167,7,999,7,462,74571,55802,8362,334,35.6,17118,14736,199,8,1309,5,367,79984,51690,8791,463,36.3,17548,15559,173,41,1100,27,252,81152,53474,8891,500,38.4,17438,15706,243,27,1066,15,280,89245,60110,9151,422,38.5,16948,14721,531,31,1237,8,314,94375,58451,8907,430,38.1,17919,15496,518,31,1414,0,302,102551,63894,9504,382,38.6,17923,15436,566,25,1321,0,415,97636,67415,9346,367
78736,43.4,6599,5759,10,0,347,0,213,85826,39409,3662,203,44.4,6841,5957,13,0,420,0,215,84375,39407,3738,245,45.6,6599,5694,33,57,427,0,212,84940,40537,3561,213,44.7,7030,6253,36,45,344,22,225,86439,46424,3818,98,43.6,7621,6957,38,38,218,17,229,92581,47296,4289,104,42.9,7951,7073,47,64,457,11,212,97049,48586,4491,118,42.9,8199,7515,37,56,338,6,229,107467,50611,4587,55,43,9047,8395,30,16,270,6,277,109012,52693,4833,69
78737,39.8,12458,11416,148,104,423,0,86,115714,45085,5969,255,39.3,12882,11519,157,100,511,0,134,116250,46334,6347,278,40.6,13539,12164,173,5,519,0,189,121094,48326,6468,329,40.9,14167,12459,161,4,635,0,357,122886,48541,6929,295,41.6,14544,12928,127,4,659,0,338,127934,51269,7224,279,42.4,14731,13644,201,0,454,0,346,123312,51417,7235,275,42,15879,14313,237,0,498,0,590,127136,50418,7868,234,41.6,16160,14325,416,0,564,0,621,132245,54039,7916,260
78738,39.5,11504,10554,40,36,597,0,230,121522,53976,5057,288,39.4,12457,11134,41,16,956,0,240,126233,54528,5514,337,39.6,13141,11655,153,17,944,0,306,118795,49878,5677,445,40.3,13794,12208,188,19,1030,0,263,127683,51998,6100,436,40.5,14795,13053,132,15,1091,0,419,128160,54116,6496,439,41.5,14970,13023,217,0,1292,0,351,121505,54881,6804,356,41.8,15746,13640,210,0,1437,0,364,123836,60798,7355,359,42.3,15589,13640,216,0,1190,0,424,130699,65842,7531,257
78739,35.5,15957,13399,295,84,1079,0,516,132552,48088,7459,181,35.6,16911,14187,197,131,1208,0,766,126525,48456,7784,298,36,17198,14371,162,148,1141,0,882,128597,49116,7858,367,36.5,18068,15092,137,122,1559,0,826,130199,48912,8283,315,37.6,18442,15335,214,119,1608,0,961,132026,52040,8395,419,38.8,19564,16394,343,71,1896,0,659,134313,52042,9022,426,39.3,20191,16935,403,17,2024,0,688,147736,55652,9380,331,39.6,20312,16693,623,16,2144,0,625,150000,57555,9456,236
78741,25.3,46959,20892,4461,63,1929,132,1060,30021,15732,26415,2309,25.5,48246,25204,4658,273,2241,140,1472,30183,16270,27326,2736,26.3,48654,28950,4890,216,1776,39,1610,30871,16930,27187,2971,26.2,51274,34739,4875,342,1867,70,1815,31192,17324,28616,2684,26.7,51770,36724,5658,406,1880,16,1593,31657,18689,29320,2668,27.1,51981,37625,5479,557,2435,29,1668,34950,19878,30635,2209,27.8,52307,36884,6286,358,2303,58,1654,39049,22181,31829,1787,28,52716,36412,6658,680,2148,84,1555,41852,24866,32530,1504
78742,36.2,780,267,64,0,0,0,4,21071,14475,282,51,32.4,901,471,27,0,0,0,6,34076,15768,362,43,33.6,810,471,37,0,0,0,7,19688,15485,276,56,34.8,566,419,66,0,0,0,6,35700,20867,255,23,32.8,748,586,73,0,0,0,11,37375,21168,380,31,44.4,714,542,76,0,0,0,22,36250,20119,371,19,46.5,517,381,87,0,0,0,22,33182,23591,289,13,31.5,828,601,68,0,0,0,38,38958,18185,409,14
78744,27.5,41593,17907,3426,358,130,64,783,39652,15876,19993,1748,27.6,43452,22304,3459,536,176,18,1192,41056,15903,20607,2141,27.8,44375,26823,3536,698,186,9,1079,41721,16335,20906,2019,28.4,45830,31566,3407,737,145,11,1055,41331,16617,21670,1893,28.7,46408,32710,3330,614,272,17,1431,42440,16744,21459,1625,28.8,47211,35206,3676,584,293,21,1278,43871,16730,22843,1555,29.3,48432,36045,3510,566,425,0,1121,47073,18572,24411,1186,29.4,48969,33186,3871,436,565,0,1224,49633,19660,24858,1186
78745,33.6,55010,42196,1904,375,907,14,1515,48029,26135,32387,2586,34.8,54917,45698,2209,404,830,31,1497,49243,27671,32715,2622,35.3,57559,48567,2526,444,794,44,1725,50672,27260,33459,2787,35.5,58878,50287,2716,251,1028,43,1678,52949,27967,34285,2614,35.6,59758,51616,2955,219,1404,40,1794,55365,28827,35454,2317,35.5,61317,52843,3014,178,1453,20,1810,56778,30291,36567,2225,35.4,62220,53879,2911,170,1669,10,1827,60567,32404,37412,1857,35.3,62771,54003,3076,247,1655,0,1941,62265,34654,38770,1581
78746,41.7,26677,24134,175,28,1479,0,597,129188,77250,13055,534,41.5,26939,23716,181,29,1972,0,703,125327,77355,13107,598,41.7,27506,23854,199,33,2034,106,993,128936,76782,13202,587,40.9,27960,24195,181,17,2121,160,989,128556,78195,13609,554,41.5,27928,24245,234,5,2197,196,845,128184,80898,13774,542,41.7,27971,24341,177,17,2064,179,892,132551,82173,14083,547,42.2,28268,24871,189,18,2106,141,752,136138,84115,13907,518,42.1,28495,25335,253,10,2096,0,515,139951,84782,14191,570
78747,32.9,13179,7786,846,516,529,0,452,56357,29487,6911,479,33.1,14158,9101,847,634,734,0,360,57904,27794,7193,591,32.4,15919,10747,1202,326,640,0,560,61599,27087,8050,480,32,16753,12530,1079,313,462,0,753,62243,27708,8377,409,31.8,18544,14846,1052,358,388,0,559,67313,26670,9262,303,32,19876,15892,1392,205,480,16,837,75698,27284,10121,300,32.1,20954,16339,1375,149,456,15,789,79500,27493,10730,345,34.2,20166,14902,1272,128,628,10,547,81184,30099,10597,546
78748,31.8,37784,29989,1899,165,1184,44,1010,66661,32026,22543,1214,32.1,40290,32709,2140,36,1365,68,1288,65889,31270,23406,1520,32.2,41710,35449,1872,61,1482,41,1253,66309,31940,23986,1952,32.4,44907,36837,2381,55,1966,52,1857,68835,31912,26183,1681,32.9,46679,38478,2202,56,2065,69,2110,70141,32018,27514,1401,33.7,47966,39602,2423,157,2351,23,2285,72908,33717,28185,1336,33.9,49142,40617,3015,145,2295,6,2038,74176,34595,29047,1098,34.6,50997,41671,3229,160,2427,10,2443,77700,35891,30214,815
78749,34.8,33947,27816,1483,145,2461,17,971,79712,39161,19893,650,34.9,34391,28560,1292,146,2391,22,1146,80956,38495,19739,770,36.2,34392,28926,1200,198,2364,17,1061,84907,39897,19549,811,36.5,35183,29231,1194,168,2892,0,1191,84954,40471,19776,1103,36.6,36210,30269,1009,153,3119,0,1243,89713,42215,20989,1093,36.7,36478,30168,1191,126,3191,0,1256,87421,42911,21725,1191,36.7,37453,30820,1185,68,3574,0,1377,92313,45232,22114,1143,37,37774,30241,1623,40,4041,0,1426,98953,48575,22561,1092
78750,39.6,26734,20569,1303,32,2704,16,793,79685,45128,14467,935,39.5,27119,21697,853,18,2745,82,789,75958,43194,14391,925,38.9,27012,21255,907,15,3097,67,800,76236,42397,14534,1031,39.6,27912,22452,806,0,3111,54,934,73659,41418,14899,1125,39.1,28626,22983,598,9,3529,22,1046,76285,42435,14969,1209,38.7,29991,23354,659,106,4363,55,1185,79228,44050,15733,1062,39.1,30758,22617,1206,142,5029,5,1386,81061,47248,16066,1148,39.7,30847,22743,1286,135,4702,6,1533,91585,51125,16209,1056
78751,28,14526,12044,252,0,1027,0,647,37521,30867,9287,795,28.3,14340,12132,242,0,798,0,562,38624,31026,9231,888,29.3,14045,11794,194,0,808,0,659,39032,33636,9279,908,29.1,13838,11604,113,42,786,0,516,41279,36020,9091,894,29,14441,12004,200,48,872,0,527,45726,37171,9668,710,29.4,14648,12169,353,98,940,0,451,51567,39807,10014,624,29.5,14949,12373,373,102,998,17,457,54129,42009,10305,531,29.5,15805,13168,518,120,969,35,429,59926,46170,10877,449
78752,30.3,16494,11640,2192,69,382,0,284,33173,18983,9407,918,30.4,17170,11332,2607,158,493,0,269,33271,18706,9518,963,30.2,18381,12439,2220,168,513,0,322,34716,18845,9979,929,30,19639,12389,2366,204,631,0,360,37396,19943,10957,924,30.3,20153,12291,2334,194,511,0,464,38841,20326,10947,845,30.7,19902,12767,2180,118,274,0,375,38363,21632,10856,686,30.4,20302,12808,1779,188,365,0,431,41486,24519,11573,524,31,21324,12814,1995,379,454,0,601,45644,26276,12356,638
78753,29.2,51547,28196,6274,640,3253,0,894,40463,18369,26753,2626,29.6,52384,28844,6524,516,3183,82,1061,39593,18137,26866,2577,29.8,52674,30289,6577,449,3152,30,1227,38884,18115,27016,2616,30.4,53994,32767,6161,424,3286,38,1011,39228,18722,27730,2213,30.2,55077,33217,6195,245,3307,93,1182,40376,20037,29455,1794,30.6,56131,33935,6444,280,3403,87,1323,41489,20913,29508,1672,30.9,58693,35101,6597,518,3543,30,1688,45983,22774,31754,1691,31.2,59085,34872,7040,654,3682,38,1788,49065,24078,31742,1631
78754,29.9,13326,5969,2579,22,1702,192,470,54087,27113,7624,496,30.3,13570,6512,2585,34,2047,0,456,53274,27534,7787,736,31.7,15109,7339,2924,33,2547,0,631,54896,27663,8468,824,32.4,16494,8451,3747,23,2426,0,779,53040,26892,9035,952,33.1,19020,10528,4034,46,2812,0,840,53962,28179,10323,1047,32.4,21764,12323,3903,122,3124,101,1011,56819,28954,11852,1113,32.6,23858,13224,4216,190,2925,142,1326,64114,30299,12597,942,32.4,24408,13368,4197,191,3336,114,1261,67224,31605,13210,733
78756,35.9,7682,7036,236,2,242,15,65,59745,43663,4941,240,35.5,8060,7244,240,0,380,21,64,59685,43571,5164,197,34.8,8125,7051,404,0,315,52,149,59854,43422,5226,123,35.2,8685,7336,427,0,527,54,138,63750,46095,5517,124,35.4,8908,7482,338,0,564,66,219,64978,47118,5677,140,34.7,8798,7440,351,0,431,71,276,69583,51270,5908,125,36,8377,7115,379,0,382,41,300,73578,56590,5744,67,35.6,8323,7256,225,0,414,0,277,82705,59679,5828,77
78757,37.4,22542,18773,389,39,735,0,298,54205,32848,13312,771,37.9,22718,18917,352,43,664,0,256,55156,33963,13360,821,37.8,22655,19264,481,42,637,0,300,57429,35045,13372,695,37.1,23442,20105,465,39,688,0,364,60856,36098,13942,651,37.8,23118,19373,372,26,792,0,462,61497,38542,13966,538,37.2,23611,19798,368,0,894,0,506,62992,41052,14294,471,37,24059,19808,317,0,776,0,637,65709,43043,14408,389,36.9,24823,20493,334,0,830,0,666,70489,45121,14791,297
78758,29.5,43577,21342,5678,338,3063,33,1043,42194,22246,24059,2483,29.8,45105,23949,6318,212,2722,43,996,41792,22340,24757,2717,30.2,45623,25632,5183,155,3262,36,1057,43537,23608,25172,2668,30.3,45134,27434,4687,142,3371,0,1164,44476,23937,24759,2427,30.8,46972,30134,4505,190,2952,0,1317,43979,24163,26256,2158,31.2,46506,31382,4116,138,2769,0,1288,47244,26184,26722,1510,31.4,46618,31026,3687,161,2815,0,1196,50018,27889,27267,1285,32.4,47470,31347,3732,531,2903,0,1129,53547,30082,28422,1176
78759,36,40602,31247,1287,44,4673,0,1072,65851,45221,23969,1580,37.4,39850,30981,1393,36,4938,0,995,65672,46871,23877,1693,37.8,39895,31357,1105,55,4585,0,1301,66828,47979,24114,1801,38.5,40067,31755,1196,51,4431,0,1449,70095,48542,24008,1600,38.9,40629,32430,1561,44,4490,0,1486,71647,48713,23910,1516,39.4,41415,33122,1504,39,4683,0,1262,74379,50095,24086,1182,40,41847,33736,1510,41,4505,0,1393,76749,51401,24512,1087,40,42524,34341,1551,39,4722,14,1272,81066,53867,25343,1005
