Zipcode,Median year housing units were built_2011,Median contract rent_2011,Median gross rent (contract rent plus utilities)_2011,Median value (dollars) for Owner-Occupied housing units_2011,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2011,Median year housing units were built_2012,Median contract rent_2012,Median gross rent (contract rent plus utilities)_2012,Median value (dollars) for Owner-Occupied housing units_2012,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2012,Median year housing units were built_2013,Median contract rent_2013,Median gross rent (contract rent plus utilities)_2013,Median value (dollars) for Owner-Occupied housing units_2013,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2013,Median year housing units were built_2014,Median contract rent_2014,Median gross rent (contract rent plus utilities)_2014,Median value (dollars) for Owner-Occupied housing units_2014,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2014,Median year housing units were built_2015,Median contract rent_2015,Median gross rent (contract rent plus utilities)_2015,Median value (dollars) for Owner-Occupied housing units_2015,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2015,Median year housing units were built_2016,Median contract rent_2016,Median gross rent (contract rent plus utilities)_2016,Median value (dollars) for Owner-Occupied housing units_2016,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2016,Median year housing units were built_2017,Median contract rent_2017,Median gross rent (contract rent plus utilities)_2017,Median value (dollars) for Owner-Occupied housing units_2017,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2017,Median year housing units were built_2018,Median contract rent_2018,Median gross rent (contract rent plus utilities)_2018,Median value (dollars) for Owner-Occupied housing units_2018,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2018
78723,1971,654,815,168300,1400,1971,666,817,176500,1408,1973,680,840,178500,1449,1974,691,850,189100,1526,1974,698,856,207600,1572,1975,757,889,231300,1641,1975,830,964,268700,1771,1975,893,1049,300600,1892
78724,1993,694,939,106300,1186,1990,711,962,105700,1230,1993,719,947,102000,1246,1996,733,953,97900,1248,1997,747,946,109100,1237,1996,825,1038,111500,1226,1997,846,1091,122100,1240,1997,933,1216,133400,1294
78725,2000,1010,1197,112900,1200,1999,951,1189,114400,1185,2000,951,1289,111800,1203,2000,1031,1351,115800,1221,2001,973,1291,121100,1232,2001,979,1307,123300,1241,2002,1068,1338,137800,1192,2004,1247,1504,160200,1370
78726,2001,863,1037,348100,2565,2001,870,1050,349900,2438,2001,872,1051,344700,2506,2001,895,1046,350500,2477,2001,887,1059,358100,2355,2000,908,1092,378200,2418,2001,1015,1136,392800,2646,2001,1064,1189,447400,2756
78727,1993,853,989,197300,1615,1992,891,1050,198500,1662,1992,935,1117,202600,1687,1992,956,1147,206400,1661,1992,970,1160,215500,1635,1992,1011,1192,226300,1672,1993,1083,1219,249700,1738,1994,1141,1274,271200,1796
78728,1993,752,887,167200,1511,1992,767,901,168600,1491,1992,803,940,170500,1489,1993,832,962,175200,1491,1993,862,991,182300,1505,1993,904,1046,188100,1553,1993,946,1093,205500,1593,1994,992,1132,228200,1645
78729,1990,853,1012,187300,1616,1990,857,1008,192300,1646,1991,857,1027,191300,1639,1991,867,1039,198600,1635,1991,879,1057,205600,1618,1991,931,1100,218600,1638,1991,987,1178,234200,1715,1992,1086,1250,261800,1782
78730,1998,962,1101,579300,3325,1998,973,1106,570400,3184,1999,987,1138,580300,3191,1999,1016,1172,557000,3156,1998,1011,1187,576100,3247,1999,1083,1219,641200,3727,1999,1154,1281,659400,3798,1999,1219,1329,700300,4001
78731,1977,861,969,429700,2618,1977,895,1016,436800,2635,1977,953,1098,442300,2779,1978,985,1119,452500,2807,1977,1013,1150,476400,2839,1978,1038,1186,509600,2879,1978,1074,1231,572700,2968,1977,1150,1266,606000,3109
78732,2003,1513,1573,375300,2924,2003,1431,1688,388600,3006,2003,1419,1702,389900,3059,2003,1213,1406,411100,3102,2004,1327,1393,467300,3226,2004,1359,1489,484100,3241,2004,1394,1466,495800,3221,2005,1456,1496,519100,3266
78733,1992,1266,1521,439800,2774,1992,1268,1496,467700,2775,1992,1260,1459,487900,2945,1993,1293,1485,489900,3012,1994,1403,1653,497900,3037,1994,1434,1608,528100,3084,1993,1292,1511,533800,3105,1993,1720,1842,579500,3193
78734,1991,1024,1297,322500,2198,1992,1086,1311,321700,2303,1993,1100,1300,326900,2302,1992,1140,1328,325000,2276,1992,1269,1564,340800,2222,1992,1292,1495,352300,2221,1991,1467,1715,377400,2289,1993,1540,1759,406800,2432
78735,1996,955,1107,375100,2738,1996,968,1122,379900,2791,1996,1026,1147,373400,2685,1997,1086,1191,387600,2756,1998,1122,1240,410400,2628,1998,1178,1304,426500,2653,1999,1215,1362,463200,2729,1999,1312,1453,482400,2847
