,Zipcode,Median year housing units were built_2011,Median contract rent_2011,Median gross rent (contract rent plus utilities)_2011,Median value (dollars) for Owner-Occupied housing units_2011,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2011,Median year housing units were built_2012,Median contract rent_2012,Median gross rent (contract rent plus utilities)_2012,Median value (dollars) for Owner-Occupied housing units_2012,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2012,Median year housing units were built_2013,Median contract rent_2013,Median gross rent (contract rent plus utilities)_2013,Median value (dollars) for Owner-Occupied housing units_2013,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2013,Median year housing units were built_2014,Median contract rent_2014,Median gross rent (contract rent plus utilities)_2014,Median value (dollars) for Owner-Occupied housing units_2014,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2014,Median year housing units were built_2015,Median contract rent_2015,Median gross rent (contract rent plus utilities)_2015,Median value (dollars) for Owner-Occupied housing units_2015,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2015,Median year housing units were built_2016,Median contract rent_2016,Median gross rent (contract rent plus utilities)_2016,Median value (dollars) for Owner-Occupied housing units_2016,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2016,Median year housing units were built_2017,Median contract rent_2017,Median gross rent (contract rent plus utilities)_2017,Median value (dollars) for Owner-Occupied housing units_2017,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2017,Median year housing units were built_2018,Median contract rent_2018,Median gross rent (contract rent plus utilities)_2018,Median value (dollars) for Owner-Occupied housing units_2018,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2018
10,78702,1957.0,545.0,695.0,167500.0,1319.0,1960.0,584.0,766.0,175400.0,1337.0,1963.0,606.0,807.0,188000.0,1333.0,1964.0,645.0,839.0,203200.0,1501.0,1965.0,694.0,893.0,235400.0,1521.0,1968.0,782.0,990.0,251000.0,1628.0,1968.0,838.0,1020.0,297700.0,1733.0,1972.0,962.0,1159.0,361500.0,1945.0
11,78703,1958.0,965.0,1093.0,593800.0,3273.0,1961.0,1059.0,1183.0,621900.0,3230.0,1964.0,1086.0,1192.0,641200.0,3285.0,1964.0,1129.0,1224.0,692800.0,3404.0,1965.0,1167.0,1266.0,704700.0,3365.0,1966.0,1230.0,1362.0,735000.0,3444.0,1967.0,1227.0,1319.0,767400.0,3595.0,1969.0,1337.0,1452.0,822800.0,3741.0
12,78704,1974.0,768.0,895.0,330100.0,2074.0,1974.0,814.0,940.0,338200.0,2112.0,1975.0,865.0,983.0,347500.0,2127.0,1975.0,922.0,1041.0,361300.0,2119.0,1976.0,965.0,1088.0,385700.0,2187.0,1977.0,1038.0,1167.0,421800.0,2296.0,1978.0,1115.0,1235.0,464400.0,2466.0,1979.0,1203.0,1344.0,500600.0,2618.0
13,78705,1977.0,891.0,1001.0,300000.0,2213.0,1979.0,971.0,1088.0,292500.0,2207.0,1980.0,971.0,1088.0,307200.0,2411.0,1981.0,976.0,1094.0,342000.0,2633.0,1982.0,993.0,1108.0,385600.0,2868.0,1985.0,1035.0,1140.0,432800.0,3076.0,1984.0,1124.0,1198.0,417800.0,2732.0,1984.0,1176.0,1238.0,444700.0,2788.0
14,78712,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
15,78717,2002.0,846.0,977.0,245700.0,2218.0,2002.0,872.0,1018.0,243200.0,2215.0,2002.0,894.0,1023.0,247200.0,2201.0,2003.0,932.0,1068.0,253400.0,2196.0,2003.0,974.0,1103.0,273200.0,2206.0,2003.0,1053.0,1188.0,286400.0,2154.0,2004.0,1115.0,1250.0,319800.0,2261.0,2004.0,1201.0,1338.0,347900.0,2444.0
16,78719,1992.0,875.0,1188.0,105900.0,1119.0,1993.0,303.0,442.0,111000.0,1239.0,1991.0,194.0,439.0,112500.0,1135.0,1987.0,196.0,441.0,112200.0,1200.0,1985.0,525.0,817.0,113300.0,1156.0,1985.0,672.0,848.0,121200.0,1193.0,1986.0,691.0,859.0,129700.0,1151.0,1985.0,686.0,840.0,131800.0,1261.0
17,78721,1971.0,640.0,830.0,121700.0,1128.0,1970.0,668.0,870.0,121000.0,1119.0,1972.0,701.0,899.0,124800.0,1164.0,1973.0,710.0,920.0,140400.0,1196.0,1971.0,710.0,920.0,156800.0,1240.0,1972.0,755.0,970.0,178100.0,1268.0,1970.0,813.0,990.0,212400.0,1303.0,1972.0,902.0,1100.0,245500.0,1337.0
18,78722,1954.0,737.0,887.0,251200.0,1917.0,1955.0,814.0,930.0,265100.0,1961.0,1956.0,870.0,974.0,279200.0,1981.0,1956.0,923.0,1055.0,288600.0,2017.0,1956.0,953.0,1081.0,293000.0,1964.0,1954.0,1027.0,1170.0,313300.0,1916.0,1953.0,1115.0,1280.0,358900.0,1904.0,1953.0,1194.0,1359.0,382700.0,1934.0
19,78723,1971.0,654.0,815.0,168300.0,1400.0,1971.0,666.0,817.0,176500.0,1408.0,1973.0,680.0,840.0,178500.0,1449.0,1974.0,691.0,850.0,189100.0,1526.0,1974.0,698.0,856.0,207600.0,1572.0,1975.0,757.0,889.0,231300.0,1641.0,1975.0,830.0,964.0,268700.0,1771.0,1975.0,893.0,1049.0,300600.0,1892.0
20,78724,1993.0,694.0,939.0,106300.0,1186.0,1990.0,711.0,962.0,105700.0,1230.0,1993.0,719.0,947.0,102000.0,1246.0,1996.0,733.0,953.0,97900.0,1248.0,1997.0,747.0,946.0,109100.0,1237.0,1996.0,825.0,1038.0,111500.0,1226.0,1997.0,846.0,1091.0,122100.0,1240.0,1997.0,933.0,1216.0,133400.0,1294.0
21,78725,2000.0,1010.0,1197.0,112900.0,1200.0,1999.0,951.0,1189.0,114400.0,1185.0,2000.0,951.0,1289.0,111800.0,1203.0,2000.0,1031.0,1351.0,115800.0,1221.0,2001.0,973.0,1291.0,121100.0,1232.0,2001.0,979.0,1307.0,123300.0,1241.0,2002.0,1068.0,1338.0,137800.0,1192.0,2004.0,1247.0,1504.0,160200.0,1370.0
22,78726,2001.0,863.0,1037.0,348100.0,2565.0,2001.0,870.0,1050.0,349900.0,2438.0,2001.0,872.0,1051.0,344700.0,2506.0,2001.0,895.0,1046.0,350500.0,2477.0,2001.0,887.0,1059.0,358100.0,2355.0,2000.0,908.0,1092.0,378200.0,2418.0,2001.0,1015.0,1136.0,392800.0,2646.0,2001.0,1064.0,1189.0,447400.0,2756.0
23,78727,1993.0,853.0,989.0,197300.0,1615.0,1992.0,891.0,1050.0,198500.0,1662.0,1992.0,935.0,1117.0,202600.0,1687.0,1992.0,956.0,1147.0,206400.0,1661.0,1992.0,970.0,1160.0,215500.0,1635.0,1992.0,1011.0,1192.0,226300.0,1672.0,1993.0,1083.0,1219.0,249700.0,1738.0,1994.0,1141.0,1274.0,271200.0,1796.0
24,78728,1993.0,752.0,887.0,167200.0,1511.0,1992.0,767.0,901.0,168600.0,1491.0,1992.0,803.0,940.0,170500.0,1489.0,1993.0,832.0,962.0,175200.0,1491.0,1993.0,862.0,991.0,182300.0,1505.0,1993.0,904.0,1046.0,188100.0,1553.0,1993.0,946.0,1093.0,205500.0,1593.0,1994.0,992.0,1132.0,228200.0,1645.0
25,78729,1990.0,853.0,1012.0,187300.0,1616.0,1990.0,857.0,1008.0,192300.0,1646.0,1991.0,857.0,1027.0,191300.0,1639.0,1991.0,867.0,1039.0,198600.0,1635.0,1991.0,879.0,1057.0,205600.0,1618.0,1991.0,931.0,1100.0,218600.0,1638.0,1991.0,987.0,1178.0,234200.0,1715.0,1992.0,1086.0,1250.0,261800.0,1782.0
26,78730,1998.0,962.0,1101.0,579300.0,3325.0,1998.0,973.0,1106.0,570400.0,3184.0,1999.0,987.0,1138.0,580300.0,3191.0,1999.0,1016.0,1172.0,557000.0,3156.0,1998.0,1011.0,1187.0,576100.0,3247.0,1999.0,1083.0,1219.0,641200.0,3727.0,1999.0,1154.0,1281.0,659400.0,3798.0,1999.0,1219.0,1329.0,700300.0,4001.0
27,78731,1977.0,861.0,969.0,429700.0,2618.0,1977.0,895.0,1016.0,436800.0,2635.0,1977.0,953.0,1098.0,442300.0,2779.0,1978.0,985.0,1119.0,452500.0,2807.0,1977.0,1013.0,1150.0,476400.0,2839.0,1978.0,1038.0,1186.0,509600.0,2879.0,1978.0,1074.0,1231.0,572700.0,2968.0,1977.0,1150.0,1266.0,606000.0,3109.0
28,78732,2003.0,1513.0,1573.0,375300.0,2924.0,2003.0,1431.0,1688.0,388600.0,3006.0,2003.0,1419.0,1702.0,389900.0,3059.0,2003.0,1213.0,1406.0,411100.0,3102.0,2004.0,1327.0,1393.0,467300.0,3226.0,2004.0,1359.0,1489.0,484100.0,3241.0,2004.0,1394.0,1466.0,495800.0,3221.0,2005.0,1456.0,1496.0,519100.0,3266.0
29,78733,1992.0,1266.0,1521.0,439800.0,2774.0,1992.0,1268.0,1496.0,467700.0,2775.0,1992.0,1260.0,1459.0,487900.0,2945.0,1993.0,1293.0,1485.0,489900.0,3012.0,1994.0,1403.0,1653.0,497900.0,3037.0,1994.0,1434.0,1608.0,528100.0,3084.0,1993.0,1292.0,1511.0,533800.0,3105.0,1993.0,1720.0,1842.0,579500.0,3193.0
30,78734,1991.0,1024.0,1297.0,322500.0,2198.0,1992.0,1086.0,1311.0,321700.0,2303.0,1993.0,1100.0,1300.0,326900.0,2302.0,1992.0,1140.0,1328.0,325000.0,2276.0,1992.0,1269.0,1564.0,340800.0,2222.0,1992.0,1292.0,1495.0,352300.0,2221.0,1991.0,1467.0,1715.0,377400.0,2289.0,1993.0,1540.0,1759.0,406800.0,2432.0
31,78735,1996.0,955.0,1107.0,375100.0,2738.0,1996.0,968.0,1122.0,379900.0,2791.0,1996.0,1026.0,1147.0,373400.0,2685.0,1997.0,1086.0,1191.0,387600.0,2756.0,1998.0,1122.0,1240.0,410400.0,2628.0,1998.0,1178.0,1304.0,426500.0,2653.0,1999.0,1215.0,1362.0,463200.0,2729.0,1999.0,1312.0,1453.0,482400.0,2847.0
32,78736,1986.0,888.0,1023.0,212600.0,1690.0,1987.0,990.0,1146.0,215500.0,1719.0,1987.0,1032.0,1236.0,228900.0,1758.0,1987.0,1080.0,1348.0,237000.0,1679.0,1988.0,1131.0,1373.0,266100.0,1833.0,1988.0,1110.0,1219.0,290200.0,2087.0,1987.0,1267.0,1425.0,313700.0,2236.0,1988.0,1327.0,1490.0,330000.0,2278.0
33,78737,1995.0,958.0,1139.0,325000.0,2448.0,1995.0,1136.0,1185.0,324500.0,2478.0,1997.0,1182.0,1232.0,338700.0,2545.0,1998.0,976.0,1214.0,341300.0,2561.0,1999.0,1520.0,1579.0,350900.0,2553.0,2001.0,1634.0,2023.0,370800.0,2558.0,2002.0,1700.0,1979.0,394600.0,2679.0,2003.0,1409.0,1565.0,428000.0,2861.0
34,78738,2002.0,1172.0,1281.0,459300.0,3061.0,2002.0,1183.0,1341.0,466700.0,3246.0,2002.0,1185.0,1344.0,460200.0,3200.0,2003.0,1216.0,1373.0,456300.0,3139.0,2003.0,1240.0,1402.0,469200.0,3106.0,2004.0,1267.0,1407.0,486000.0,3038.0,2005.0,1350.0,1435.0,496300.0,3039.0,2005.0,1408.0,1529.0,553000.0,3158.0
35,78739,2000.0,1889.0,2001.0,349000.0,2589.0,2000.0,2001.0,2001.0,350500.0,2568.0,2000.0,1948.0,2001.0,355900.0,2553.0,2001.0,1985.0,2001.0,364600.0,2563.0,2000.0,2170.0,2282.0,381400.0,2510.0,2000.0,2243.0,2316.0,394600.0,2519.0,2001.0,2263.0,2339.0,426700.0,2587.0,2001.0,2240.0,2309.0,447500.0,2720.0
36,78741,1984.0,670.0,811.0,117000.0,1208.0,1984.0,682.0,835.0,120200.0,1255.0,1985.0,699.0,851.0,127500.0,1278.0,1985.0,720.0,866.0,133400.0,1325.0,1986.0,753.0,901.0,139000.0,1312.0,1986.0,815.0,951.0,141300.0,1231.0,1987.0,873.0,1002.0,156800.0,1416.0,1987.0,932.0,1082.0,194000.0,1546.0
37,78742,1981.0,336.0,669.0,44200.0,756.0,1980.0,346.0,639.0,54400.0,772.0,1983.0,437.0,690.0,72100.0,778.0,1976.0,736.0,908.0,84500.0,784.0,1976.0,735.0,911.0,76400.0,980.0,1978.0,757.0,963.0,80600.0,917.0,1975.0,838.0,1048.0,86100.0,1078.0,1974.0,953.0,1067.0,58300.0,-666666666.0
38,78744,1987.0,709.0,898.0,108800.0,1259.0,1987.0,729.0,946.0,108100.0,1263.0,1988.0,760.0,962.0,106500.0,1243.0,1988.0,780.0,982.0,107200.0,1252.0,1989.0,804.0,1012.0,106000.0,1206.0,1989.0,848.0,1067.0,111400.0,1180.0,1990.0,888.0,1104.0,121500.0,1233.0,1992.0,942.0,1157.0,138500.0,1271.0
39,78745,1979.0,796.0,958.0,159800.0,1369.0,1980.0,832.0,990.0,166200.0,1378.0,1979.0,853.0,1020.0,170200.0,1395.0,1979.0,879.0,1058.0,174600.0,1414.0,1979.0,913.0,1092.0,183900.0,1425.0,1979.0,961.0,1140.0,204500.0,1468.0,1980.0,1052.0,1218.0,229200.0,1534.0,1980.0,1115.0,1293.0,255200.0,1628.0
40,78746,1986.0,1070.0,1205.0,610800.0,3401.0,1986.0,1117.0,1221.0,619900.0,3334.0,1986.0,1132.0,1225.0,634000.0,3407.0,1986.0,1192.0,1325.0,666600.0,3509.0,1987.0,1250.0,1421.0,713400.0,3506.0,1986.0,1299.0,1449.0,749000.0,3560.0,1986.0,1316.0,1456.0,812900.0,3825.0,1986.0,1389.0,1519.0,851900.0,3948.0
41,78747,2001.0,849.0,1048.0,170700.0,1483.0,2002.0,881.0,1061.0,163000.0,1457.0,2002.0,908.0,1104.0,167800.0,1471.0,2002.0,896.0,1147.0,168100.0,1438.0,2002.0,970.0,1180.0,169400.0,1420.0,2002.0,1057.0,1309.0,177600.0,1435.0,2002.0,1167.0,1387.0,203800.0,1451.0,2003.0,1253.0,1390.0,222700.0,1479.0
42,78748,1994.0,888.0,1086.0,181800.0,1617.0,1995.0,902.0,1095.0,185500.0,1612.0,1996.0,942.0,1138.0,187900.0,1624.0,1996.0,989.0,1181.0,192800.0,1613.0,1996.0,1008.0,1198.0,205800.0,1572.0,1997.0,1067.0,1240.0,221000.0,1589.0,1999.0,1139.0,1326.0,238600.0,1641.0,2000.0,1229.0,1392.0,256200.0,1703.0
43,78749,1994.0,939.0,1093.0,229900.0,1756.0,1994.0,984.0,1150.0,233900.0,1797.0,1994.0,1008.0,1178.0,237800.0,1828.0,1994.0,1078.0,1214.0,248300.0,1848.0,1994.0,1137.0,1284.0,257400.0,1835.0,1994.0,1162.0,1307.0,275600.0,1837.0,1994.0,1192.0,1335.0,296900.0,1942.0,1994.0,1266.0,1396.0,322400.0,1984.0
44,78750,1985.0,808.0,989.0,295300.0,2079.0,1985.0,854.0,1012.0,303100.0,2030.0,1986.0,883.0,1063.0,306900.0,2040.0,1986.0,894.0,1097.0,312500.0,2031.0,1986.0,946.0,1151.0,322700.0,1976.0,1987.0,1002.0,1222.0,330500.0,2030.0,1986.0,1074.0,1255.0,359500.0,2166.0,1986.0,1218.0,1353.0,388900.0,2264.0
45,78751,1970.0,739.0,829.0,300300.0,2033.0,1969.0,757.0,865.0,292200.0,1978.0,1966.0,777.0,876.0,297200.0,2104.0,1966.0,821.0,905.0,295700.0,2079.0,1966.0,861.0,963.0,322900.0,2086.0,1964.0,961.0,1087.0,366100.0,2195.0,1964.0,1074.0,1200.0,395200.0,2482.0,1965.0,1200.0,1299.0,450000.0,2540.0
46,78752,1973.0,633.0,744.0,148900.0,1354.0,1975.0,634.0,752.0,153000.0,1349.0,1976.0,664.0,805.0,163900.0,1368.0,1977.0,678.0,831.0,170600.0,1411.0,1977.0,697.0,852.0,187400.0,1445.0,1978.0,735.0,892.0,202800.0,1532.0,1979.0,794.0,962.0,233900.0,1656.0,1979.0,877.0,1061.0,253800.0,1770.0
47,78753,1984.0,649.0,795.0,134000.0,1348.0,1985.0,674.0,826.0,134900.0,1344.0,1985.0,690.0,852.0,135700.0,1323.0,1985.0,706.0,869.0,136300.0,1317.0,1985.0,728.0,893.0,142700.0,1331.0,1985.0,783.0,933.0,150700.0,1356.0,1986.0,837.0,1003.0,161000.0,1407.0,1986.0,876.0,1058.0,177300.0,1505.0
48,78754,2001.0,774.0,925.0,164300.0,1566.0,2001.0,828.0,969.0,167600.0,1584.0,2001.0,848.0,997.0,163000.0,1570.0,2001.0,872.0,1045.0,163000.0,1578.0,2001.0,886.0,1055.0,159300.0,1526.0,2001.0,907.0,1121.0,169300.0,1545.0,2002.0,957.0,1183.0,183200.0,1620.0,2001.0,1042.0,1204.0,211000.0,1713.0
49,78756,1959.0,759.0,883.0,330600.0,2081.0,1958.0,804.0,888.0,342300.0,2118.0,1960.0,812.0,894.0,364400.0,2409.0,1961.0,836.0,932.0,377600.0,2417.0,1963.0,879.0,1023.0,395600.0,2494.0,1964.0,1030.0,1157.0,454300.0,2452.0,1969.0,1073.0,1213.0,476700.0,2483.0,1969.0,1146.0,1236.0,493200.0,2630.0
50,78757,1964.0,734.0,878.0,238300.0,1765.0,1964.0,742.0,895.0,253300.0,1780.0,1964.0,747.0,912.0,259400.0,1782.0,1964.0,811.0,996.0,277100.0,1813.0,1964.0,852.0,1020.0,302500.0,1827.0,1965.0,892.0,1082.0,321200.0,1858.0,1965.0,943.0,1120.0,348600.0,1995.0,1966.0,998.0,1178.0,389000.0,2223.0
51,78758,1983.0,711.0,875.0,140700.0,1317.0,1983.0,725.0,898.0,144200.0,1333.0,1983.0,744.0,918.0,146100.0,1330.0,1983.0,760.0,931.0,147200.0,1307.0,1982.0,797.0,962.0,151200.0,1299.0,1983.0,842.0,998.0,159600.0,1304.0,1983.0,894.0,1072.0,178100.0,1361.0,1983.0,965.0,1142.0,202200.0,1446.0
52,78759,1985.0,804.0,938.0,302300.0,2087.0,1985.0,828.0,962.0,307800.0,2080.0,1985.0,855.0,984.0,312300.0,2075.0,1985.0,889.0,1032.0,320900.0,2123.0,1985.0,931.0,1081.0,341200.0,2179.0,1985.0,991.0,1150.0,367600.0,2209.0,1985.0,1052.0,1203.0,389900.0,2321.0,1985.0,1119.0,1260.0,414600.0,2472.0
53,2011,2011.0,2011.0,2011.0,2011.0,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2012,,,,,,2012.0,2012.0,2012.0,2012.0,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2013,,,,,,,,,,,2013.0,2013.0,2013.0,2013.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,
56,2014,,,,,,,,,,,,,,,,2014.0,2014.0,2014.0,2014.0,2014.0,,,,,,,,,,,,,,,,,,,,
57,2015,,,,,,,,,,,,,,,,,,,,,2015.0,2015.0,2015.0,2015.0,2015.0,,,,,,,,,,,,,,,
58,2016,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,2016.0,2016.0,2016.0,2016.0,,,,,,,,,,
59,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,2017.0,2017.0,2017.0,2017.0,,,,,
60,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,2018.0,2018.0,2018.0,2018.0
