,Median year housing units were built,Median contract rent,Median gross rent (contract rent plus utilities),Median value (dollars) for Owner-Occupied housing units,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status,Zipcode
20267,2002.0,868.0,1058.0,208400.0,1649.0,78610
20270,2001.0,1074.0,1229.0,235700.0,1856.0,78613
20274,2000.0,771.0,1061.0,115600.0,1249.0,78617
20294,2002.0,1100.0,1368.0,186100.0,1603.0,78641
20301,1988.0,1000.0,1136.0,216500.0,1550.0,78652
20302,2003.0,1051.0,1251.0,152600.0,1384.0,78653
20308,2001.0,1024.0,1209.0,180800.0,1593.0,78660
20312,1995.0,935.0,1111.0,161100.0,1409.0,78664
20322,1997.0,962.0,1136.0,239400.0,1888.0,78681
20323,2003.0,1658.0,1734.0,447100.0,3147.0,78701
20324,1968.0,782.0,990.0,251000.0,1628.0,78702
20325,1966.0,1230.0,1362.0,735000.0,3444.0,78703
20326,1977.0,1038.0,1167.0,421800.0,2296.0,78704
20327,1985.0,1035.0,1140.0,432800.0,3076.0,78705
20328,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,78712
20329,2003.0,1053.0,1188.0,286400.0,2154.0,78717
20330,1985.0,672.0,848.0,121200.0,1193.0,78719
20331,1972.0,755.0,970.0,178100.0,1268.0,78721
20332,1954.0,1027.0,1170.0,313300.0,1916.0,78722
20333,1975.0,757.0,889.0,231300.0,1641.0,78723
20334,1996.0,825.0,1038.0,111500.0,1226.0,78724
20335,2001.0,979.0,1307.0,123300.0,1241.0,78725
20336,2000.0,908.0,1092.0,378200.0,2418.0,78726
20337,1992.0,1011.0,1192.0,226300.0,1672.0,78727
20338,1993.0,904.0,1046.0,188100.0,1553.0,78728
20339,1991.0,931.0,1100.0,218600.0,1638.0,78729
20340,1999.0,1083.0,1219.0,641200.0,3727.0,78730
20341,1978.0,1038.0,1186.0,509600.0,2879.0,78731
20342,2004.0,1359.0,1489.0,484100.0,3241.0,78732
20343,1994.0,1434.0,1608.0,528100.0,3084.0,78733
20344,1992.0,1292.0,1495.0,352300.0,2221.0,78734
20345,1998.0,1178.0,1304.0,426500.0,2653.0,78735
20346,1988.0,1110.0,1219.0,290200.0,2087.0,78736
20347,2001.0,1634.0,2023.0,370800.0,2558.0,78737
21099,2004.0,1267.0,1407.0,486000.0,3038.0,78738
21100,2000.0,2243.0,2316.0,394600.0,2519.0,78739
21101,1986.0,815.0,951.0,141300.0,1231.0,78741
21102,1978.0,757.0,963.0,80600.0,917.0,78742
21103,1989.0,848.0,1067.0,111400.0,1180.0,78744
21104,1979.0,961.0,1140.0,204500.0,1468.0,78745
21105,1986.0,1299.0,1449.0,749000.0,3560.0,78746
21106,2002.0,1057.0,1309.0,177600.0,1435.0,78747
21107,1997.0,1067.0,1240.0,221000.0,1589.0,78748
21108,1994.0,1162.0,1307.0,275600.0,1837.0,78749
21109,1987.0,1002.0,1222.0,330500.0,2030.0,78750
21110,1964.0,961.0,1087.0,366100.0,2195.0,78751
21111,1978.0,735.0,892.0,202800.0,1532.0,78752
21112,1985.0,783.0,933.0,150700.0,1356.0,78753
21113,2001.0,907.0,1121.0,169300.0,1545.0,78754
21114,1964.0,1030.0,1157.0,454300.0,2452.0,78756
21115,1965.0,892.0,1082.0,321200.0,1858.0,78757
21116,1983.0,842.0,998.0,159600.0,1304.0,78758
21117,1985.0,991.0,1150.0,367600.0,2209.0,78759
