,Median Age,Population,Population (White Alone),Population (Black Alone),Population (American Indian or Alaskan Native Alone),Population (Asian Alone),Population (Native Hawaiian and Other Pacific Islander Alone),Population (Two or more races),Household Income,Per Capita Income,Employed,Unemployed,Zipcode
17965,34.1,89830.0,59056.0,12760.0,840.0,8755.0,108.0,4487.0,83499.0,33870.0,48999.0,1928.0,78660
17966,36.1,20890.0,18214.0,239.0,46.0,1889.0,0.0,260.0,105207.0,85040.0,12716.0,247.0,78703
17967,34.6,12492.0,7154.0,3282.0,55.0,224.0,0.0,378.0,44076.0,22792.0,6559.0,442.0,78721
17968,32.0,13867.0,9952.0,591.0,0.0,2360.0,0.0,564.0,77935.0,48434.0,8151.0,210.0,78726
17969,34.8,21480.0,14122.0,3362.0,95.0,1981.0,0.0,766.0,55099.0,34602.0,12667.0,487.0,78728
17970,43.0,9047.0,8395.0,30.0,16.0,270.0,6.0,277.0,109012.0,52693.0,4833.0,69.0,78736
17971,39.7,30847.0,22743.0,1286.0,135.0,4702.0,6.0,1533.0,91585.0,51125.0,16209.0,1056.0,78750
17972,31.2,59085.0,34872.0,7040.0,654.0,3682.0,38.0,1788.0,49065.0,24078.0,31742.0,1631.0,78753
18918,34.7,30218.0,18218.0,1338.0,224.0,8374.0,108.0,1297.0,110085.0,45879.0,15479.0,444.0,78717
18919,41.6,16160.0,14325.0,416.0,0.0,564.0,0.0,621.0,132245.0,54039.0,7916.0,260.0,78737
18920,34.2,20166.0,14902.0,1272.0,128.0,628.0,10.0,547.0,81184.0,30099.0,10597.0,546.0,78747
18921,37.0,37774.0,30241.0,1623.0,40.0,4041.0,0.0,1426.0,98953.0,48575.0,22561.0,1092.0,78749
18922,36.9,24823.0,20493.0,334.0,0.0,830.0,0.0,666.0,70489.0,45121.0,14791.0,297.0,78757
18983,34.9,65654.0,55754.0,3048.0,203.0,2017.0,96.0,3034.0,94685.0,36055.0,33057.0,1350.0,78641
18990,32.6,22804.0,10971.0,5804.0,109.0,483.0,0.0,1293.0,69107.0,24564.0,10801.0,698.0,78653
18991,34.4,29315.0,23169.0,1778.0,0.0,2727.0,0.0,1019.0,76832.0,40494.0,18125.0,711.0,78729
18999,44.4,1815.0,1170.0,95.0,0.0,4.0,0.0,41.0,58917.0,19199.0,935.0,14.0,78719
19000,33.8,34569.0,21822.0,7038.0,125.0,854.0,0.0,974.0,54707.0,31940.0,19024.0,877.0,78723
19007,42.3,15589.0,13640.0,216.0,0.0,1190.0,0.0,424.0,130699.0,65842.0,7531.0,257.0,78738
19013,29.3,24779.0,12065.0,5795.0,349.0,29.0,31.0,663.0,45887.0,16452.0,10512.0,604.0,78724
19014,37.0,29509.0,19830.0,1914.0,294.0,5659.0,0.0,1224.0,78542.0,43943.0,17763.0,837.0,78727
19015,42.9,9186.0,7963.0,103.0,0.0,587.0,0.0,443.0,112333.0,82238.0,4891.0,136.0,78730
19017,42.1,8611.0,6950.0,20.0,0.0,1240.0,8.0,329.0,154543.0,74320.0,4054.0,183.0,78733
19018,29.5,15805.0,13168.0,518.0,120.0,969.0,35.0,429.0,59926.0,46170.0,10877.0,449.0,78751
19024,35.0,35142.0,29990.0,1473.0,123.0,434.0,71.0,1064.0,79318.0,33389.0,18319.0,666.0,78610
19060,29.8,28558.0,12242.0,2124.0,376.0,461.0,0.0,898.0,54940.0,19639.0,12659.0,817.0,78617
19065,32.6,7110.0,5584.0,840.0,0.0,150.0,0.0,411.0,71340.0,43950.0,4870.0,136.0,78722
19066,33.6,62183.0,46500.0,6938.0,39.0,3271.0,21.0,3272.0,72467.0,31328.0,34104.0,1867.0,78664
19086,35.3,9427.0,7990.0,396.0,31.0,616.0,19.0,185.0,107190.0,99948.0,7108.0,121.0,78701
19087,38.6,17923.0,15436.0,566.0,25.0,1321.0,0.0,415.0,97636.0,67415.0,9346.0,367.0,78735
19088,31.0,21324.0,12814.0,1995.0,379.0,454.0,0.0,601.0,45644.0,26276.0,12356.0,638.0,78752
