,Median Age,Population,Population (White Alone),Population (Black Alone),Population (American Indian or Alaskan Native Alone),Population (Asian Alone),Population (Native Hawaiian and Other Pacific Islander Alone),Population (Two or more races),Household Income,Per Capita Income,Employed,Unemployed,Zipcode
19089,32.4,47470.0,31347.0,3732.0,531.0,2903.0,0.0,1129.0,53547.0,30082.0,28422.0,1176.0,78758
19494,42.2,5504.0,4882.0,238.0,99.0,50.0,17.0,88.0,82328.0,39023.0,3123.0,71.0,78652
19495,36.0,56959.0,44249.0,3415.0,105.0,5416.0,23.0,2494.0,103681.0,38595.0,28887.0,1604.0,78681
19496,33.0,48486.0,42676.0,1852.0,267.0,1573.0,27.0,1526.0,70511.0,53557.0,32404.0,1127.0,78704
19497,35.1,7886.0,3518.0,1437.0,0.0,102.0,0.0,248.0,65345.0,27167.0,4556.0,113.0,78725
19498,39.6,20312.0,16693.0,623.0,16.0,2144.0,0.0,625.0,150000.0,57555.0,9456.0,236.0,78739
19499,31.5,828.0,601.0,68.0,0.0,0.0,0.0,38.0,38958.0,18185.0,409.0,14.0,78742
19546,29.4,48969.0,33186.0,3871.0,436.0,565.0,0.0,1224.0,49633.0,19660.0,24858.0,1186.0,78744
19548,34.6,50997.0,41671.0,3229.0,160.0,2427.0,10.0,2443.0,77700.0,35891.0,30214.0,815.0,78748
19551,35.6,8323.0,7256.0,225.0,0.0,414.0,0.0,277.0,82705.0,59679.0,5828.0,77.0,78756
19595,39.1,27175.0,22898.0,457.0,89.0,2268.0,20.0,1002.0,94048.0,69343.0,14753.0,419.0,78731
19596,46.1,18745.0,17089.0,413.0,44.0,444.0,0.0,702.0,115458.0,59634.0,9352.0,365.0,78734
19597,28.0,52716.0,36412.0,6658.0,680.0,2148.0,84.0,1555.0,41852.0,24866.0,32530.0,1504.0,78741
19598,42.1,28495.0,25335.0,253.0,10.0,2096.0,0.0,515.0,139951.0,84782.0,14191.0,570.0,78746
19599,35.1,79699.0,64495.0,2375.0,298.0,7192.0,52.0,3385.0,101832.0,39885.0,41315.0,1406.0,78613
19602,32.4,24408.0,13368.0,4197.0,191.0,3336.0,114.0,1261.0,67224.0,31605.0,13210.0,733.0,78754
19603,21.0,33948.0,24285.0,2415.0,113.0,5192.0,17.0,1145.0,19188.0,14074.0,13738.0,1302.0,78705
19604,40.0,42524.0,34341.0,1551.0,39.0,4722.0,14.0,1272.0,81066.0,53867.0,25343.0,1005.0,78759
19612,33.4,23389.0,16875.0,3580.0,31.0,469.0,3.0,838.0,59705.0,35537.0,13355.0,682.0,78702
19613,35.3,62771.0,54003.0,3076.0,247.0,1655.0,0.0,1941.0,62265.0,34654.0,38770.0,1581.0,78745
19636,19.7,860.0,633.0,132.0,8.0,18.0,0.0,44.0,-666666666.0,3015.0,229.0,70.0,78712
19644,40.6,17849.0,14961.0,273.0,0.0,2075.0,0.0,531.0,156599.0,66799.0,8394.0,189.0,78732
