,Median Age,Population,Population (White Alone),Population (Black Alone),Population (American Indian or Alaskan Native Alone),Population (Asian Alone),Population (Native Hawaiian and Other Pacific Islander Alone),Population (Two or more races),Household Income,Per Capita Income,Employed,Unemployed,Zipcode
24713,34.7,24313.0,20457.0,557.0,79.0,189.0,13.0,406.0,83536.0,31452.0,12154.0,946.0,78610
24716,34.5,65178.0,52201.0,3257.0,153.0,4559.0,27.0,1947.0,80694.0,33747.0,32358.0,2530.0,78613
24720,30.4,19553.0,12098.0,1826.0,388.0,223.0,0.0,594.0,43957.0,15559.0,7747.0,1377.0,78617
24740,32.8,47490.0,41339.0,1759.0,80.0,890.0,0.0,1158.0,64442.0,27830.0,23422.0,1761.0,78641
24747,39.0,4687.0,4113.0,189.0,0.0,62.0,0.0,123.0,77985.0,35796.0,2673.0,169.0,78652
24748,30.0,15783.0,8529.0,3599.0,175.0,168.0,0.0,512.0,55398.0,21585.0,7262.0,545.0,78653
24754,32.3,70407.0,47006.0,10518.0,301.0,6801.0,0.0,1646.0,71507.0,27540.0,35285.0,2931.0,78660
24758,30.6,54864.0,41775.0,6693.0,245.0,2096.0,17.0,2196.0,60442.0,26551.0,27776.0,2537.0,78664
24768,34.2,53229.0,42930.0,2271.0,473.0,3985.0,11.0,2320.0,92981.0,33603.0,26653.0,1777.0,78681
24769,33.8,5642.0,4596.0,326.0,0.0,452.0,0.0,135.0,68152.0,76811.0,3534.0,347.0,78701
24770,32.1,21032.0,12977.0,3236.0,219.0,359.0,0.0,474.0,34734.0,18843.0,9594.0,1198.0,78702
24771,36.4,19873.0,17849.0,375.0,202.0,940.0,0.0,376.0,92606.0,65368.0,11228.0,438.0,78703
24772,31.4,41709.0,36458.0,1450.0,311.0,694.0,21.0,930.0,50248.0,36500.0,26160.0,1933.0,78704
24773,20.8,30532.0,23032.0,929.0,69.0,4756.0,2.0,756.0,11917.0,10617.0,11494.0,1941.0,78705
24774,19.5,554.0,426.0,0.0,0.0,55.0,0.0,0.0,-666666666.0,1508.0,74.0,19.0,78712
24775,33.9,23514.0,16829.0,1026.0,0.0,4254.0,12.0,671.0,93305.0,38702.0,12680.0,702.0,78717
24776,38.3,1717.0,1181.0,48.0,10.0,0.0,0.0,12.0,39500.0,21788.0,639.0,114.0,78719
24777,31.2,11178.0,4880.0,3882.0,232.0,77.0,12.0,346.0,32131.0,15281.0,4095.0,768.0,78721
24778,33.1,5973.0,4548.0,808.0,53.0,159.0,0.0,181.0,44917.0,33293.0,3833.0,323.0,78722
24779,30.3,30999.0,20338.0,7410.0,231.0,553.0,0.0,730.0,41869.0,20893.0,14665.0,1594.0,78723
24780,26.4,21677.0,11485.0,6472.0,27.0,14.0,0.0,1003.0,35711.0,12365.0,8451.0,719.0,78724
24781,31.9,6477.0,2877.0,2281.0,0.0,9.0,0.0,354.0,52313.0,19742.0,3498.0,330.0,78725
24782,29.5,12482.0,9781.0,458.0,75.0,1470.0,0.0,128.0,66096.0,40197.0,7659.0,311.0,78726
24783,32.8,28461.0,20120.0,2321.0,157.0,4073.0,0.0,697.0,65687.0,35795.0,17648.0,1048.0,78727
24784,30.6,20939.0,14238.0,2867.0,282.0,1911.0,131.0,701.0,47405.0,28402.0,12455.0,729.0,78728
24785,32.4,28228.0,21254.0,2880.0,15.0,2757.0,0.0,970.0,57358.0,33090.0,16928.0,1213.0,78729
24786,38.2,8312.0,7121.0,16.0,0.0,738.0,93.0,214.0,119573.0,68632.0,4544.0,163.0,78730
24787,39.8,24716.0,21189.0,534.0,98.0,2169.0,34.0,417.0,78265.0,57182.0,13295.0,532.0,78731
24788,35.5,14307.0,11821.0,257.0,76.0,1393.0,0.0,381.0,127726.0,50114.0,6314.0,336.0,78732
24789,39.7,9486.0,8280.0,0.0,0.0,938.0,0.0,216.0,124831.0,58117.0,4207.0,182.0,78733
