,Median Age,Population,Population (White Alone),Population (Black Alone),Population (American Indian or Alaskan Native Alone),Population (Asian Alone),Population (Native Hawaiian and Other Pacific Islander Alone),Population (Two or more races),Household Income,Per Capita Income,Employed,Unemployed,Zipcode
28878,34.6,26991.0,22506.0,801.0,109.0,199.0,104.0,1029.0,74550.0,29996.0,13127.0,1030.0,78610
28881,34.9,70764.0,58439.0,3398.0,158.0,5498.0,0.0,2358.0,83146.0,35314.0,34962.0,2383.0,78613
28885,30.0,23025.0,15923.0,2772.0,267.0,336.0,0.0,551.0,45040.0,15038.0,8339.0,1471.0,78617
28905,33.7,51247.0,45426.0,1460.0,228.0,910.0,0.0,1696.0,73535.0,29910.0,25872.0,1994.0,78641
28912,35.9,5408.0,4677.0,154.0,75.0,63.0,2.0,143.0,70868.0,33957.0,2825.0,275.0,78652
28913,31.3,17968.0,10840.0,4189.0,158.0,340.0,0.0,905.0,62415.0,22325.0,8374.0,685.0,78653
28919,33.7,77046.0,54681.0,11293.0,497.0,7110.0,0.0,1782.0,75138.0,29093.0,39921.0,2866.0,78660
28923,31.8,58959.0,45550.0,6746.0,175.0,2733.0,71.0,2053.0,61673.0,27690.0,29699.0,2291.0,78664
28933,35.4,54517.0,44267.0,2504.0,450.0,3994.0,17.0,2206.0,96086.0,35499.0,26789.0,1927.0,78681
28934,33.3,6188.0,5001.0,306.0,0.0,589.0,0.0,183.0,87306.0,92411.0,4323.0,229.0,78701
28935,33.1,21855.0,14606.0,3008.0,102.0,276.0,0.0,642.0,37690.0,21922.0,10831.0,1073.0,78702
28936,35.8,20061.0,17719.0,321.0,184.0,1218.0,0.0,454.0,81903.0,70259.0,11762.0,607.0,78703
28937,32.0,42770.0,38890.0,1139.0,302.0,765.0,0.0,1121.0,52306.0,38699.0,27508.0,1621.0,78704
28938,20.9,31735.0,23725.0,1453.0,66.0,4658.0,3.0,980.0,12786.0,10529.0,12013.0,1738.0,78705
28939,19.6,557.0,400.0,49.0,8.0,35.0,0.0,16.0,-666666666.0,3474.0,138.0,16.0,78712
28940,34.3,25427.0,18654.0,762.0,0.0,4884.0,0.0,832.0,99541.0,40670.0,13098.0,678.0,78717
28941,40.4,1807.0,1548.0,58.0,0.0,0.0,0.0,18.0,38875.0,16961.0,663.0,31.0,78719
28942,32.7,12087.0,5989.0,3825.0,264.0,84.0,14.0,363.0,36698.0,17371.0,4812.0,1008.0,78721
28943,32.7,6514.0,4925.0,726.0,48.0,224.0,35.0,263.0,54526.0,36879.0,4092.0,328.0,78722
28944,32.1,30955.0,20656.0,6985.0,135.0,597.0,0.0,846.0,42615.0,23108.0,15130.0,1534.0,78723
28945,27.5,23313.0,14311.0,5987.0,64.0,67.0,0.0,1117.0,36776.0,12777.0,9356.0,780.0,78724
28946,32.3,7612.0,3831.0,3089.0,0.0,40.0,0.0,417.0,65048.0,20849.0,4372.0,390.0,78725
28947,31.5,12786.0,10026.0,467.0,0.0,1880.0,0.0,203.0,68777.0,42581.0,7368.0,435.0,78726
28948,34.5,29506.0,20308.0,1935.0,228.0,5170.0,0.0,1136.0,69699.0,35901.0,18054.0,755.0,78727
28949,31.8,20794.0,13920.0,3115.0,195.0,1939.0,58.0,815.0,49521.0,30497.0,12825.0,643.0,78728
28950,33.1,28786.0,21627.0,3154.0,35.0,2418.0,0.0,1146.0,60567.0,33636.0,17825.0,1055.0,78729
28951,36.2,8591.0,7786.0,30.0,0.0,470.0,0.0,115.0,108421.0,70837.0,4663.0,223.0,78730
28952,39.5,26412.0,22428.0,751.0,95.0,2115.0,10.0,646.0,79315.0,57570.0,13601.0,644.0,78731
28953,39.0,15312.0,12722.0,471.0,108.0,1573.0,0.0,376.0,128397.0,53085.0,6689.0,250.0,78732
28954,40.4,9404.0,7854.0,0.0,6.0,1123.0,0.0,317.0,127250.0,64975.0,4322.0,250.0,78733
28955,43.3,18498.0,16797.0,109.0,61.0,646.0,0.0,163.0,92904.0,47998.0,9076.0,647.0,78734
28956,36.3,17548.0,15559.0,173.0,41.0,1100.0,27.0,252.0,81152.0,53474.0,8891.0,500.0,78735
28957,44.7,7030.0,6253.0,36.0,45.0,344.0,22.0,225.0,86439.0,46424.0,3818.0,98.0,78736
28958,40.9,14167.0,12459.0,161.0,4.0,635.0,0.0,357.0,122886.0,48541.0,6929.0,295.0,78737
28959,40.3,13794.0,12208.0,188.0,19.0,1030.0,0.0,263.0,127683.0,51998.0,6100.0,436.0,78738
28960,36.5,18068.0,15092.0,137.0,122.0,1559.0,0.0,826.0,130199.0,48912.0,8283.0,315.0,78739
28961,26.2,51274.0,34739.0,4875.0,342.0,1867.0,70.0,1815.0,31192.0,17324.0,28616.0,2684.0,78741
28962,34.8,566.0,419.0,66.0,0.0,0.0,0.0,6.0,35700.0,20867.0,255.0,23.0,78742
28963,28.4,45830.0,31566.0,3407.0,737.0,145.0,11.0,1055.0,41331.0,16617.0,21670.0,1893.0,78744
28964,35.5,58878.0,50287.0,2716.0,251.0,1028.0,43.0,1678.0,52949.0,27967.0,34285.0,2614.0,78745
28965,40.9,27960.0,24195.0,181.0,17.0,2121.0,160.0,989.0,128556.0,78195.0,13609.0,554.0,78746
28966,32.0,16753.0,12530.0,1079.0,313.0,462.0,0.0,753.0,62243.0,27708.0,8377.0,409.0,78747
28967,32.4,44907.0,36837.0,2381.0,55.0,1966.0,52.0,1857.0,68835.0,31912.0,26183.0,1681.0,78748
28968,36.5,35183.0,29231.0,1194.0,168.0,2892.0,0.0,1191.0,84954.0,40471.0,19776.0,1103.0,78749
28969,39.6,27912.0,22452.0,806.0,0.0,3111.0,54.0,934.0,73659.0,41418.0,14899.0,1125.0,78750
28970,29.1,13838.0,11604.0,113.0,42.0,786.0,0.0,516.0,41279.0,36020.0,9091.0,894.0,78751
