,Median Age,Population,Population (White Alone),Population (Black Alone),Population (American Indian or Alaskan Native Alone),Population (Asian Alone),Population (Native Hawaiian and Other Pacific Islander Alone),Population (Two or more races),Household Income,Per Capita Income,Employed,Unemployed,Zipcode
27394,45.6,6599.0,5694.0,33.0,57.0,427.0,0.0,212.0,84940.0,40537.0,3561.0,213.0,78736
27395,40.6,13539.0,12164.0,173.0,5.0,519.0,0.0,189.0,121094.0,48326.0,6468.0,329.0,78737
27396,39.6,13141.0,11655.0,153.0,17.0,944.0,0.0,306.0,118795.0,49878.0,5677.0,445.0,78738
27397,36.0,17198.0,14371.0,162.0,148.0,1141.0,0.0,882.0,128597.0,49116.0,7858.0,367.0,78739
27398,26.3,48654.0,28950.0,4890.0,216.0,1776.0,39.0,1610.0,30871.0,16930.0,27187.0,2971.0,78741
27399,33.6,810.0,471.0,37.0,0.0,0.0,0.0,7.0,19688.0,15485.0,276.0,56.0,78742
27400,27.8,44375.0,26823.0,3536.0,698.0,186.0,9.0,1079.0,41721.0,16335.0,20906.0,2019.0,78744
27401,35.3,57559.0,48567.0,2526.0,444.0,794.0,44.0,1725.0,50672.0,27260.0,33459.0,2787.0,78745
27402,41.7,27506.0,23854.0,199.0,33.0,2034.0,106.0,993.0,128936.0,76782.0,13202.0,587.0,78746
27403,32.4,15919.0,10747.0,1202.0,326.0,640.0,0.0,560.0,61599.0,27087.0,8050.0,480.0,78747
27404,32.2,41710.0,35449.0,1872.0,61.0,1482.0,41.0,1253.0,66309.0,31940.0,23986.0,1952.0,78748
27405,36.2,34392.0,28926.0,1200.0,198.0,2364.0,17.0,1061.0,84907.0,39897.0,19549.0,811.0,78749
27406,38.9,27012.0,21255.0,907.0,15.0,3097.0,67.0,800.0,76236.0,42397.0,14534.0,1031.0,78750
27407,29.3,14045.0,11794.0,194.0,0.0,808.0,0.0,659.0,39032.0,33636.0,9279.0,908.0,78751
27408,30.2,18381.0,12439.0,2220.0,168.0,513.0,0.0,322.0,34716.0,18845.0,9979.0,929.0,78752
27409,29.8,52674.0,30289.0,6577.0,449.0,3152.0,30.0,1227.0,38884.0,18115.0,27016.0,2616.0,78753
27410,31.7,15109.0,7339.0,2924.0,33.0,2547.0,0.0,631.0,54896.0,27663.0,8468.0,824.0,78754
27411,34.8,8125.0,7051.0,404.0,0.0,315.0,52.0,149.0,59854.0,43422.0,5226.0,123.0,78756
27412,37.8,22655.0,19264.0,481.0,42.0,637.0,0.0,300.0,57429.0,35045.0,13372.0,695.0,78757
27413,30.2,45623.0,25632.0,5183.0,155.0,3262.0,36.0,1057.0,43537.0,23608.0,25172.0,2668.0,78758
27414,37.8,39895.0,31357.0,1105.0,55.0,4585.0,0.0,1301.0,66828.0,47979.0,24114.0,1801.0,78759
