,Median Age,Population,Population (White Alone),Population (Black Alone),Population (American Indian or Alaskan Native Alone),Population (Asian Alone),Population (Native Hawaiian and Other Pacific Islander Alone),Population (Two or more races),Household Income,Per Capita Income,Employed,Unemployed,Zipcode
27315,34.6,25580.0,21828.0,590.0,93.0,301.0,69.0,657.0,79049.0,31048.0,12926.0,1104.0,78610
27318,34.7,68426.0,56193.0,2864.0,140.0,4992.0,23.0,1910.0,81928.0,34311.0,33830.0,2658.0,78613
27322,30.0,21096.0,13458.0,2435.0,367.0,434.0,0.0,671.0,45212.0,15029.0,7938.0,1450.0,78617
27342,33.4,48854.0,42609.0,1517.0,128.0,949.0,0.0,1460.0,71885.0,29372.0,24117.0,1887.0,78641
27349,36.5,5117.0,4649.0,124.0,0.0,55.0,0.0,115.0,76604.0,35643.0,2775.0,234.0,78652
27350,30.5,16917.0,9857.0,3708.0,161.0,297.0,0.0,548.0,59763.0,21044.0,7751.0,719.0,78653
27356,32.5,75038.0,50963.0,11004.0,446.0,7595.0,0.0,1656.0,76007.0,28353.0,37967.0,3154.0,78660
27360,30.9,57806.0,43847.0,6992.0,246.0,2583.0,20.0,2010.0,61401.0,26891.0,29080.0,2806.0,78664
27370,35.1,54141.0,43474.0,2515.0,495.0,4151.0,17.0,2513.0,92453.0,34024.0,26463.0,1926.0,78681
27371,33.8,5915.0,4847.0,313.0,0.0,453.0,0.0,175.0,86541.0,89670.0,4080.0,276.0,78701
27372,32.3,21655.0,13869.0,3128.0,223.0,263.0,0.0,592.0,36197.0,19715.0,10254.0,1196.0,78702
27373,36.2,19860.0,17897.0,325.0,153.0,877.0,0.0,446.0,80569.0,66049.0,11415.0,532.0,78703
27374,31.6,41999.0,37836.0,1413.0,288.0,718.0,0.0,1134.0,50930.0,37301.0,26813.0,1992.0,78704
27375,20.9,31282.0,23448.0,1295.0,86.0,4622.0,3.0,935.0,12143.0,9791.0,11479.0,1835.0,78705
27376,19.6,548.0,414.0,44.0,0.0,45.0,0.0,0.0,-666666666.0,3448.0,111.0,21.0,78712
27377,33.6,24099.0,17826.0,965.0,0.0,3997.0,7.0,796.0,93701.0,38401.0,12657.0,707.0,78717
27378,36.1,1746.0,1351.0,55.0,0.0,0.0,0.0,13.0,38305.0,19582.0,684.0,97.0,78719
27379,32.2,11482.0,5552.0,3748.0,223.0,38.0,8.0,326.0,33798.0,15789.0,4469.0,782.0,78721
27380,33.6,6355.0,4975.0,649.0,38.0,244.0,34.0,171.0,50923.0,36289.0,4038.0,340.0,78722
27381,30.9,31234.0,20679.0,7438.0,269.0,600.0,0.0,892.0,42939.0,22439.0,15145.0,1516.0,78723
27382,26.8,21454.0,12432.0,5953.0,13.0,115.0,0.0,1113.0,38479.0,13452.0,8804.0,809.0,78724
27383,31.7,8169.0,4744.0,2237.0,0.0,33.0,0.0,364.0,52381.0,18279.0,4366.0,284.0,78725
27384,30.3,13181.0,10328.0,563.0,56.0,1654.0,0.0,134.0,67466.0,41210.0,7929.0,494.0,78726
27385,32.7,28563.0,20456.0,1991.0,120.0,4461.0,0.0,850.0,69570.0,34953.0,17480.0,984.0,78727
27386,31.0,20817.0,13379.0,3595.0,292.0,1878.0,65.0,780.0,48612.0,29156.0,12470.0,853.0,78728
27387,33.6,26906.0,20273.0,2553.0,51.0,2592.0,0.0,1047.0,60690.0,34237.0,16813.0,1016.0,78729
27388,37.8,8916.0,7958.0,29.0,0.0,480.0,93.0,170.0,120568.0,73526.0,5052.0,226.0,78730
27389,39.4,25575.0,21972.0,701.0,96.0,2005.0,0.0,555.0,75269.0,56169.0,13700.0,597.0,78731
27390,37.2,15097.0,12946.0,228.0,103.0,1350.0,0.0,356.0,131216.0,52104.0,6490.0,383.0,78732
27391,41.0,9475.0,8187.0,0.0,9.0,939.0,0.0,266.0,122860.0,62990.0,4233.0,195.0,78733
27392,43.1,18290.0,16476.0,65.0,35.0,597.0,0.0,131.0,87300.0,46328.0,9021.0,732.0,78734
27393,35.6,17118.0,14736.0,199.0,8.0,1309.0,5.0,367.0,79984.0,51690.0,8791.0,463.0,78735
