,Median Age,Population,Population (White Alone),Population (Black Alone),Population (American Indian or Alaskan Native Alone),Population (Asian Alone),Population (Native Hawaiian and Other Pacific Islander Alone),Population (Two or more races),Household Income,Per Capita Income,Employed,Unemployed,Zipcode
31370,34.9,29200.0,24344.0,1024.0,111.0,330.0,124.0,967.0,74250.0,29610.0,14466.0,977.0,78610
31373,34.4,73448.0,60815.0,3039.0,246.0,5924.0,30.0,2395.0,84556.0,34849.0,36754.0,2273.0,78613
31377,30.2,25473.0,15865.0,3147.0,305.0,533.0,0.0,1024.0,45995.0,15645.0,9207.0,1708.0,78617
32187,34.6,52984.0,46598.0,1850.0,155.0,926.0,0.0,1977.0,77052.0,31313.0,26832.0,1579.0,78641
32194,36.6,5355.0,4608.0,142.0,72.0,66.0,19.0,108.0,73194.0,34362.0,2935.0,245.0,78652
32195,30.5,19072.0,10938.0,4651.0,74.0,142.0,0.0,726.0,62198.0,21236.0,8736.0,761.0,78653
32201,34.2,79067.0,55690.0,12106.0,568.0,6932.0,10.0,2095.0,76368.0,30306.0,41733.0,2580.0,78660
32205,31.7,59765.0,45002.0,7510.0,181.0,2881.0,11.0,1977.0,62446.0,26672.0,30205.0,2023.0,78664
32215,35.3,54923.0,44337.0,2758.0,417.0,4074.0,0.0,2356.0,96100.0,35720.0,27198.0,1747.0,78681
32216,33.5,7051.0,5708.0,265.0,13.0,666.0,15.0,273.0,96455.0,94892.0,5133.0,181.0,78701
32217,34.2,21477.0,15111.0,2926.0,99.0,476.0,0.0,700.0,41016.0,24664.0,11301.0,959.0,78702
32218,36.1,20530.0,18006.0,307.0,144.0,1335.0,0.0,518.0,88163.0,72850.0,12220.0,460.0,78703
32219,32.0,44668.0,40277.0,1305.0,226.0,1170.0,0.0,1184.0,58601.0,41560.0,29075.0,1355.0,78704
32220,21.0,32346.0,24055.0,1667.0,132.0,4607.0,3.0,1002.0,12385.0,11246.0,12242.0,1632.0,78705
32221,19.7,828.0,590.0,93.0,9.0,46.0,0.0,36.0,-666666666.0,3369.0,225.0,48.0,78712
32222,34.9,26072.0,18540.0,900.0,13.0,5320.0,0.0,988.0,100364.0,41582.0,13603.0,578.0,78717
32223,46.3,1485.0,1221.0,0.0,0.0,3.0,0.0,35.0,41111.0,16382.0,618.0,24.0,78719
32224,32.9,12508.0,6671.0,3843.0,242.0,147.0,25.0,366.0,37234.0,17250.0,5201.0,907.0,78721
32225,32.3,7006.0,5191.0,855.0,0.0,315.0,35.0,346.0,64929.0,38941.0,4567.0,303.0,78722
32226,31.9,32155.0,21832.0,6674.0,116.0,627.0,0.0,692.0,42433.0,23463.0,15878.0,1328.0,78723
32227,28.2,23612.0,15222.0,5911.0,99.0,60.0,0.0,738.0,39350.0,13280.0,9644.0,648.0,78724
32228,32.1,7343.0,4226.0,2448.0,0.0,39.0,0.0,409.0,58707.0,21175.0,4396.0,134.0,78725
32229,32.3,13027.0,9508.0,648.0,0.0,2332.0,0.0,247.0,70664.0,42583.0,7569.0,382.0,78726
32230,35.3,29354.0,20138.0,1720.0,158.0,5192.0,0.0,1283.0,72953.0,37805.0,18100.0,740.0,78727
32231,32.9,21081.0,13686.0,3923.0,241.0,1807.0,0.0,785.0,53510.0,31946.0,13103.0,592.0,78728
32232,33.3,29386.0,22609.0,2576.0,67.0,2564.0,0.0,1218.0,65279.0,35280.0,18237.0,716.0,78729
32233,38.7,8871.0,7953.0,0.0,0.0,468.0,0.0,291.0,105022.0,71149.0,4913.0,221.0,78730
32234,39.0,26595.0,22642.0,649.0,114.0,2099.0,26.0,708.0,82892.0,59754.0,13977.0,549.0,78731
32235,39.4,16269.0,13792.0,299.0,24.0,1672.0,0.0,453.0,132980.0,56272.0,6829.0,375.0,78732
32236,39.9,8930.0,7354.0,16.0,6.0,1205.0,0.0,270.0,130964.0,64304.0,4039.0,217.0,78733
