Zipcode,Median Age,Population,Population (White Alone),Population (Black Alone),Population (American Indian or Alaskan Native Alone),Population (Asian Alone),Population (Native Hawaiian and Other Pacific Islander Alone),Population (Two or more races),Household Income,Per Capita Income,Employed,Unemployed,NAME,Year
78749,34.9,34391.0,28560.0,1292.0,146.0,2391.0,22.0,1146.0,80956.0,38495.0,19739.0,770.0,ZCTA5 78749,2012
78750,39.5,27119.0,21697.0,853.0,18.0,2745.0,82.0,789.0,75958.0,43194.0,14391.0,925.0,ZCTA5 78750,2012
78751,28.3,14340.0,12132.0,242.0,0.0,798.0,0.0,562.0,38624.0,31026.0,9231.0,888.0,ZCTA5 78751,2012
78752,30.4,17170.0,11332.0,2607.0,158.0,493.0,0.0,269.0,33271.0,18706.0,9518.0,963.0,ZCTA5 78752,2012
78753,29.6,52384.0,28844.0,6524.0,516.0,3183.0,82.0,1061.0,39593.0,18137.0,26866.0,2577.0,ZCTA5 78753,2012
78754,30.3,13570.0,6512.0,2585.0,34.0,2047.0,0.0,456.0,53274.0,27534.0,7787.0,736.0,ZCTA5 78754,2012
78756,35.5,8060.0,7244.0,240.0,0.0,380.0,21.0,64.0,59685.0,43571.0,5164.0,197.0,ZCTA5 78756,2012
78757,37.9,22718.0,18917.0,352.0,43.0,664.0,0.0,256.0,55156.0,33963.0,13360.0,821.0,ZCTA5 78757,2012
78758,29.8,45105.0,23949.0,6318.0,212.0,2722.0,43.0,996.0,41792.0,22340.0,24757.0,2717.0,ZCTA5 78758,2012
78759,37.4,39850.0,30981.0,1393.0,36.0,4938.0,0.0,995.0,65672.0,46871.0,23877.0,1693.0,ZCTA5 78759,2012
