"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2020-01-31,"46932","IN","Logansport","Cass County","Galveston",11201,884,-0.0136,-0.034,-0.014,1274
2020-01-31,"13033","NY","Auburn","Cayuga County","Ira",11202,957,-0.0225,-0.004,-0.0961,1382
2020-01-31,"48191","MI","Ann Arbor","Washtenaw County","Augusta",11203,1458,-0.015,-0.0168,0.0151,1157
2020-01-31,"75496","TX","Dallas-Fort Worth-Arlington","Hunt County","Wolfe City",11204,1092,0.0179,0.0375,0.0821,1035
2020-01-31,"30171","GA","Calhoun","Gordon County","Fairmount",11205,1212,-0.0078,-0.0057,0.0162,1336
2020-01-31,"76462","TX","Dallas-Fort Worth-Arlington","Hood County","Lipan",11206,1328,0.0035,-0.0403,-0.0272,1096
2020-01-31,"26807","WV",,"Pendleton County","Franklin",11207,922,0.0113,0.0394,-0.0469,1870
2020-01-31,"65338","MO",,"Benton County","Warsaw",11208,716,-0.0235,0.0005,-0.0046,1479
2020-01-31,"35171","AL","Birmingham-Hoover","Chilton County","Thorsby",11209,984,-0.0088,-0.0469,0.0045,1139
2020-01-31,"37144","TN",,"Lincoln County","Petersburg",11210,1120,0.0007,-0.0246,0.009,1321
2020-01-31,"43517","OH",,"Williams County","Edgerton",11211,940,0.0071,-0.0127,0.0315,1347
2020-01-31,"64477","MO","Kansas City","Clinton County","Plattsburg",11212,945,-0.0137,0.0193,0.0442,1736
2020-01-31,"80643","CO","Greeley","Weld County","Keenesburg",11213,1657,-0.0079,-0.0794,-0.0177,1522
2020-01-31,"17529","PA","Lancaster","Lancaster County","Leacock Township",11214,1129,0.0016,0.0252,0.0419,1375
2020-01-31,"47638","IN","Evansville","Posey County","Wadesville",11215,1100,0.0001,-0.0264,0.0341,1317
2020-01-31,"28790","NC","Asheville","Henderson County","Zirconia",11216,1553,0.0105,0.043,0.0579,1336
2020-01-31,"43310","OH","Bellefontaine","Logan County","Belle Center",11217,980,0.0269,-0.0272,-0.0143,1343
2020-01-31,"57028","SD",,"Moody County","Flandreau",11218,939,-0.0039,-0.0197,-0.0285,1211
2020-01-31,"21034","MD","Baltimore-Columbia-Towson","Harford County","Darlington",11219,1740,0.0162,0.0186,-0.0249,1105
2020-01-31,"17856","PA","Lewisburg","Union County","White Deer Township",11220,1189,0.0096,0.0435,0.092,1386
2020-01-31,"43450","OH","Toledo","Wood County","Pemberville",11221,1084,0.0168,0.0371,-0.1176,1000
2020-01-31,"47283","IN","Greensburg","Decatur County","Westport",11222,862,0.01,-0.0121,0.007,1344
2020-01-31,"38066","TN","Memphis","Fayette County","Rossville",11223,1448,-0.0207,-0.045,0.1156,1263
2020-01-31,"64070","MO","Kansas City","Jackson County","Lone Jack",11224,1023,0.009,0.0285,0.0087,1414
2020-01-31,"37183","TN","Shelbyville","Bedford County","Wartrace",11225,1167,-0.0088,0.0082,0.0091,1356
2020-01-31,"06063","CT","Torrington","Litchfield County","Barkhamsted",11226,1397,0.0179,0.0536,0.0161,1583
2020-01-31,"17980","PA","Pottsville","Schuylkill County","Porter Township",11227,814,-0.0027,0.0166,0.0304,1397
2020-01-31,"52653","IA",,"Louisa County","Wapello",11228,852,-0.0024,0.0185,0.018,1570
2020-01-31,"64658","MO",,"Chariton County","Marceline",11229,794,-0.0258,-0.0328,-0.0856,1152
2020-01-31,"28742","NC","Asheville","Henderson County","Horse Shoe",11230,1373,0.0049,0.0595,0.0292,1036
2020-01-31,"73047","OK","Oklahoma City","Canadian County","Hinton",11231,894,0.0009,-0.0133,0.0041,1452
2020-01-31,"47874","IN",,"Parke County","Rosedale",11232,867,-0.0059,-0.0064,0.0745,1312
2020-01-31,"50638","IA","Waterloo-Cedar Falls","Grundy County","Grundy Center",11233,857,0.0036,0.0196,0.0053,1488
2020-01-31,"44429","OH","Youngstown-Warren-Boardman","Mahoning County","Craig Beach",11234,1037,-0.0104,-0.0225,0.1502,1420
2020-01-31,"61360","IL","Ottawa-Peru","La Salle County","Marseilles",11235,1051,-0.0206,-0.0531,-0.0645,1092
2020-01-31,"14125","NY","Batavia","Genesee County","Town of Oakfield",11236,1267,0.0166,0.0292,0.0249,1201
2020-01-31,"70052","LA","New Orleans-Metairie","Saint James Parish","Gramercy",11237,1155,0.0103,-0.0015,-0.0666,1151
2020-01-31,"56672","MN","Brainerd","Cass County","Remer",11238,1287,0.0005,0.0322,0.0417,1014
2020-01-31,"21756","MD","Hagerstown-Martinsburg","Washington County","Keedysville",11239,1289,-0.0002,0.0093,0.0255,1363
2020-01-31,"43758","OH",,"Morgan County","Malta",11240,878,-0.0043,-0.0262,0.0141,1213
2020-01-31,"93202","CA","Hanford-Corcoran","Kings County","Armona",11241,1223,-0.005,0.0765,0.0622,1105
2020-01-31,"12466","NY","Kingston","Ulster County","Port Ewen",11242,1500,-0.0061,-0.0182,-0.0497,1218
2020-01-31,"01522","MA","Worcester","Worcester County","Holden",11243,1499,-0.0006,-0.0025,0.0079,1377
2020-01-31,"37806","TN","Knoxville","Knox County","Mascot",11244,1072,-0.0108,0.0036,-0.0192,1062
2020-01-31,"54113","WI","Appleton","Outagamie County","Combined Locks",11245,1128,-0.0049,0.0005,0.0762,1241
2020-01-31,"96785","HI","Hilo","Hawaii County","Volcano",11246,1430,-0.0141,-0.0209,0.0096,2209
2020-01-31,"55032","MN","Minneapolis-St. Paul-Bloomington","Chisago County","Harris",11247,1433,0.001,0.0107,-0.0059,1444
2020-01-31,"62467","IL","Effingham","Effingham County","Teutopolis",11248,1235,-0.0149,0.0199,0.0623,1024
2020-01-31,"84754","UT",,"Sevier County","Monroe",11249,1244,0.0055,-0.0091,0.0306,1443
2020-01-31,"62018","IL","St. Louis","Madison County","Rosewood Heights",11250,764,-0.0107,-0.0073,-0.0326,1315
2020-01-31,"28159","NC","Charlotte-Concord-Gastonia","Rowan County","Spencer",11251,854,-0.0049,-0.0034,-0.0013,1438
2020-01-31,"72554","AR",,"Fulton County","Mammoth Spring",11252,784,0.0195,-0.0022,-0.0178,1255
2020-01-31,"83611","ID",,"Valley County","Cascade",11253,1224,-0.0035,-0.0055,0.0584,2913
2020-01-31,"98862","WA",,"Okanogan County","Winthrop",11254,1548,-0.0095,-0.0249,0.0161,1954
2020-01-31,"27053","NC","Mount Airy","Surry County","Mount Airy",11255,1142,0.0066,0.0154,0.0256,1219
2020-01-31,"63037","MO","St. Louis","Franklin County","Gerald",11256,870,0.0239,0.005,0.0478,1232
2020-01-31,"50421","IA",,"Wright County","Belmond",11257,777,-0.0296,-0.0147,-0.0429,1202
2020-01-31,"47523","IN",,"Spencer County","Dale",11258,852,-0.0183,-0.0252,0.0202,1218
2020-01-31,"74035","OK","Tulsa","Osage County","Hominy",11259,827,-0.0003,0.0061,0.0571,1126
2020-01-31,"38313","TN","Jackson","Madison County","Beech Bluff",11260,963,0.0143,-0.0203,0.0226,1062
2020-01-31,"17562","PA","Lancaster","Lancaster County","Paradise Township",11261,1116,-0.0095,0.0231,0.0134,1377
2020-01-31,"21850","MD","Salisbury","Wicomico County","Pittsville",11262,1241,0.0223,0.0235,-0.0313,1040
2020-01-31,"55073","MN","Minneapolis-St. Paul-Bloomington","Washington County","Scandia",11263,1859,-0.0059,-0.0204,-0.0936,1432
2020-01-31,"97019","OR","Portland-Vancouver-Hillsboro","Multnomah County","Corbett",11264,1642,-0.0148,-0.0424,-0.0496,1180
2020-01-31,"97067","OR","Portland-Vancouver-Hillsboro","Clackamas County","Welches",11265,1671,0.0236,-0.0123,0.0099,1256
2020-01-31,"08560","NJ","Trenton","Mercer County","Hopewell Township",11266,2104,0.0187,-0.0142,-0.0134,1438
2020-01-31,"73121","OK","Oklahoma City","Oklahoma County","Oklahoma City",11267,909,-0.0085,0.0027,0.0077,1463
2020-01-31,"14812","NY",,"Schuyler County","Orange",11268,1268,-0.0068,-0.0159,0.011,1195
2020-01-31,"13308","NY","Utica-Rome","Oneida County","Town Of Vienna",11269,1042,-0.0295,0.0085,0.0607,1248
2020-01-31,"67449","KS",,"Dickinson County","Herington",11270,819,0.0219,0.0067,0.0065,1758
2020-01-31,"52738","IA",,"Louisa County","Columbus Junction",11271,863,-0.0061,0.0135,-0.0162,1248
2020-01-31,"85631","AZ","Phoenix-Mesa-Scottsdale","Pinal County","San Manuel",11272,1195,-0.012,0.0175,0.0397,1369
2020-01-31,"92285","CA","Riverside-San Bernardino-Ontario","San Bernardino County","Landers",11273,1218,0.0149,0.0715,0.1389,1579
2020-01-31,"32346","FL","Tallahassee","Wakulla County","Panacea",11274,1610,0.008,0.0133,0.0233,1897
2020-01-31,"47032","IN","Cincinnati","Dearborn County","Moores Hill",11275,957,-0.0299,-0.0355,0.0239,1288
2020-01-31,"43824","OH","Coshocton","Coshocton County","Fresno",11276,982,0.0105,-0.0089,0.0444,1116
2020-01-31,"47334","IN","Muncie","Delaware County","Daleville",11277,913,-0.0052,0.0135,-0.0552,1259
2020-01-31,"27283","NC","Greensboro-High Point","Guilford County","Julian",11278,1040,0.0068,0.0206,0.0334,1217
