,Unnamed: 0_x,Median year housing units were built_2011,Median contract rent_2011,Median gross rent (contract rent plus utilities)_2011,Median value (dollars) for Owner-Occupied housing units_2011,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2011,Zipcode,Unnamed: 0_y,Median year housing units were built_2012,Median contract rent_2012,Median gross rent (contract rent plus utilities)_2012,Median value (dollars) for Owner-Occupied housing units_2012,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2012,Unnamed: 0_x,Median year housing units were built_2013,Median contract rent_2013,Median gross rent (contract rent plus utilities)_2013,Median value (dollars) for Owner-Occupied housing units_2013,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2013,Unnamed: 0_y,Median year housing units were built_2014,Median contract rent_2014,Median gross rent (contract rent plus utilities)_2014,Median value (dollars) for Owner-Occupied housing units_2014,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2014,Unnamed: 0_x,Median year housing units were built_2015,Median contract rent_2015,Median gross rent (contract rent plus utilities)_2015,Median value (dollars) for Owner-Occupied housing units_2015,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2015,Unnamed: 0_y,Median year housing units were built_2016,Median contract rent_2016,Median gross rent (contract rent plus utilities)_2016,Median value (dollars) for Owner-Occupied housing units_2016,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2016,Unnamed: 0_x,Median year housing units were built_2017,Median contract rent_2017,Median gross rent (contract rent plus utilities)_2017,Median value (dollars) for Owner-Occupied housing units_2017,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2017,Unnamed: 0_y,Median year housing units were built_2018,Median contract rent_2018,Median gross rent (contract rent plus utilities)_2018,Median value (dollars) for Owner-Occupied housing units_2018,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2018
10,25335,1957.0,545.0,695.0,167500.0,1319.0,78702,28415,1960.0,584.0,766.0,175400.0,1337.0,26361,1963.0,606.0,807.0,188000.0,1333.0,27891,1964.0,645.0,839.0,203200.0,1501.0,5244,1965.0,694.0,893.0,235400.0,1521.0,20324,1968.0,782.0,990.0,251000.0,1628.0,27372,1968.0,838.0,1020.0,297700.0,1733.0,27372,1972.0,962.0,1159.0,361500.0,1945.0
11,25336,1958.0,965.0,1093.0,593800.0,3273.0,78703,28416,1961.0,1059.0,1183.0,621900.0,3230.0,26362,1964.0,1086.0,1192.0,641200.0,3285.0,27892,1964.0,1129.0,1224.0,692800.0,3404.0,5245,1965.0,1167.0,1266.0,704700.0,3365.0,20325,1966.0,1230.0,1362.0,735000.0,3444.0,27373,1967.0,1227.0,1319.0,767400.0,3595.0,27373,1969.0,1337.0,1452.0,822800.0,3741.0
12,25337,1974.0,768.0,895.0,330100.0,2074.0,78704,28417,1974.0,814.0,940.0,338200.0,2112.0,26363,1975.0,865.0,983.0,347500.0,2127.0,27893,1975.0,922.0,1041.0,361300.0,2119.0,5246,1976.0,965.0,1088.0,385700.0,2187.0,20326,1977.0,1038.0,1167.0,421800.0,2296.0,27374,1978.0,1115.0,1235.0,464400.0,2466.0,27374,1979.0,1203.0,1344.0,500600.0,2618.0
13,25338,1977.0,891.0,1001.0,300000.0,2213.0,78705,28418,1979.0,971.0,1088.0,292500.0,2207.0,26364,1980.0,971.0,1088.0,307200.0,2411.0,27894,1981.0,976.0,1094.0,342000.0,2633.0,5247,1982.0,993.0,1108.0,385600.0,2868.0,20327,1985.0,1035.0,1140.0,432800.0,3076.0,27375,1984.0,1124.0,1198.0,417800.0,2732.0,27375,1984.0,1176.0,1238.0,444700.0,2788.0
14,25339,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,78712,28419,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26365,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27895,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5248,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20328,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27376,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27376,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
15,25340,2002.0,846.0,977.0,245700.0,2218.0,78717,28420,2002.0,872.0,1018.0,243200.0,2215.0,26366,2002.0,894.0,1023.0,247200.0,2201.0,27896,2003.0,932.0,1068.0,253400.0,2196.0,5249,2003.0,974.0,1103.0,273200.0,2206.0,20329,2003.0,1053.0,1188.0,286400.0,2154.0,27377,2004.0,1115.0,1250.0,319800.0,2261.0,27377,2004.0,1201.0,1338.0,347900.0,2444.0
16,25341,1992.0,875.0,1188.0,105900.0,1119.0,78719,28421,1993.0,303.0,442.0,111000.0,1239.0,26367,1991.0,194.0,439.0,112500.0,1135.0,27897,1987.0,196.0,441.0,112200.0,1200.0,5250,1985.0,525.0,817.0,113300.0,1156.0,20330,1985.0,672.0,848.0,121200.0,1193.0,27378,1986.0,691.0,859.0,129700.0,1151.0,27378,1985.0,686.0,840.0,131800.0,1261.0
17,25342,1971.0,640.0,830.0,121700.0,1128.0,78721,28422,1970.0,668.0,870.0,121000.0,1119.0,26368,1972.0,701.0,899.0,124800.0,1164.0,27898,1973.0,710.0,920.0,140400.0,1196.0,5251,1971.0,710.0,920.0,156800.0,1240.0,20331,1972.0,755.0,970.0,178100.0,1268.0,27379,1970.0,813.0,990.0,212400.0,1303.0,27379,1972.0,902.0,1100.0,245500.0,1337.0
18,25343,1954.0,737.0,887.0,251200.0,1917.0,78722,28423,1955.0,814.0,930.0,265100.0,1961.0,26369,1956.0,870.0,974.0,279200.0,1981.0,27899,1956.0,923.0,1055.0,288600.0,2017.0,5252,1956.0,953.0,1081.0,293000.0,1964.0,20332,1954.0,1027.0,1170.0,313300.0,1916.0,27380,1953.0,1115.0,1280.0,358900.0,1904.0,27380,1953.0,1194.0,1359.0,382700.0,1934.0
19,25344,1971.0,654.0,815.0,168300.0,1400.0,78723,28424,1971.0,666.0,817.0,176500.0,1408.0,26370,1973.0,680.0,840.0,178500.0,1449.0,27900,1974.0,691.0,850.0,189100.0,1526.0,5253,1974.0,698.0,856.0,207600.0,1572.0,20333,1975.0,757.0,889.0,231300.0,1641.0,27381,1975.0,830.0,964.0,268700.0,1771.0,27381,1975.0,893.0,1049.0,300600.0,1892.0
20,25345,1993.0,694.0,939.0,106300.0,1186.0,78724,28425,1990.0,711.0,962.0,105700.0,1230.0,26371,1993.0,719.0,947.0,102000.0,1246.0,27901,1996.0,733.0,953.0,97900.0,1248.0,5254,1997.0,747.0,946.0,109100.0,1237.0,20334,1996.0,825.0,1038.0,111500.0,1226.0,27382,1997.0,846.0,1091.0,122100.0,1240.0,27382,1997.0,933.0,1216.0,133400.0,1294.0
21,25346,2000.0,1010.0,1197.0,112900.0,1200.0,78725,28426,1999.0,951.0,1189.0,114400.0,1185.0,26372,2000.0,951.0,1289.0,111800.0,1203.0,27902,2000.0,1031.0,1351.0,115800.0,1221.0,5255,2001.0,973.0,1291.0,121100.0,1232.0,20335,2001.0,979.0,1307.0,123300.0,1241.0,27383,2002.0,1068.0,1338.0,137800.0,1192.0,27383,2004.0,1247.0,1504.0,160200.0,1370.0
22,25347,2001.0,863.0,1037.0,348100.0,2565.0,78726,28427,2001.0,870.0,1050.0,349900.0,2438.0,26373,2001.0,872.0,1051.0,344700.0,2506.0,27903,2001.0,895.0,1046.0,350500.0,2477.0,5256,2001.0,887.0,1059.0,358100.0,2355.0,20336,2000.0,908.0,1092.0,378200.0,2418.0,27384,2001.0,1015.0,1136.0,392800.0,2646.0,27384,2001.0,1064.0,1189.0,447400.0,2756.0
23,25348,1993.0,853.0,989.0,197300.0,1615.0,78727,28428,1992.0,891.0,1050.0,198500.0,1662.0,26374,1992.0,935.0,1117.0,202600.0,1687.0,27904,1992.0,956.0,1147.0,206400.0,1661.0,5257,1992.0,970.0,1160.0,215500.0,1635.0,20337,1992.0,1011.0,1192.0,226300.0,1672.0,27385,1993.0,1083.0,1219.0,249700.0,1738.0,27385,1994.0,1141.0,1274.0,271200.0,1796.0
24,25349,1993.0,752.0,887.0,167200.0,1511.0,78728,28429,1992.0,767.0,901.0,168600.0,1491.0,26375,1992.0,803.0,940.0,170500.0,1489.0,27905,1993.0,832.0,962.0,175200.0,1491.0,5258,1993.0,862.0,991.0,182300.0,1505.0,20338,1993.0,904.0,1046.0,188100.0,1553.0,27386,1993.0,946.0,1093.0,205500.0,1593.0,27386,1994.0,992.0,1132.0,228200.0,1645.0
25,25350,1990.0,853.0,1012.0,187300.0,1616.0,78729,28430,1990.0,857.0,1008.0,192300.0,1646.0,26376,1991.0,857.0,1027.0,191300.0,1639.0,27906,1991.0,867.0,1039.0,198600.0,1635.0,5259,1991.0,879.0,1057.0,205600.0,1618.0,20339,1991.0,931.0,1100.0,218600.0,1638.0,27387,1991.0,987.0,1178.0,234200.0,1715.0,27387,1992.0,1086.0,1250.0,261800.0,1782.0
