,Unnamed: 0_x,Median Age_2011,Population_2011,Population (White Alone)_2011,Population (Black Alone)_2011,Population (American Indian or Alaskan Native Alone)_2011,Population (Asian Alone)_2011,Population (Native Hawaiian and Other Pacific Islander Alone)_2011,Population (Two or more races)_2011,Household Income_2011,Per Capita Income_2011,Employed_2011,Unemployed_2011,Zipcode,Unnamed: 0_y,Median Age_2012,Population_2012,Population (White Alone)_2012,Population (Black Alone)_2012,Population (American Indian or Alaskan Native Alone)_2012,Population (Asian Alone)_2012,Population (Native Hawaiian and Other Pacific Islander Alone)_2012,Population (Two or more races)_2012,Household Income_2012,Per Capita Income_2012,Employed_2012,Unemployed_2012,Unnamed: 0_x,Median Age_2013,Population_2013,Population (White Alone)_2013,Population (Black Alone)_2013,Population (American Indian or Alaskan Native Alone)_2013,Population (Asian Alone)_2013,Population (Native Hawaiian and Other Pacific Islander Alone)_2013,Population (Two or more races)_2013,Household Income_2013,Per Capita Income_2013,Employed_2013,Unemployed_2013,Unnamed: 0_y,Median Age_2014,Population_2014,Population (White Alone)_2014,Population (Black Alone)_2014,Population (American Indian or Alaskan Native Alone)_2014,Population (Asian Alone)_2014,Population (Native Hawaiian and Other Pacific Islander Alone)_2014,Population (Two or more races)_2014,Household Income_2014,Per Capita Income_2014,Employed_2014,Unemployed_2014,Unnamed: 0_x,Median Age_2015,Population_2015,Population (White Alone)_2015,Population (Black Alone)_2015,Population (American Indian or Alaskan Native Alone)_2015,Population (Asian Alone)_2015,Population (Native Hawaiian and Other Pacific Islander Alone)_2015,Population (Two or more races)_2015,Household Income_2015,Per Capita Income_2015,Employed_2015,Unemployed_2015,Unnamed: 0_y,Median Age_2016,Population_2016,Population (White Alone)_2016,Population (Black Alone)_2016,Population (American Indian or Alaskan Native Alone)_2016,Population (Asian Alone)_2016,Population (Native Hawaiian and Other Pacific Islander Alone)_2016,Population (Two or more races)_2016,Household Income_2016,Per Capita Income_2016,Employed_2016,Unemployed_2016,Unnamed: 0_x,Median Age_2017,Population_2017,Population (White Alone)_2017,Population (Black Alone)_2017,Population (American Indian or Alaskan Native Alone)_2017,Population (Asian Alone)_2017,Population (Native Hawaiian and Other Pacific Islander Alone)_2017,Population (Two or more races)_2017,Household Income_2017,Per Capita Income_2017,Employed_2017,Unemployed_2017,Unnamed: 0_y,Median Age_2018,Population_2018,Population (White Alone)_2018,Population (Black Alone)_2018,Population (American Indian or Alaskan Native Alone)_2018,Population (Asian Alone)_2018,Population (Native Hawaiian and Other Pacific Islander Alone)_2018,Population (Two or more races)_2018,Household Income_2018,Per Capita Income_2018,Employed_2018,Unemployed_2018
10,25805,32.5,20643.0,12260.0,3264.0,215.0,363.0,0.0,329.0,35350.0,18767.0,9261.0,1192.0,78702,24770,32.1,21032.0,12977.0,3236.0,219.0,359.0,0.0,474.0,34734.0,18843.0,9594.0,1198.0,27372,32.3,21655.0,13869.0,3128.0,223.0,263.0,0.0,592.0,36197.0,19715.0,10254.0,1196.0,28935,33.1,21855.0,14606.0,3008.0,102.0,276.0,0.0,642.0,37690.0,21922.0,10831.0,1073.0,32217,34.2,21477.0,15111.0,2926.0,99.0,476.0,0.0,700.0,41016.0,24664.0,11301.0,959.0,20470,33.5,22617.0,16413.0,3034.0,46.0,415.0,0.0,888.0,48174.0,27624.0,12152.0,842.0,222,33.3,22876.0,16739.0,3025.0,40.0,431.0,0.0,804.0,54053.0,31332.0,12896.0,791.0,19612,33.4,23389.0,16875.0,3580.0,31.0,469.0,3.0,838.0,59705.0,35537.0,13355.0,682.0
11,25806,36.4,19579.0,17589.0,258.0,219.0,943.0,0.0,412.0,85379.0,64283.0,10883.0,382.0,78703,24771,36.4,19873.0,17849.0,375.0,202.0,940.0,0.0,376.0,92606.0,65368.0,11228.0,438.0,27373,36.2,19860.0,17897.0,325.0,153.0,877.0,0.0,446.0,80569.0,66049.0,11415.0,532.0,28936,35.8,20061.0,17719.0,321.0,184.0,1218.0,0.0,454.0,81903.0,70259.0,11762.0,607.0,32218,36.1,20530.0,18006.0,307.0,144.0,1335.0,0.0,518.0,88163.0,72850.0,12220.0,460.0,20471,36.4,20815.0,18414.0,254.0,57.0,1482.0,0.0,375.0,92746.0,77733.0,12551.0,394.0,2797,36.0,20788.0,18558.0,120.0,38.0,1653.0,0.0,231.0,98553.0,79101.0,12715.0,339.0,17966,36.1,20890.0,18214.0,239.0,46.0,1889.0,0.0,260.0,105207.0,85040.0,12716.0,247.0
12,25807,31.8,41616.0,34331.0,1636.0,366.0,581.0,17.0,933.0,47336.0,35317.0,26244.0,1938.0,78704,24772,31.4,41709.0,36458.0,1450.0,311.0,694.0,21.0,930.0,50248.0,36500.0,26160.0,1933.0,27374,31.6,41999.0,37836.0,1413.0,288.0,718.0,0.0,1134.0,50930.0,37301.0,26813.0,1992.0,28937,32.0,42770.0,38890.0,1139.0,302.0,765.0,0.0,1121.0,52306.0,38699.0,27508.0,1621.0,32219,32.0,44668.0,40277.0,1305.0,226.0,1170.0,0.0,1184.0,58601.0,41560.0,29075.0,1355.0,20472,32.2,46474.0,41970.0,1233.0,249.0,1256.0,33.0,1261.0,62283.0,43496.0,30599.0,1149.0,2819,32.6,47158.0,41998.0,1496.0,298.0,1444.0,24.0,1322.0,66262.0,46947.0,31314.0,1119.0,19496,33.0,48486.0,42676.0,1852.0,267.0,1573.0,27.0,1526.0,70511.0,53557.0,32404.0,1127.0
13,25808,20.8,29247.0,21882.0,976.0,62.0,4667.0,2.0,586.0,11910.0,10843.0,11056.0,1856.0,78705,24773,20.8,30532.0,23032.0,929.0,69.0,4756.0,2.0,756.0,11917.0,10617.0,11494.0,1941.0,27375,20.9,31282.0,23448.0,1295.0,86.0,4622.0,3.0,935.0,12143.0,9791.0,11479.0,1835.0,28938,20.9,31735.0,23725.0,1453.0,66.0,4658.0,3.0,980.0,12786.0,10529.0,12013.0,1738.0,32220,21.0,32346.0,24055.0,1667.0,132.0,4607.0,3.0,1002.0,12385.0,11246.0,12242.0,1632.0,20473,20.9,32414.0,23811.0,2064.0,99.0,4559.0,10.0,1130.0,13349.0,12075.0,12455.0,1279.0,202,21.0,33075.0,23827.0,2347.0,104.0,4910.0,9.0,1143.0,15309.0,12956.0,12909.0,1260.0,19603,21.0,33948.0,24285.0,2415.0,113.0,5192.0,17.0,1145.0,19188.0,14074.0,13738.0,1302.0
14,25809,-666666666.0,544.0,436.0,0.0,0.0,27.0,0.0,0.0,-666666666.0,1595.0,54.0,27.0,78712,24774,19.5,554.0,426.0,0.0,0.0,55.0,0.0,0.0,-666666666.0,1508.0,74.0,19.0,27376,19.6,548.0,414.0,44.0,0.0,45.0,0.0,0.0,-666666666.0,3448.0,111.0,21.0,28939,19.6,557.0,400.0,49.0,8.0,35.0,0.0,16.0,-666666666.0,3474.0,138.0,16.0,32221,19.7,828.0,590.0,93.0,9.0,46.0,0.0,36.0,-666666666.0,3369.0,225.0,48.0,20474,19.8,848.0,586.0,136.0,9.0,40.0,0.0,48.0,-666666666.0,3748.0,238.0,68.0,174,19.6,845.0,591.0,156.0,9.0,18.0,0.0,44.0,-666666666.0,3606.0,234.0,71.0,19636,19.7,860.0,633.0,132.0,8.0,18.0,0.0,44.0,-666666666.0,3015.0,229.0,70.0
15,25810,33.5,22278.0,15990.0,1180.0,0.0,3855.0,11.0,581.0,94112.0,39760.0,12034.0,583.0,78717,24775,33.9,23514.0,16829.0,1026.0,0.0,4254.0,12.0,671.0,93305.0,38702.0,12680.0,702.0,27377,33.6,24099.0,17826.0,965.0,0.0,3997.0,7.0,796.0,93701.0,38401.0,12657.0,707.0,28940,34.3,25427.0,18654.0,762.0,0.0,4884.0,0.0,832.0,99541.0,40670.0,13098.0,678.0,32222,34.9,26072.0,18540.0,900.0,13.0,5320.0,0.0,988.0,100364.0,41582.0,13603.0,578.0,20475,35.1,27101.0,19147.0,825.0,146.0,5761.0,31.0,804.0,103595.0,42516.0,14044.0,474.0,2134,34.7,27764.0,18291.0,1097.0,200.0,6786.0,50.0,978.0,104167.0,45258.0,14236.0,399.0,18918,34.7,30218.0,18218.0,1338.0,224.0,8374.0,108.0,1297.0,110085.0,45879.0,15479.0,444.0
16,25811,38.5,1427.0,924.0,4.0,11.0,0.0,0.0,14.0,39794.0,23095.0,615.0,75.0,78719,24776,38.3,1717.0,1181.0,48.0,10.0,0.0,0.0,12.0,39500.0,21788.0,639.0,114.0,27378,36.1,1746.0,1351.0,55.0,0.0,0.0,0.0,13.0,38305.0,19582.0,684.0,97.0,28941,40.4,1807.0,1548.0,58.0,0.0,0.0,0.0,18.0,38875.0,16961.0,663.0,31.0,32223,46.3,1485.0,1221.0,0.0,0.0,3.0,0.0,35.0,41111.0,16382.0,618.0,24.0,20476,43.6,1762.0,1456.0,42.0,0.0,6.0,0.0,24.0,45250.0,15407.0,749.0,31.0,2691,43.5,2007.0,1300.0,105.0,0.0,6.0,0.0,56.0,46833.0,16838.0,944.0,16.0,18999,44.4,1815.0,1170.0,95.0,0.0,4.0,0.0,41.0,58917.0,19199.0,935.0,14.0
17,25812,30.6,11100.0,4375.0,3537.0,159.0,74.0,11.0,198.0,30591.0,14687.0,4232.0,660.0,78721,24777,31.2,11178.0,4880.0,3882.0,232.0,77.0,12.0,346.0,32131.0,15281.0,4095.0,768.0,27379,32.2,11482.0,5552.0,3748.0,223.0,38.0,8.0,326.0,33798.0,15789.0,4469.0,782.0,28942,32.7,12087.0,5989.0,3825.0,264.0,84.0,14.0,363.0,36698.0,17371.0,4812.0,1008.0,32224,32.9,12508.0,6671.0,3843.0,242.0,147.0,25.0,366.0,37234.0,17250.0,5201.0,907.0,20477,33.4,12153.0,6848.0,3749.0,115.0,184.0,0.0,414.0,38301.0,17626.0,5768.0,696.0,2798,34.6,12447.0,6841.0,3851.0,53.0,185.0,0.0,323.0,41611.0,20187.0,6210.0,638.0,17967,34.6,12492.0,7154.0,3282.0,55.0,224.0,0.0,378.0,44076.0,22792.0,6559.0,442.0
18,25813,33.9,5733.0,4387.0,744.0,34.0,140.0,0.0,157.0,44798.0,32028.0,3650.0,255.0,78722,24778,33.1,5973.0,4548.0,808.0,53.0,159.0,0.0,181.0,44917.0,33293.0,3833.0,323.0,27380,33.6,6355.0,4975.0,649.0,38.0,244.0,34.0,171.0,50923.0,36289.0,4038.0,340.0,28943,32.7,6514.0,4925.0,726.0,48.0,224.0,35.0,263.0,54526.0,36879.0,4092.0,328.0,32225,32.3,7006.0,5191.0,855.0,0.0,315.0,35.0,346.0,64929.0,38941.0,4567.0,303.0,20478,32.3,7292.0,5587.0,973.0,0.0,195.0,32.0,445.0,63559.0,36416.0,4818.0,183.0,2779,32.6,7254.0,5754.0,853.0,0.0,188.0,29.0,362.0,69267.0,43161.0,4971.0,129.0,19065,32.6,7110.0,5584.0,840.0,0.0,150.0,0.0,411.0,71340.0,43950.0,4870.0,136.0
19,25814,30.2,29869.0,17621.0,8119.0,251.0,553.0,0.0,494.0,41839.0,20478.0,14263.0,1633.0,78723,24779,30.3,30999.0,20338.0,7410.0,231.0,553.0,0.0,730.0,41869.0,20893.0,14665.0,1594.0,27381,30.9,31234.0,20679.0,7438.0,269.0,600.0,0.0,892.0,42939.0,22439.0,15145.0,1516.0,28944,32.1,30955.0,20656.0,6985.0,135.0,597.0,0.0,846.0,42615.0,23108.0,15130.0,1534.0,32226,31.9,32155.0,21832.0,6674.0,116.0,627.0,0.0,692.0,42433.0,23463.0,15878.0,1328.0,20479,32.7,32496.0,22427.0,6233.0,97.0,575.0,0.0,711.0,42462.0,25830.0,16581.0,1088.0,2692,33.7,33170.0,22059.0,6287.0,115.0,720.0,0.0,879.0,49606.0,29017.0,17855.0,914.0,19000,33.8,34569.0,21822.0,7038.0,125.0,854.0,0.0,974.0,54707.0,31940.0,19024.0,877.0
