,Unnamed: 0_x,Education (No Schooling)_2012,Education (High School)_2012,Education (GED)_2012,Education (Associate's)_2012,Education (Bachelor's)_2012,Education (Master's)_2012,Education (Master's)_2012,Education (Doctorate)_2012,Zipcode,Unnamed: 0_y,Education (No Schooling)_2013,Education (High School)_2013,Education (GED)_2013,Education (Associate's)_2013,Education (Bachelor's)_2013,Education (Master's)_2013,Education (Master's)_2013,Education (Doctorate)_2013,Unnamed: 0_x,Education (No Schooling)_2014,Education (High School)_2014,Education (GED)_2014,Education (Associate's)_2014,Education (Bachelor's)_2014,Education (Master's)_2014,Education (Master's)_2014,Education (Doctorate)_2014,Unnamed: 0_y,Education (No Schooling)_2015,Education (High School)_2015,Education (GED)_2015,Education (Associate's)_2015,Education (Bachelor's)_2015,Education (Master's)_2015,Education (Master's)_2015,Education (Doctorate)_2015,Unnamed: 0_x,Education (No Schooling)_2016,Education (High School)_2016,Education (GED)_2016,Education (Associate's)_2016,Education (Bachelor's)_2016,Education (Master's)_2016,Education (Master's)_2016,Education (Doctorate)_2016,Unnamed: 0_y,Education (No Schooling)_2017,Education (High School)_2017,Education (GED)_2017,Education (Associate's)_2017,Education (Bachelor's)_2017,Education (Master's)_2017,Education (Master's)_2017,Education (Doctorate)_2017,Unnamed: 0,Education (No Schooling)_2018,Education (High School)_2018,Education (GED)_2018,Education (Associate's)_2018,Education (Bachelor's)_2018,Education (Master's)_2018,Education (Master's)_2018,Education (Doctorate)_2018
10,27372,508.0,2706.0,579.0,479.0,2895.0,774.0,137.0,139.0,78702,27215,517.0,2516.0,730.0,323.0,3205.0,1002.0,178.0,174.0,27852,540.0,2696.0,716.0,425.0,3325.0,1053.0,269.0,134.0,32217,614.0,2631.0,685.0,509.0,3385.0,1330.0,311.0,189.0,20470,648.0,2908.0,718.0,444.0,3883.0,1348.0,384.0,210.0,222,566.0,2700.0,763.0,559.0,4272.0,1649.0,458.0,198.0,19612,648.0,2622.0,742.0,602.0,4926.0,1854.0,485.0,299.0
11,27373,115.0,595.0,206.0,188.0,6392.0,3402.0,1841.0,717.0,78703,27216,25.0,460.0,128.0,223.0,6595.0,3315.0,2016.0,611.0,27853,11.0,443.0,78.0,234.0,6822.0,3303.0,1986.0,735.0,32218,42.0,454.0,87.0,274.0,6862.0,3542.0,2082.0,646.0,20471,31.0,434.0,76.0,280.0,6970.0,3653.0,1972.0,786.0,2797,60.0,358.0,72.0,285.0,6615.0,3929.0,1900.0,657.0,17966,61.0,333.0,69.0,318.0,6581.0,4265.0,1834.0,773.0
12,27374,260.0,2952.0,436.0,1594.0,10237.0,3741.0,1397.0,764.0,78704,27217,227.0,2891.0,556.0,1546.0,11110.0,3834.0,1584.0,759.0,27854,227.0,2910.0,551.0,1672.0,11789.0,3844.0,1670.0,1029.0,32219,238.0,3016.0,562.0,1570.0,12834.0,4522.0,1654.0,1040.0,20472,223.0,2908.0,590.0,1562.0,14067.0,4664.0,1716.0,1134.0,2819,235.0,2760.0,714.0,1728.0,15017.0,5045.0,1755.0,1028.0,19496,161.0,2714.0,563.0,1851.0,16148.0,5370.0,1836.0,1334.0
13,27375,65.0,275.0,81.0,241.0,1926.0,1214.0,276.0,420.0,78705,27218,98.0,296.0,80.0,242.0,2165.0,1014.0,179.0,418.0,27855,140.0,309.0,5.0,213.0,2147.0,1100.0,217.0,435.0,32220,71.0,363.0,54.0,238.0,2474.0,1005.0,203.0,577.0,20473,77.0,327.0,67.0,201.0,2638.0,1144.0,248.0,401.0,202,76.0,363.0,66.0,232.0,2923.0,1143.0,206.0,392.0,19603,5.0,414.0,93.0,232.0,3004.0,1265.0,230.0,469.0
14,27376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78712,27219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20474,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,174,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,19636,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
15,27377,28.0,1550.0,197.0,1587.0,5655.0,2501.0,293.0,376.0,78717,27220,58.0,1467.0,471.0,1524.0,5546.0,2455.0,295.0,423.0,27857,35.0,1350.0,549.0,1531.0,6240.0,2813.0,380.0,496.0,32222,73.0,1493.0,505.0,1510.0,6523.0,2803.0,445.0,460.0,20475,48.0,1336.0,363.0,1316.0,7106.0,2771.0,487.0,436.0,2134,57.0,1552.0,422.0,1166.0,6750.0,3106.0,633.0,478.0,18918,75.0,1611.0,222.0,1512.0,7199.0,3831.0,673.0,514.0
16,27378,22.0,156.0,93.0,20.0,91.0,46.0,39.0,0.0,78719,27221,25.0,201.0,89.0,20.0,76.0,48.0,0.0,0.0,27858,27.0,337.0,95.0,48.0,64.0,36.0,0.0,0.0,32223,33.0,308.0,86.0,45.0,75.0,14.0,4.0,12.0,20476,8.0,278.0,61.0,56.0,69.0,15.0,5.0,14.0,2691,39.0,366.0,66.0,39.0,74.0,17.0,5.0,14.0,18999,48.0,321.0,60.0,40.0,61.0,15.0,6.0,14.0
17,27379,260.0,1593.0,382.0,266.0,749.0,159.0,47.0,10.0,78721,27222,296.0,1599.0,419.0,249.0,783.0,187.0,38.0,19.0,27859,327.0,1855.0,505.0,306.0,911.0,229.0,59.0,16.0,32224,300.0,1818.0,585.0,365.0,940.0,275.0,92.0,23.0,20477,346.0,1757.0,493.0,314.0,1183.0,381.0,119.0,38.0,2798,413.0,1863.0,503.0,309.0,1483.0,445.0,91.0,51.0,17967,511.0,1888.0,430.0,292.0,1877.0,558.0,140.0,47.0
18,27380,0.0,492.0,62.0,137.0,1954.0,651.0,101.0,149.0,78722,27223,0.0,401.0,46.0,189.0,1978.0,859.0,102.0,197.0,27860,32.0,422.0,110.0,222.0,2141.0,826.0,136.0,132.0,32225,9.0,545.0,87.0,178.0,2283.0,914.0,155.0,137.0,20478,27.0,652.0,81.0,174.0,2175.0,1090.0,188.0,141.0,2779,28.0,540.0,131.0,217.0,2473.0,1028.0,226.0,143.0,19065,22.0,519.0,148.0,163.0,2434.0,992.0,312.0,158.0
19,27381,561.0,3129.0,888.0,708.0,3602.0,1364.0,270.0,254.0,78723,27224,503.0,3116.0,1021.0,785.0,4098.0,1605.0,324.0,315.0,27861,554.0,3268.0,990.0,976.0,4235.0,1751.0,386.0,382.0,32226,585.0,3604.0,920.0,1027.0,4685.0,1829.0,395.0,357.0,20479,592.0,3705.0,814.0,982.0,5203.0,2083.0,386.0,268.0,2692,512.0,3968.0,851.0,1089.0,5522.0,2510.0,510.0,397.0,19000,637.0,3980.0,728.0,1161.0,6075.0,2572.0,626.0,545.0
