,Unnamed: 0_x,Education (No Schooling)_2012,Education (High School)_2012,Education (GED)_2012,Education (Associate's)_2012,Education (Bachelor's)_2012,Education (Master's)_2012,Education (Master's)_2012,Education (Doctorate)_2012,Zipcode,Unnamed: 0_y,Education (No Schooling)_2013,Education (High School)_2013,Education (GED)_2013,Education (Associate's)_2013,Education (Bachelor's)_2013,Education (Master's)_2013,Education (Master's)_2013,Education (Doctorate)_2013,Unnamed: 0_x,Education (No Schooling)_2014,Education (High School)_2014,Education (GED)_2014,Education (Associate's)_2014,Education (Bachelor's)_2014,Education (Master's)_2014,Education (Master's)_2014,Education (Doctorate)_2014,Unnamed: 0_y,Education (No Schooling)_2015,Education (High School)_2015,Education (GED)_2015,Education (Associate's)_2015,Education (Bachelor's)_2015,Education (Master's)_2015,Education (Master's)_2015,Education (Doctorate)_2015,Unnamed: 0_x,Education (No Schooling)_2016,Education (High School)_2016,Education (GED)_2016,Education (Associate's)_2016,Education (Bachelor's)_2016,Education (Master's)_2016,Education (Master's)_2016,Education (Doctorate)_2016,Unnamed: 0_y,Education (No Schooling)_2017,Education (High School)_2017,Education (GED)_2017,Education (Associate's)_2017,Education (Bachelor's)_2017,Education (Master's)_2017,Education (Master's)_2017,Education (Doctorate)_2017,Unnamed: 0,Education (No Schooling)_2018,Education (High School)_2018,Education (GED)_2018,Education (Associate's)_2018,Education (Bachelor's)_2018,Education (Master's)_2018,Education (Master's)_2018,Education (Doctorate)_2018
33,27395,1.0,884.0,118.0,477.0,3335.0,1302.0,416.0,277.0,78737,27238,1.0,859.0,106.0,546.0,3463.0,1447.0,433.0,306.0,27875,1.0,1080.0,126.0,697.0,3620.0,1408.0,456.0,273.0,32240,75.0,932.0,125.0,706.0,3813.0,1598.0,401.0,257.0,21663,59.0,932.0,121.0,721.0,3928.0,1790.0,207.0,244.0,2135,52.0,1051.0,154.0,830.0,4143.0,1831.0,205.0,325.0,18919,45.0,1110.0,150.0,658.0,4283.0,1871.0,240.0,296.0
34,27396,2.0,554.0,67.0,412.0,3788.0,1505.0,359.0,108.0,78738,27239,2.0,618.0,57.0,490.0,3865.0,1552.0,400.0,133.0,27876,2.0,687.0,68.0,536.0,4137.0,1513.0,429.0,188.0,32241,16.0,879.0,48.0,535.0,4402.0,1699.0,488.0,233.0,21664,25.0,926.0,62.0,513.0,4526.0,1774.0,430.0,216.0,2673,18.0,977.0,43.0,563.0,4894.0,1822.0,411.0,242.0,19007,26.0,885.0,62.0,489.0,5142.0,1800.0,453.0,275.0
35,27397,50.0,675.0,50.0,523.0,4569.0,1900.0,594.0,358.0,78739,27240,44.0,687.0,74.0,484.0,4754.0,2002.0,529.0,353.0,27877,63.0,641.0,29.0,577.0,5111.0,2006.0,624.0,419.0,32242,0.0,747.0,35.0,572.0,5275.0,2064.0,490.0,515.0,21665,0.0,815.0,54.0,637.0,5497.0,2353.0,532.0,580.0,2821,18.0,766.0,54.0,634.0,5977.0,2508.0,552.0,586.0,19498,19.0,953.0,64.0,600.0,5607.0,2740.0,660.0,565.0
36,27398,512.0,4161.0,1020.0,1139.0,3655.0,1294.0,224.0,223.0,78741,27241,510.0,4525.0,1035.0,1107.0,3866.0,1351.0,225.0,237.0,27878,680.0,4688.0,1060.0,1243.0,4556.0,1393.0,247.0,310.0,32243,715.0,4934.0,1250.0,1707.0,5339.0,1544.0,253.0,256.0,21666,884.0,4997.0,1058.0,1793.0,6155.0,1972.0,368.0,317.0,17856,969.0,5324.0,1368.0,2064.0,6501.0,2018.0,401.0,400.0,19597,1156.0,5360.0,1415.0,2145.0,7551.0,1872.0,545.0,356.0
37,27399,5.0,95.0,42.0,5.0,53.0,22.0,0.0,4.0,78742,27242,7.0,66.0,41.0,8.0,68.0,40.0,0.0,5.0,27879,13.0,74.0,40.0,20.0,46.0,34.0,0.0,4.0,32244,25.0,103.0,18.0,43.0,57.0,29.0,0.0,4.0,21667,50.0,95.0,15.0,53.0,45.0,7.0,0.0,0.0,2822,27.0,72.0,5.0,61.0,57.0,10.0,4.0,0.0,19499,42.0,72.0,18.0,59.0,29.0,11.0,6.0,0.0
38,27400,946.0,4877.0,1320.0,1225.0,2291.0,652.0,220.0,29.0,78744,27243,1147.0,5452.0,1331.0,1233.0,2478.0,664.0,201.0,35.0,27880,1221.0,5581.0,1285.0,1410.0,2955.0,754.0,133.0,35.0,32245,1001.0,5954.0,1140.0,1449.0,3311.0,794.0,120.0,43.0,21668,1306.0,6549.0,1172.0,1425.0,3329.0,852.0,189.0,31.0,17808,1372.0,6906.0,1247.0,1634.0,3758.0,920.0,154.0,60.0,19546,1248.0,7034.0,1248.0,1726.0,4466.0,1061.0,177.0,74.0
39,27401,374.0,6559.0,1458.0,2829.0,9756.0,3007.0,537.0,406.0,78745,27244,298.0,6923.0,1836.0,2426.0,10258.0,3204.0,587.0,359.0,27881,377.0,7162.0,1860.0,2211.0,10887.0,3384.0,604.0,473.0,32246,457.0,7232.0,1834.0,2508.0,11512.0,3659.0,839.0,522.0,21669,468.0,7292.0,2038.0,2556.0,12198.0,3805.0,859.0,517.0,223,559.0,6855.0,2019.0,2814.0,12637.0,4364.0,749.0,630.0,19613,624.0,6991.0,2131.0,3331.0,12986.0,4593.0,764.0,676.0
40,27402,7.0,676.0,185.0,637.0,7965.0,3885.0,2025.0,1037.0,78746,27245,18.0,783.0,167.0,625.0,8101.0,3972.0,2097.0,966.0,27882,17.0,898.0,197.0,620.0,8279.0,3888.0,1869.0,1045.0,32247,25.0,770.0,138.0,641.0,8507.0,4107.0,1963.0,979.0,21670,27.0,774.0,167.0,640.0,8553.0,4059.0,2065.0,911.0,17857,37.0,748.0,167.0,690.0,8693.0,4168.0,2294.0,956.0,19598,41.0,663.0,148.0,648.0,8997.0,4201.0,2141.0,917.0
41,27403,152.0,1879.0,488.0,601.0,1869.0,403.0,100.0,100.0,78747,27246,201.0,2194.0,434.0,584.0,2354.0,406.0,133.0,118.0,27883,313.0,2310.0,639.0,544.0,2560.0,481.0,140.0,136.0,32248,352.0,2512.0,625.0,666.0,2779.0,617.0,109.0,98.0,21671,416.0,2644.0,571.0,744.0,2972.0,759.0,119.0,103.0,2136,352.0,3030.0,504.0,618.0,2935.0,878.0,112.0,162.0,18920,290.0,2751.0,615.0,693.0,2991.0,1108.0,94.0,149.0
42,27404,133.0,4341.0,761.0,1972.0,7765.0,2572.0,275.0,238.0,78748,27247,134.0,4469.0,801.0,2116.0,8639.0,2750.0,297.0,217.0,27884,132.0,5015.0,971.0,2068.0,9163.0,3252.0,343.0,255.0,32249,191.0,5306.0,958.0,2097.0,9598.0,3687.0,430.0,300.0,21672,217.0,5602.0,1078.0,2146.0,9970.0,3902.0,453.0,287.0,17809,333.0,5223.0,1071.0,2246.0,10642.0,4367.0,458.0,289.0,19548,321.0,5764.0,975.0,2017.0,11253.0,4264.0,549.0,233.0
43,27405,69.0,2405.0,430.0,1500.0,9074.0,3654.0,599.0,637.0,78749,27248,74.0,2437.0,339.0,1572.0,9571.0,3755.0,725.0,633.0,27885,103.0,2248.0,321.0,1448.0,9900.0,4174.0,841.0,821.0,32250,134.0,2325.0,353.0,1401.0,10305.0,4528.0,879.0,870.0,21673,104.0,2221.0,337.0,1464.0,10592.0,4359.0,914.0,752.0,2137,94.0,2370.0,340.0,1334.0,11449.0,4629.0,909.0,778.0,18921,50.0,2363.0,419.0,1364.0,11117.0,5311.0,977.0,858.0
44,27406,76.0,2313.0,425.0,1144.0,6514.0,2611.0,845.0,892.0,78750,27249,61.0,2264.0,409.0,1082.0,6564.0,2470.0,801.0,761.0,27886,95.0,2528.0,493.0,1324.0,6549.0,2851.0,759.0,698.0,33041,183.0,2502.0,503.0,1317.0,7004.0,2848.0,736.0,599.0,21674,241.0,2413.0,537.0,1318.0,7101.0,3541.0,676.0,544.0,2802,184.0,2411.0,374.0,1478.0,7280.0,3767.0,730.0,682.0,17971,213.0,2560.0,313.0,1464.0,7513.0,4108.0,733.0,738.0
45,27407,69.0,549.0,175.0,523.0,3262.0,1622.0,218.0,547.0,78751,27250,52.0,501.0,189.0,438.0,3468.0,1893.0,277.0,488.0,27887,70.0,646.0,199.0,382.0,3599.0,1893.0,370.0,433.0,33042,71.0,767.0,178.0,389.0,3881.0,1864.0,390.0,445.0,21675,56.0,779.0,187.0,312.0,4359.0,2008.0,432.0,518.0,2698,67.0,892.0,163.0,394.0,4728.0,2040.0,517.0,540.0,19018,84.0,873.0,199.0,437.0,4954.0,2121.0,513.0,753.0
46,27408,333.0,1945.0,438.0,551.0,1691.0,830.0,37.0,140.0,78752,27251,339.0,2075.0,480.0,493.0,2095.0,807.0,88.0,120.0,27888,436.0,2422.0,302.0,383.0,2306.0,921.0,122.0,118.0,33043,483.0,2673.0,269.0,373.0,2738.0,801.0,206.0,126.0,21676,451.0,2724.0,185.0,311.0,2705.0,760.0,295.0,81.0,2732,405.0,2973.0,191.0,344.0,3172.0,889.0,411.0,129.0,19088,568.0,2748.0,301.0,545.0,3749.0,1132.0,434.0,125.0
47,27409,1038.0,7005.0,789.0,1628.0,4396.0,1376.0,241.0,202.0,78753,27252,967.0,6852.0,1143.0,1645.0,4746.0,1238.0,167.0,186.0,27889,1074.0,7081.0,1352.0,1644.0,4811.0,1289.0,268.0,206.0,33044,994.0,7968.0,1343.0,1697.0,4790.0,1132.0,269.0,287.0,21677,1048.0,8624.0,1558.0,1691.0,4903.0,1172.0,279.0,268.0,2803,1152.0,9552.0,1642.0,1971.0,5319.0,1541.0,296.0,220.0,17972,1285.0,9777.0,1410.0,2257.0,5943.0,1742.0,262.0,247.0
48,27410,159.0,1480.0,417.0,699.0,2426.0,795.0,83.0,102.0,78754,27253,187.0,2008.0,516.0,698.0,2516.0,902.0,97.0,127.0,27890,217.0,2390.0,480.0,955.0,2597.0,1037.0,120.0,139.0,33045,322.0,2653.0,429.0,1324.0,3103.0,1331.0,141.0,110.0,21678,361.0,2843.0,397.0,1408.0,3159.0,1480.0,217.0,199.0,17858,302.0,2931.0,415.0,1551.0,3780.0,1703.0,333.0,187.0,19602,253.0,2697.0,431.0,1489.0,4016.0,1810.0,326.0,318.0
49,27411,3.0,478.0,97.0,225.0,2275.0,1180.0,168.0,295.0,78756,27254,9.0,328.0,152.0,251.0,2218.0,1293.0,211.0,339.0,27891,11.0,568.0,173.0,251.0,2308.0,1403.0,248.0,391.0,33046,10.0,595.0,178.0,187.0,2529.0,1592.0,255.0,380.0,21679,22.0,494.0,163.0,221.0,2941.0,1419.0,287.0,361.0,17813,21.0,511.0,152.0,156.0,2796.0,1472.0,310.0,428.0,19551,12.0,623.0,62.0,216.0,2978.0,1483.0,324.0,387.0
50,27412,111.0,2280.0,376.0,914.0,5140.0,2334.0,519.0,493.0,78757,27255,116.0,2178.0,384.0,926.0,5220.0,2528.0,514.0,461.0,27892,78.0,2323.0,309.0,1002.0,5774.0,2579.0,437.0,524.0,33047,121.0,2319.0,299.0,1071.0,6232.0,2516.0,471.0,535.0,21680,147.0,2157.0,395.0,1028.0,6434.0,2712.0,511.0,452.0,2138,213.0,2459.0,285.0,1037.0,6364.0,2561.0,619.0,538.0,18922,364.0,2108.0,290.0,980.0,6453.0,2854.0,611.0,655.0
51,27413,482.0,4916.0,1197.0,1697.0,6078.0,2188.0,153.0,210.0,78758,27256,562.0,5270.0,1200.0,1690.0,6744.0,2167.0,169.0,200.0,27893,561.0,5725.0,1167.0,1769.0,6489.0,2137.0,144.0,397.0,33048,678.0,6238.0,1138.0,1797.0,7272.0,1927.0,192.0,557.0,21681,697.0,6538.0,1046.0,1702.0,7372.0,2090.0,325.0,613.0,2733,598.0,6743.0,916.0,1969.0,8308.0,2220.0,365.0,554.0,19089,623.0,6776.0,865.0,2023.0,8582.0,2430.0,436.0,922.0
52,27414,19.0,2555.0,412.0,1454.0,11152.0,5081.0,1346.0,1386.0,78759,27257,47.0,2476.0,424.0,1484.0,11325.0,5109.0,1497.0,1299.0,27894,67.0,2476.0,468.0,1431.0,11407.0,5571.0,1443.0,1445.0,33049,87.0,2538.0,521.0,1432.0,11558.0,6057.0,1396.0,1448.0,21682,108.0,2535.0,406.0,1532.0,11999.0,6136.0,1304.0,1549.0,203,145.0,2582.0,384.0,1619.0,11782.0,6529.0,1285.0,1691.0,19604,106.0,2579.0,402.0,1602.0,12516.0,6712.0,1318.0,1684.0
