,Education (No Schooling),Education (High School),Education (GED),Education (Associate's),Education (Bachelor's),Education (Master's),Education (Professional),Education (Doctorate),Zipcode
17965,918.0,10475.0,1950.0,6005.0,15392.0,4854.0,750.0,488.0,78660
17966,61.0,333.0,69.0,318.0,6581.0,4265.0,1834.0,773.0,78703
17967,511.0,1888.0,430.0,292.0,1877.0,558.0,140.0,47.0,78721
17968,53.0,708.0,24.0,456.0,4155.0,1616.0,185.0,213.0,78726
17969,137.0,3540.0,369.0,1102.0,4861.0,1345.0,147.0,194.0,78728
17970,0.0,841.0,131.0,442.0,2523.0,674.0,241.0,69.0,78736
17971,213.0,2560.0,313.0,1464.0,7513.0,4108.0,733.0,738.0,78750
17972,1285.0,9777.0,1410.0,2257.0,5943.0,1742.0,262.0,247.0,78753
18918,75.0,1611.0,222.0,1512.0,7199.0,3831.0,673.0,514.0,78717
18919,45.0,1110.0,150.0,658.0,4283.0,1871.0,240.0,296.0,78737
18920,290.0,2751.0,615.0,693.0,2991.0,1108.0,94.0,149.0,78747
18921,50.0,2363.0,419.0,1364.0,11117.0,5311.0,977.0,858.0,78749
18922,364.0,2108.0,290.0,980.0,6453.0,2854.0,611.0,655.0,78757
18983,630.0,6415.0,1308.0,3986.0,11041.0,3576.0,595.0,519.0,78641
18990,344.0,3145.0,770.0,1157.0,2398.0,688.0,71.0,147.0,78653
18991,62.0,2684.0,703.0,1514.0,7269.0,2918.0,504.0,337.0,78729
18999,48.0,321.0,60.0,40.0,61.0,15.0,6.0,14.0,78719
19000,637.0,3980.0,728.0,1161.0,6075.0,2572.0,626.0,545.0,78723
19007,26.0,885.0,62.0,489.0,5142.0,1800.0,453.0,275.0,78738
19013,371.0,3271.0,713.0,557.0,1264.0,563.0,39.0,104.0,78724
19014,162.0,2103.0,494.0,1303.0,8420.0,3768.0,560.0,468.0,78727
19015,13.0,353.0,63.0,360.0,2920.0,1321.0,632.0,237.0,78730
19017,5.0,211.0,45.0,285.0,2183.0,1104.0,551.0,342.0,78733
19018,84.0,873.0,199.0,437.0,4954.0,2121.0,513.0,753.0,78751
19024,161.0,4447.0,1050.0,1380.0,6014.0,2110.0,265.0,358.0,78610
19060,581.0,4527.0,844.0,562.0,1360.0,200.0,97.0,24.0,78617
19065,22.0,519.0,148.0,163.0,2434.0,992.0,312.0,158.0,78722
19066,665.0,7440.0,1189.0,3597.0,9289.0,3212.0,302.0,291.0,78664
19086,128.0,393.0,82.0,288.0,3891.0,1443.0,657.0,345.0,78701
19087,63.0,1314.0,97.0,439.0,4914.0,2329.0,527.0,451.0,78735
19088,568.0,2748.0,301.0,545.0,3749.0,1132.0,434.0,125.0,78752
19089,623.0,6776.0,865.0,2023.0,8582.0,2430.0,436.0,922.0,78758
19494,94.0,1083.0,26.0,313.0,1254.0,414.0,109.0,102.0,78652
19495,366.0,3813.0,1167.0,3276.0,12355.0,4699.0,860.0,499.0,78681
19496,161.0,2714.0,563.0,1851.0,16148.0,5370.0,1836.0,1334.0,78704
19497,124.0,1401.0,279.0,209.0,593.0,357.0,52.0,75.0,78725
19498,19.0,953.0,64.0,600.0,5607.0,2740.0,660.0,565.0,78739
19499,42.0,72.0,18.0,59.0,29.0,11.0,6.0,0.0,78742
19546,1248.0,7034.0,1248.0,1726.0,4466.0,1061.0,177.0,74.0,78744
19548,321.0,5764.0,975.0,2017.0,11253.0,4264.0,549.0,233.0,78748
19551,12.0,623.0,62.0,216.0,2978.0,1483.0,324.0,387.0,78756
19595,98.0,903.0,159.0,726.0,7963.0,4807.0,1813.0,1193.0,78731
19596,6.0,1384.0,75.0,600.0,5306.0,1859.0,505.0,407.0,78734
19597,1156.0,5360.0,1415.0,2145.0,7551.0,1872.0,545.0,356.0,78741
19598,41.0,663.0,148.0,648.0,8997.0,4201.0,2141.0,917.0,78746
19599,241.0,6302.0,1645.0,4044.0,17266.0,6498.0,861.0,543.0,78613
19602,253.0,2697.0,431.0,1489.0,4016.0,1810.0,326.0,318.0,78754
19603,5.0,414.0,93.0,232.0,3004.0,1265.0,230.0,469.0,78705
19604,106.0,2579.0,402.0,1602.0,12516.0,6712.0,1318.0,1684.0,78759
19612,648.0,2622.0,742.0,602.0,4926.0,1854.0,485.0,299.0,78702
19613,624.0,6991.0,2131.0,3331.0,12986.0,4593.0,764.0,676.0,78745
19636,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,78712
19644,42.0,517.0,77.0,600.0,4903.0,2501.0,354.0,254.0,78732
