,Poverty White,Poverty Black,Poverty American Indian,Poverty Asian,Poverty Hispanic,Poverty Two or More Races,Total Poverty Count,Poverty Male,Poverty Female,Zipcode
27158,2035.0,29.0,0.0,55.0,0.0,14.0,2499.0,1269.0,1230.0,78610
27161,2846.0,262.0,5.0,244.0,0.0,325.0,4075.0,1752.0,2323.0,78613
27165,2428.0,190.0,172.0,73.0,0.0,42.0,4156.0,2141.0,2015.0,78617
27185,1663.0,40.0,7.0,16.0,0.0,89.0,2054.0,906.0,1148.0,78641
27192,155.0,3.0,0.0,0.0,0.0,26.0,209.0,103.0,106.0,78652
27193,1338.0,539.0,83.0,29.0,0.0,0.0,2501.0,1139.0,1362.0,78653
27199,4639.0,2066.0,47.0,842.0,0.0,56.0,8278.0,3851.0,4427.0,78660
27203,3563.0,1072.0,30.0,338.0,20.0,176.0,5680.0,3114.0,2566.0,78664
27213,2759.0,372.0,189.0,113.0,0.0,102.0,3668.0,1703.0,1965.0,78681
27214,702.0,152.0,0.0,1.0,0.0,9.0,902.0,463.0,439.0,78701
27215,3607.0,1043.0,69.0,57.0,0.0,161.0,6592.0,2884.0,3708.0,78702
27216,1414.0,42.0,33.0,123.0,0.0,0.0,1626.0,828.0,798.0,78703
27217,6920.0,550.0,142.0,59.0,0.0,291.0,8160.0,3911.0,4249.0,78704
27218,9931.0,266.0,55.0,2623.0,0.0,516.0,13638.0,7032.0,6606.0,78705
27219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78712
27220,341.0,0.0,0.0,84.0,0.0,0.0,477.0,126.0,351.0,78717
27221,366.0,0.0,0.0,0.0,0.0,0.0,386.0,130.0,256.0,78719
27222,1957.0,979.0,64.0,15.0,8.0,66.0,3747.0,1500.0,2247.0,78721
27223,554.0,157.0,0.0,10.0,34.0,15.0,968.0,442.0,526.0,78722
27224,5889.0,2373.0,132.0,65.0,0.0,137.0,8837.0,3863.0,4974.0,78723
27225,3469.0,1585.0,0.0,0.0,0.0,722.0,6562.0,3338.0,3224.0,78724
27226,845.0,381.0,0.0,0.0,0.0,65.0,1342.0,629.0,713.0,78725
27227,1116.0,61.0,0.0,0.0,0.0,47.0,1224.0,587.0,637.0,78726
27228,1650.0,540.0,88.0,348.0,0.0,10.0,2679.0,1116.0,1563.0,78727
27229,1779.0,376.0,0.0,392.0,29.0,196.0,2881.0,1425.0,1456.0,78728
27230,1339.0,187.0,0.0,362.0,0.0,54.0,1967.0,867.0,1100.0,78729
27231,367.0,0.0,0.0,37.0,0.0,45.0,449.0,138.0,311.0,78730
27232,1722.0,118.0,0.0,609.0,0.0,60.0,2530.0,997.0,1533.0,78731
27233,338.0,0.0,0.0,0.0,0.0,0.0,338.0,219.0,119.0,78732
27234,261.0,0.0,0.0,0.0,0.0,35.0,309.0,134.0,175.0,78733
27235,1350.0,0.0,0.0,0.0,0.0,17.0,1710.0,834.0,876.0,78734
27236,803.0,16.0,0.0,0.0,0.0,22.0,841.0,399.0,442.0,78735
27237,157.0,1.0,0.0,124.0,0.0,0.0,282.0,118.0,164.0,78736
27238,400.0,0.0,0.0,13.0,0.0,0.0,415.0,164.0,251.0,78737
27239,473.0,0.0,0.0,60.0,0.0,61.0,594.0,222.0,372.0,78738
27240,176.0,0.0,0.0,0.0,0.0,0.0,176.0,42.0,134.0,78739
27241,11603.0,1984.0,91.0,924.0,0.0,892.0,20079.0,9556.0,10523.0,78741
27242,146.0,0.0,0.0,0.0,0.0,0.0,412.0,151.0,261.0,78742
27243,7096.0,792.0,20.0,0.0,0.0,334.0,11938.0,5642.0,6296.0,78744
27244,7511.0,524.0,117.0,107.0,18.0,551.0,9737.0,4557.0,5180.0,78745
27245,1234.0,40.0,0.0,153.0,63.0,16.0,1506.0,755.0,751.0,78746
27246,845.0,32.0,0.0,210.0,0.0,64.0,1929.0,915.0,1014.0,78747
27247,3410.0,341.0,21.0,29.0,0.0,151.0,4177.0,2109.0,2068.0,78748
27248,1668.0,160.0,2.0,203.0,0.0,46.0,2156.0,1030.0,1126.0,78749
27249,1233.0,67.0,0.0,437.0,0.0,43.0,1780.0,769.0,1011.0,78750
27250,2720.0,16.0,0.0,159.0,0.0,166.0,3481.0,1368.0,2113.0,78751
27251,4769.0,770.0,0.0,69.0,0.0,48.0,6490.0,3242.0,3248.0,78752
27252,8279.0,1750.0,75.0,309.0,0.0,156.0,14184.0,7008.0,7176.0,78753
27253,1098.0,131.0,0.0,183.0,0.0,119.0,1736.0,657.0,1079.0,78754
27254,698.0,91.0,0.0,41.0,0.0,0.0,915.0,590.0,325.0,78756
27255,2257.0,147.0,0.0,93.0,0.0,24.0,3302.0,1591.0,1711.0,78757
27256,5371.0,1687.0,24.0,249.0,0.0,193.0,10952.0,4986.0,5966.0,78758
27257,1940.0,12.0,0.0,421.0,0.0,63.0,2723.0,1325.0,1398.0,78759
