,Poverty White,Poverty Black,Poverty American Indian,Poverty Asian,Poverty Hispanic,Poverty Two or More Races,Total Poverty Count,Poverty Male,Poverty Female,Zipcode
171,318.0,0.0,0.0,0.0,0.0,0.0,318.0,114.0,204.0,78732
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78712
202,8246.0,397.0,66.0,3426.0,0.0,531.0,12903.0,6801.0,6102.0,78705
203,1590.0,213.0,0.0,199.0,0.0,154.0,2238.0,1212.0,1026.0,78759
222,3329.0,1433.0,0.0,97.0,0.0,203.0,5207.0,2332.0,2875.0,78702
223,6456.0,480.0,31.0,207.0,10.0,287.0,7695.0,3528.0,4167.0,78745
2134,636.0,30.0,15.0,282.0,0.0,92.0,1055.0,377.0,678.0,78717
2135,310.0,2.0,0.0,8.0,0.0,9.0,329.0,160.0,169.0,78737
2136,894.0,8.0,11.0,0.0,0.0,34.0,1050.0,602.0,448.0,78747
2137,1547.0,72.0,0.0,134.0,0.0,39.0,1802.0,766.0,1036.0,78749
2138,2189.0,67.0,0.0,191.0,0.0,124.0,3559.0,1726.0,1833.0,78757
2664,3348.0,269.0,0.0,68.0,0.0,160.0,3892.0,1688.0,2204.0,78641
2673,375.0,1.0,0.0,251.0,0.0,60.0,687.0,402.0,285.0,78738
2682,1871.0,608.0,0.0,46.0,0.0,14.0,2839.0,1323.0,1516.0,78653
2683,1251.0,312.0,0.0,147.0,0.0,81.0,1899.0,973.0,926.0,78729
2691,248.0,12.0,0.0,0.0,0.0,0.0,299.0,126.0,173.0,78719
2692,4370.0,1957.0,11.0,137.0,0.0,112.0,7660.0,3271.0,4389.0,78723
2694,3814.0,958.0,93.0,0.0,12.0,155.0,6332.0,3089.0,3243.0,78724
2695,1214.0,116.0,0.0,177.0,0.0,79.0,1788.0,715.0,1073.0,78727
2696,159.0,0.0,0.0,0.0,0.0,0.0,159.0,24.0,135.0,78730
2697,140.0,0.0,0.0,4.0,0.0,0.0,155.0,58.0,97.0,78733
2698,2086.0,124.0,24.0,270.0,17.0,80.0,2906.0,1224.0,1682.0,78751
2705,2100.0,36.0,0.0,48.0,18.0,17.0,2412.0,946.0,1466.0,78610
2730,816.0,117.0,21.0,24.0,0.0,24.0,1038.0,649.0,389.0,78701
2731,1478.0,47.0,0.0,45.0,0.0,0.0,1580.0,791.0,789.0,78735
2732,3267.0,393.0,140.0,175.0,0.0,135.0,5254.0,2688.0,2566.0,78752
2733,4961.0,739.0,64.0,399.0,0.0,210.0,9224.0,4068.0,5156.0,78758
2774,2965.0,184.0,14.0,107.0,0.0,61.0,4815.0,2194.0,2621.0,78617
2779,449.0,75.0,0.0,9.0,29.0,149.0,711.0,203.0,508.0,78722
2780,4440.0,957.0,48.0,321.0,0.0,402.0,6366.0,2714.0,3652.0,78664
2796,4159.0,1146.0,0.0,382.0,0.0,104.0,6165.0,2327.0,3838.0,78660
2797,1054.0,1.0,4.0,294.0,0.0,0.0,1355.0,754.0,601.0,78703
2798,1874.0,1251.0,4.0,54.0,0.0,8.0,3425.0,1365.0,2060.0,78721
2799,422.0,12.0,0.0,67.0,0.0,85.0,586.0,109.0,477.0,78726
2800,1064.0,667.0,0.0,83.0,0.0,127.0,2077.0,953.0,1124.0,78728
2801,207.0,4.0,0.0,16.0,0.0,0.0,227.0,88.0,139.0,78736
2802,1626.0,245.0,0.0,353.0,0.0,68.0,2292.0,960.0,1332.0,78750
2803,6055.0,1675.0,14.0,556.0,15.0,415.0,12054.0,5741.0,6313.0,78753
2817,311.0,18.0,0.0,0.0,0.0,0.0,329.0,92.0,237.0,78652
2818,2325.0,265.0,0.0,305.0,0.0,75.0,2992.0,1095.0,1897.0,78681
2819,5772.0,558.0,136.0,199.0,24.0,146.0,6944.0,3206.0,3738.0,78704
2820,597.0,342.0,0.0,0.0,0.0,31.0,1354.0,656.0,698.0,78725
2821,396.0,0.0,0.0,34.0,0.0,17.0,447.0,199.0,248.0,78739
2822,83.0,30.0,0.0,0.0,0.0,0.0,113.0,50.0,63.0,78742
17808,9085.0,889.0,23.0,21.0,0.0,331.0,11870.0,5720.0,6150.0,78744
17809,4072.0,152.0,0.0,150.0,0.0,149.0,4722.0,2337.0,2385.0,78748
17813,369.0,66.0,0.0,6.0,0.0,0.0,493.0,242.0,251.0,78756
17854,1860.0,113.0,0.0,413.0,0.0,75.0,2550.0,892.0,1658.0,78731
17855,1089.0,42.0,0.0,22.0,0.0,50.0,1213.0,423.0,790.0,78734
17856,10487.0,2249.0,60.0,945.0,0.0,676.0,15978.0,8176.0,7802.0,78741
17857,1196.0,27.0,0.0,102.0,52.0,8.0,1415.0,687.0,728.0,78746
17858,1648.0,528.0,0.0,248.0,0.0,32.0,2741.0,753.0,1988.0,78754
17859,2276.0,77.0,6.0,246.0,0.0,200.0,2943.0,1354.0,1589.0,78613
