,Poverty White,Poverty Black,Poverty American Indian,Poverty Asian,Poverty Hispanic,Poverty Two or More Races,Total Poverty Count,Poverty Male,Poverty Female,Zipcode
26515,2790.0,24.0,0.0,69.0,7.0,0.0,3332.0,1620.0,1712.0,78610
26518,2955.0,318.0,7.0,140.0,0.0,453.0,3957.0,1762.0,2195.0,78613
26522,3077.0,354.0,169.0,101.0,0.0,41.0,5148.0,2556.0,2592.0,78617
26542,2362.0,55.0,12.0,37.0,0.0,170.0,2789.0,1226.0,1563.0,78641
26549,220.0,20.0,0.0,0.0,0.0,33.0,306.0,145.0,161.0,78652
26550,1721.0,489.0,87.0,29.0,0.0,0.0,2733.0,1132.0,1601.0,78653
26556,5497.0,1816.0,0.0,668.0,0.0,57.0,8265.0,3717.0,4548.0,78660
26560,3814.0,1033.0,52.0,383.0,50.0,298.0,5802.0,3006.0,2796.0,78664
27850,3324.0,278.0,236.0,172.0,0.0,101.0,4206.0,1910.0,2296.0,78681
27851,703.0,125.0,0.0,1.0,0.0,9.0,864.0,408.0,456.0,78701
27852,3758.0,1218.0,63.0,52.0,0.0,198.0,6510.0,2995.0,3515.0,78702
27853,1289.0,33.0,24.0,205.0,0.0,0.0,1567.0,877.0,690.0,78703
27854,6599.0,468.0,168.0,83.0,0.0,393.0,7815.0,3683.0,4132.0,78704
27855,9496.0,202.0,35.0,2882.0,0.0,556.0,13383.0,6824.0,6559.0,78705
27856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78712
27857,531.0,0.0,0.0,97.0,0.0,0.0,628.0,256.0,372.0,78717
27858,378.0,0.0,0.0,0.0,0.0,0.0,388.0,142.0,246.0,78719
27859,1997.0,1194.0,64.0,14.0,14.0,79.0,4002.0,1669.0,2333.0,78721
27860,435.0,240.0,0.0,7.0,35.0,72.0,1046.0,413.0,633.0,78722
27861,6062.0,2291.0,30.0,54.0,0.0,163.0,9155.0,3947.0,5208.0,78723
27862,4285.0,1529.0,0.0,0.0,0.0,707.0,7149.0,3460.0,3689.0,78724
27863,721.0,575.0,0.0,0.0,0.0,94.0,1390.0,651.0,739.0,78725
27864,1032.0,21.0,0.0,0.0,0.0,53.0,1106.0,413.0,693.0,78726
27865,1625.0,611.0,69.0,407.0,0.0,60.0,2911.0,1217.0,1694.0,78727
27866,1837.0,396.0,0.0,390.0,28.0,267.0,3040.0,1484.0,1556.0,78728
27867,1489.0,355.0,0.0,242.0,0.0,77.0,2206.0,968.0,1238.0,78729
27868,360.0,0.0,0.0,37.0,0.0,42.0,439.0,133.0,306.0,78730
27869,1704.0,82.0,0.0,548.0,0.0,41.0,2405.0,907.0,1498.0,78731
27870,369.0,0.0,0.0,0.0,0.0,0.0,369.0,178.0,191.0,78732
27871,222.0,0.0,0.0,0.0,0.0,31.0,280.0,111.0,169.0,78733
27872,1571.0,0.0,0.0,0.0,0.0,15.0,1962.0,895.0,1067.0,78734
27873,1352.0,48.0,0.0,0.0,0.0,19.0,1419.0,667.0,752.0,78735
27874,192.0,4.0,0.0,132.0,0.0,0.0,328.0,127.0,201.0,78736
27875,498.0,1.0,0.0,1.0,0.0,0.0,502.0,199.0,303.0,78737
27876,382.0,0.0,0.0,53.0,0.0,84.0,519.0,200.0,319.0,78738
27877,213.0,0.0,0.0,34.0,0.0,0.0,247.0,77.0,170.0,78739
27878,14383.0,2227.0,122.0,1083.0,0.0,914.0,21855.0,10675.0,11180.0,78741
27879,107.0,20.0,0.0,0.0,0.0,0.0,159.0,66.0,93.0,78742
27880,9502.0,721.0,36.0,4.0,0.0,437.0,13074.0,6176.0,6898.0,78744
27881,7454.0,673.0,52.0,225.0,15.0,346.0,9464.0,4096.0,5368.0,78745
27882,1251.0,40.0,0.0,139.0,78.0,10.0,1518.0,751.0,767.0,78746
27883,918.0,24.0,0.0,27.0,0.0,104.0,1497.0,664.0,833.0,78747
27884,3455.0,281.0,16.0,81.0,0.0,226.0,4251.0,2229.0,2022.0,78748
27885,1387.0,145.0,2.0,291.0,0.0,58.0,1928.0,903.0,1025.0,78749
27886,1442.0,62.0,0.0,520.0,0.0,61.0,2085.0,812.0,1273.0,78750
27887,2591.0,18.0,27.0,137.0,0.0,87.0,3391.0,1393.0,1998.0,78751
27888,3976.0,818.0,0.0,126.0,0.0,108.0,6420.0,3469.0,2951.0,78752
27889,8597.0,1867.0,120.0,280.0,7.0,216.0,15009.0,7715.0,7294.0,78753
27890,1173.0,190.0,0.0,201.0,0.0,144.0,2063.0,830.0,1233.0,78754
27891,660.0,111.0,0.0,37.0,0.0,0.0,951.0,615.0,336.0,78756
27892,2884.0,202.0,0.0,40.0,0.0,42.0,4021.0,1859.0,2162.0,78757
27893,5914.0,1353.0,18.0,343.0,0.0,235.0,10606.0,5000.0,5606.0,78758
27894,1659.0,30.0,0.0,412.0,0.0,76.0,2327.0,1044.0,1283.0,78759
