"SAGDP9N Real GDP by state 1/"
"(Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"48000","Texas","23","        Furniture and related product manufacturing",1512.6,1526.8,1731.9,1760.5,1620.4,1569.8,1510.9,1615.9,1744.0,1966.4,1736.7,1454.7,1283.2,1610.7,1548.2,1192.5,1277.1,1230.6,1305.3,1283.6,1249.6,"(NA)"
"48000","Texas","24","        Miscellaneous manufacturing",2641.2,2419.4,2090.9,2521.8,2141.8,2482.0,2457.3,2861.6,2785.7,2892.1,3418.2,3321.3,3306.4,3037.1,2814.8,2830.0,3073.6,3096.0,2741.2,3155.1,3272.5,"(NA)"
"48000","Texas","25","      Nondurable goods manufacturing",103330.1,98497.1,94937.9,89932.0,98634.9,97136.3,101672.2,138853.4,120943.0,128981.0,143226.2,108804.8,110880.1,124296.2,119794.2,110435.2,129377.9,104865.4,117333.1,111276.3,116720.8,120898.3
"48000","Texas","26","        Food and beverage and tobacco product manufacturing",12296.0,12349.0,11848.6,11527.2,11625.7,11985.8,12357.8,13938.1,13427.4,15088.2,14206.6,13116.0,13249.7,11481.7,11343.9,10638.4,11258.3,11250.7,12830.7,11881.5,12590.4,"(NA)"
"48000","Texas","27","        Textile mills and textile product mills",481.3,453.4,464.1,572.5,518.2,566.1,445.8,472.0,524.3,514.6,452.5,456.9,396.3,381.9,359.3,380.8,442.2,591.6,522.0,480.5,479.6,"(NA)"
"48000","Texas","28","        Apparel, leather, and allied product manufacturing",1929.1,1715.7,1697.7,1644.8,1511.3,1154.6,709.0,582.1,596.2,485.2,554.7,590.2,319.6,362.6,397.3,430.3,462.7,433.6,424.6,407.6,402.6,"(NA)"
"48000","Texas","29","        Paper manufacturing",3498.5,4038.1,3915.0,3645.4,3065.1,2973.1,2732.2,2959.6,2651.0,2477.3,2370.3,2084.8,2473.2,2258.3,2229.4,1913.8,2002.9,1942.8,1935.8,1927.1,1830.8,"(NA)"
"48000","Texas","30","        Printing and related support activities",1926.5,1926.3,2067.8,2167.2,2292.1,2114.1,2223.3,2093.0,2149.5,2212.6,2242.2,2196.4,1921.3,1986.0,1984.8,2174.9,2047.1,1947.8,1864.9,1765.3,1691.0,"(NA)"
"48000","Texas","31","        Petroleum and coal products manufacturing",43440.1,41695.6,46115.5,35702.8,62165.4,48713.3,52188.2,84833.5,54638.4,50882.1,73131.0,46952.7,55396.6,57006.7,58766.7,48180.8,64618.5,37032.8,53853.0,43385.9,50751.8,"(NA)"
"48000","Texas","32","        Chemical manufacturing",30261.4,26998.4,22664.0,22975.6,18646.6,24192.6,26671.5,37361.6,41072.3,49664.6,45751.4,36630.0,33785.8,45725.7,40576.2,42051.8,44518.5,44341.3,41830.2,44032.9,44114.8,"(NA)"
