"MARPI Real Personal Income by MSA 1/"
"Real per capita personal income (Chained 2012 dollars) 2/" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",44521,42103,43390,45500,47621,47421,49290,50421,50374,52470
"Legend / Footnotes:"
"1/ Real personal income for metropolitan areas is personal income divided by the RPPs and the national PCE price index. The result is a chained dollar estimate of real personal income, in millions of chained 2012 dollars. Calculations are performed on unrounded data."
"2/ Real per capita personal income is total real personal income divided by total midyear population."
"Last updated: November 14, 2019-- revised statistics for 2008-2017."
