Zipcode,Median year housing units were built,Median contract rent,Median gross rent (contract rent plus utilities),Median value (dollars) for Owner-Occupied housing units,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status,NAME,Year
78610,2001.0,835.0,1038.0,191900.0,1618.0,ZCTA5 78610,2015
78613,2001.0,1002.0,1141.0,221700.0,1813.0,ZCTA5 78613,2015
78617,2000.0,805.0,1085.0,104200.0,1194.0,ZCTA5 78617,2015
78641,2001.0,1037.0,1313.0,171600.0,1547.0,ZCTA5 78641,2015
78652,1986.0,978.0,1218.0,196700.0,1540.0,ZCTA5 78652,2015
78653,2003.0,970.0,1191.0,145000.0,1441.0,ZCTA5 78653,2015
78660,2001.0,951.0,1139.0,172900.0,1574.0,ZCTA5 78660,2015
78664,1995.0,870.0,1056.0,157300.0,1407.0,ZCTA5 78664,2015
78681,1997.0,912.0,1113.0,230100.0,1898.0,ZCTA5 78681,2015
78701,2002.0,1678.0,1752.0,440100.0,3057.0,ZCTA5 78701,2015
78702,1965.0,694.0,893.0,235400.0,1521.0,ZCTA5 78702,2015
78703,1965.0,1167.0,1266.0,704700.0,3365.0,ZCTA5 78703,2015
78704,1976.0,965.0,1088.0,385700.0,2187.0,ZCTA5 78704,2015
78705,1982.0,993.0,1108.0,385600.0,2868.0,ZCTA5 78705,2015
78712,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,ZCTA5 78712,2015
78717,2003.0,974.0,1103.0,273200.0,2206.0,ZCTA5 78717,2015
78719,1985.0,525.0,817.0,113300.0,1156.0,ZCTA5 78719,2015
78721,1971.0,710.0,920.0,156800.0,1240.0,ZCTA5 78721,2015
78722,1956.0,953.0,1081.0,293000.0,1964.0,ZCTA5 78722,2015
78723,1974.0,698.0,856.0,207600.0,1572.0,ZCTA5 78723,2015
78724,1997.0,747.0,946.0,109100.0,1237.0,ZCTA5 78724,2015
78725,2001.0,973.0,1291.0,121100.0,1232.0,ZCTA5 78725,2015
78726,2001.0,887.0,1059.0,358100.0,2355.0,ZCTA5 78726,2015
78727,1992.0,970.0,1160.0,215500.0,1635.0,ZCTA5 78727,2015
78728,1993.0,862.0,991.0,182300.0,1505.0,ZCTA5 78728,2015
78729,1991.0,879.0,1057.0,205600.0,1618.0,ZCTA5 78729,2015
78730,1998.0,1011.0,1187.0,576100.0,3247.0,ZCTA5 78730,2015
78731,1977.0,1013.0,1150.0,476400.0,2839.0,ZCTA5 78731,2015
78732,2004.0,1327.0,1393.0,467300.0,3226.0,ZCTA5 78732,2015
78733,1994.0,1403.0,1653.0,497900.0,3037.0,ZCTA5 78733,2015
78734,1992.0,1269.0,1564.0,340800.0,2222.0,ZCTA5 78734,2015
78735,1998.0,1122.0,1240.0,410400.0,2628.0,ZCTA5 78735,2015
78736,1988.0,1131.0,1373.0,266100.0,1833.0,ZCTA5 78736,2015
78737,1999.0,1520.0,1579.0,350900.0,2553.0,ZCTA5 78737,2015
78738,2003.0,1240.0,1402.0,469200.0,3106.0,ZCTA5 78738,2015
78739,2000.0,2170.0,2282.0,381400.0,2510.0,ZCTA5 78739,2015
78741,1986.0,753.0,901.0,139000.0,1312.0,ZCTA5 78741,2015
78742,1976.0,735.0,911.0,76400.0,980.0,ZCTA5 78742,2015
78744,1989.0,804.0,1012.0,106000.0,1206.0,ZCTA5 78744,2015
78745,1979.0,913.0,1092.0,183900.0,1425.0,ZCTA5 78745,2015
78746,1987.0,1250.0,1421.0,713400.0,3506.0,ZCTA5 78746,2015
78747,2002.0,970.0,1180.0,169400.0,1420.0,ZCTA5 78747,2015
78748,1996.0,1008.0,1198.0,205800.0,1572.0,ZCTA5 78748,2015
78749,1994.0,1137.0,1284.0,257400.0,1835.0,ZCTA5 78749,2015
78750,1986.0,946.0,1151.0,322700.0,1976.0,ZCTA5 78750,2015
78751,1966.0,861.0,963.0,322900.0,2086.0,ZCTA5 78751,2015
78752,1977.0,697.0,852.0,187400.0,1445.0,ZCTA5 78752,2015
78753,1985.0,728.0,893.0,142700.0,1331.0,ZCTA5 78753,2015
78754,2001.0,886.0,1055.0,159300.0,1526.0,ZCTA5 78754,2015
78756,1963.0,879.0,1023.0,395600.0,2494.0,ZCTA5 78756,2015
78757,1964.0,852.0,1020.0,302500.0,1827.0,ZCTA5 78757,2015
78758,1982.0,797.0,962.0,151200.0,1299.0,ZCTA5 78758,2015
78759,1985.0,931.0,1081.0,341200.0,2179.0,ZCTA5 78759,2015
