,Median year housing units were built,Median contract rent,Median gross rent (contract rent plus utilities),Median value (dollars) for Owner-Occupied housing units,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status,Zipcode
26304,1999.0,869.0,1084.0,182400.0,1634.0,78610
26307,2000.0,956.0,1107.0,198900.0,1799.0,78613
26311,1999.0,813.0,1105.0,99700.0,1202.0,78617
26331,2000.0,1041.0,1312.0,156900.0,1576.0,78641
26338,1985.0,925.0,1113.0,191200.0,1665.0,78652
26339,2003.0,1011.0,1328.0,141200.0,1528.0,78653
26345,2001.0,935.0,1153.0,165700.0,1624.0,78660
26349,1995.0,833.0,1032.0,149600.0,1482.0,78664
26359,1996.0,922.0,1185.0,213300.0,1883.0,78681
26360,2002.0,1495.0,1653.0,372000.0,3095.0,78701
26361,1963.0,606.0,807.0,188000.0,1333.0,78702
26362,1964.0,1086.0,1192.0,641200.0,3285.0,78703
26363,1975.0,865.0,983.0,347500.0,2127.0,78704
26364,1980.0,971.0,1088.0,307200.0,2411.0,78705
26365,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,78712
26366,2002.0,894.0,1023.0,247200.0,2201.0,78717
26367,1991.0,194.0,439.0,112500.0,1135.0,78719
26368,1972.0,701.0,899.0,124800.0,1164.0,78721
26369,1956.0,870.0,974.0,279200.0,1981.0,78722
26370,1973.0,680.0,840.0,178500.0,1449.0,78723
26371,1993.0,719.0,947.0,102000.0,1246.0,78724
26372,2000.0,951.0,1289.0,111800.0,1203.0,78725
26373,2001.0,872.0,1051.0,344700.0,2506.0,78726
26374,1992.0,935.0,1117.0,202600.0,1687.0,78727
26375,1992.0,803.0,940.0,170500.0,1489.0,78728
26376,1991.0,857.0,1027.0,191300.0,1639.0,78729
26377,1999.0,987.0,1138.0,580300.0,3191.0,78730
26378,1977.0,953.0,1098.0,442300.0,2779.0,78731
26379,2003.0,1419.0,1702.0,389900.0,3059.0,78732
26380,1992.0,1260.0,1459.0,487900.0,2945.0,78733
26381,1993.0,1100.0,1300.0,326900.0,2302.0,78734
26382,1996.0,1026.0,1147.0,373400.0,2685.0,78735
26383,1987.0,1032.0,1236.0,228900.0,1758.0,78736
26384,1997.0,1182.0,1232.0,338700.0,2545.0,78737
26385,2002.0,1185.0,1344.0,460200.0,3200.0,78738
26386,2000.0,1948.0,2001.0,355900.0,2553.0,78739
26387,1985.0,699.0,851.0,127500.0,1278.0,78741
26388,1983.0,437.0,690.0,72100.0,778.0,78742
26389,1988.0,760.0,962.0,106500.0,1243.0,78744
26390,1979.0,853.0,1020.0,170200.0,1395.0,78745
26391,1986.0,1132.0,1225.0,634000.0,3407.0,78746
26392,2002.0,908.0,1104.0,167800.0,1471.0,78747
26393,1996.0,942.0,1138.0,187900.0,1624.0,78748
26394,1994.0,1008.0,1178.0,237800.0,1828.0,78749
26395,1986.0,883.0,1063.0,306900.0,2040.0,78750
26396,1966.0,777.0,876.0,297200.0,2104.0,78751
26397,1976.0,664.0,805.0,163900.0,1368.0,78752
26398,1985.0,690.0,852.0,135700.0,1323.0,78753
26399,2001.0,848.0,997.0,163000.0,1570.0,78754
26400,1960.0,812.0,894.0,364400.0,2409.0,78756
26401,1964.0,747.0,912.0,259400.0,1782.0,78757
26402,1983.0,744.0,918.0,146100.0,1330.0,78758
26403,1985.0,855.0,984.0,312300.0,2075.0,78759
