Zipcode,Median year housing units were built,Median contract rent,Median gross rent (contract rent plus utilities),Median value (dollars) for Owner-Occupied housing units,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status,NAME,Year
78610,2000.0,835.0,1035.0,183300.0,1614.0,ZCTA5 78610,2014
78613,2000.0,1003.0,1128.0,210100.0,1819.0,ZCTA5 78613,2014
78617,1999.0,763.0,1043.0,96000.0,1178.0,ZCTA5 78617,2014
78641,2000.0,1017.0,1298.0,160200.0,1551.0,ZCTA5 78641,2014
78652,1984.0,918.0,1132.0,189500.0,1652.0,ZCTA5 78652,2014
78653,2003.0,1007.0,1289.0,139400.0,1496.0,ZCTA5 78653,2014
78660,2001.0,930.0,1116.0,168100.0,1609.0,ZCTA5 78660,2014
78664,1995.0,854.0,1044.0,150400.0,1444.0,ZCTA5 78664,2014
78681,1996.0,908.0,1125.0,219400.0,1907.0,ZCTA5 78681,2014
78701,2002.0,1595.0,1691.0,430800.0,3187.0,ZCTA5 78701,2014
78702,1964.0,645.0,839.0,203200.0,1501.0,ZCTA5 78702,2014
78703,1964.0,1129.0,1224.0,692800.0,3404.0,ZCTA5 78703,2014
78704,1975.0,922.0,1041.0,361300.0,2119.0,ZCTA5 78704,2014
78705,1981.0,976.0,1094.0,342000.0,2633.0,ZCTA5 78705,2014
78712,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,ZCTA5 78712,2014
78717,2003.0,932.0,1068.0,253400.0,2196.0,ZCTA5 78717,2014
78719,1987.0,196.0,441.0,112200.0,1200.0,ZCTA5 78719,2014
78721,1973.0,710.0,920.0,140400.0,1196.0,ZCTA5 78721,2014
78722,1956.0,923.0,1055.0,288600.0,2017.0,ZCTA5 78722,2014
78723,1974.0,691.0,850.0,189100.0,1526.0,ZCTA5 78723,2014
78724,1996.0,733.0,953.0,97900.0,1248.0,ZCTA5 78724,2014
78725,2000.0,1031.0,1351.0,115800.0,1221.0,ZCTA5 78725,2014
78726,2001.0,895.0,1046.0,350500.0,2477.0,ZCTA5 78726,2014
78727,1992.0,956.0,1147.0,206400.0,1661.0,ZCTA5 78727,2014
78728,1993.0,832.0,962.0,175200.0,1491.0,ZCTA5 78728,2014
78729,1991.0,867.0,1039.0,198600.0,1635.0,ZCTA5 78729,2014
78730,1999.0,1016.0,1172.0,557000.0,3156.0,ZCTA5 78730,2014
78731,1978.0,985.0,1119.0,452500.0,2807.0,ZCTA5 78731,2014
78732,2003.0,1213.0,1406.0,411100.0,3102.0,ZCTA5 78732,2014
78733,1993.0,1293.0,1485.0,489900.0,3012.0,ZCTA5 78733,2014
78734,1992.0,1140.0,1328.0,325000.0,2276.0,ZCTA5 78734,2014
78735,1997.0,1086.0,1191.0,387600.0,2756.0,ZCTA5 78735,2014
78736,1987.0,1080.0,1348.0,237000.0,1679.0,ZCTA5 78736,2014
78737,1998.0,976.0,1214.0,341300.0,2561.0,ZCTA5 78737,2014
78738,2003.0,1216.0,1373.0,456300.0,3139.0,ZCTA5 78738,2014
78739,2001.0,1985.0,2001.0,364600.0,2563.0,ZCTA5 78739,2014
78741,1985.0,720.0,866.0,133400.0,1325.0,ZCTA5 78741,2014
78742,1976.0,736.0,908.0,84500.0,784.0,ZCTA5 78742,2014
78744,1988.0,780.0,982.0,107200.0,1252.0,ZCTA5 78744,2014
78745,1979.0,879.0,1058.0,174600.0,1414.0,ZCTA5 78745,2014
78746,1986.0,1192.0,1325.0,666600.0,3509.0,ZCTA5 78746,2014
78747,2002.0,896.0,1147.0,168100.0,1438.0,ZCTA5 78747,2014
78748,1996.0,989.0,1181.0,192800.0,1613.0,ZCTA5 78748,2014
78749,1994.0,1078.0,1214.0,248300.0,1848.0,ZCTA5 78749,2014
78750,1986.0,894.0,1097.0,312500.0,2031.0,ZCTA5 78750,2014
78751,1966.0,821.0,905.0,295700.0,2079.0,ZCTA5 78751,2014
78752,1977.0,678.0,831.0,170600.0,1411.0,ZCTA5 78752,2014
78753,1985.0,706.0,869.0,136300.0,1317.0,ZCTA5 78753,2014
78754,2001.0,872.0,1045.0,163000.0,1578.0,ZCTA5 78754,2014
78756,1961.0,836.0,932.0,377600.0,2417.0,ZCTA5 78756,2014
78757,1964.0,811.0,996.0,277100.0,1813.0,ZCTA5 78757,2014
78758,1983.0,760.0,931.0,147200.0,1307.0,ZCTA5 78758,2014
78759,1985.0,889.0,1032.0,320900.0,2123.0,ZCTA5 78759,2014
