,Median year housing units were built,Median contract rent,Median gross rent (contract rent plus utilities),Median value (dollars) for Owner-Occupied housing units,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status,Zipcode
27315,2004.0,960.0,1179.0,224600.0,1720.0,78610
27318,2001.0,1143.0,1299.0,255200.0,1922.0,78613
27322,2000.0,1019.0,1303.0,123900.0,1336.0,78617
27342,2003.0,1150.0,1364.0,213100.0,1687.0,78641
27349,1991.0,1121.0,1231.0,239500.0,1698.0,78652
27350,2003.0,1083.0,1273.0,160600.0,1385.0,78653
27356,2002.0,1132.0,1312.0,198500.0,1626.0,78660
27360,1995.0,977.0,1137.0,172900.0,1462.0,78664
27370,1997.0,1086.0,1223.0,256100.0,1954.0,78681
27371,2004.0,1755.0,1847.0,476700.0,3086.0,78701
27372,1968.0,838.0,1020.0,297700.0,1733.0,78702
27373,1967.0,1227.0,1319.0,767400.0,3595.0,78703
27374,1978.0,1115.0,1235.0,464400.0,2466.0,78704
27375,1984.0,1124.0,1198.0,417800.0,2732.0,78705
27376,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,78712
27377,2004.0,1115.0,1250.0,319800.0,2261.0,78717
27378,1986.0,691.0,859.0,129700.0,1151.0,78719
27379,1970.0,813.0,990.0,212400.0,1303.0,78721
27380,1953.0,1115.0,1280.0,358900.0,1904.0,78722
27381,1975.0,830.0,964.0,268700.0,1771.0,78723
27382,1997.0,846.0,1091.0,122100.0,1240.0,78724
27383,2002.0,1068.0,1338.0,137800.0,1192.0,78725
27384,2001.0,1015.0,1136.0,392800.0,2646.0,78726
27385,1993.0,1083.0,1219.0,249700.0,1738.0,78727
27386,1993.0,946.0,1093.0,205500.0,1593.0,78728
27387,1991.0,987.0,1178.0,234200.0,1715.0,78729
27388,1999.0,1154.0,1281.0,659400.0,3798.0,78730
27389,1978.0,1074.0,1231.0,572700.0,2968.0,78731
27390,2004.0,1394.0,1466.0,495800.0,3221.0,78732
27391,1993.0,1292.0,1511.0,533800.0,3105.0,78733
27392,1991.0,1467.0,1715.0,377400.0,2289.0,78734
27393,1999.0,1215.0,1362.0,463200.0,2729.0,78735
27394,1987.0,1267.0,1425.0,313700.0,2236.0,78736
27395,2002.0,1700.0,1979.0,394600.0,2679.0,78737
27396,2005.0,1350.0,1435.0,496300.0,3039.0,78738
27397,2001.0,2263.0,2339.0,426700.0,2587.0,78739
27398,1987.0,873.0,1002.0,156800.0,1416.0,78741
27399,1975.0,838.0,1048.0,86100.0,1078.0,78742
27400,1990.0,888.0,1104.0,121500.0,1233.0,78744
27401,1980.0,1052.0,1218.0,229200.0,1534.0,78745
27402,1986.0,1316.0,1456.0,812900.0,3825.0,78746
27403,2002.0,1167.0,1387.0,203800.0,1451.0,78747
27404,1999.0,1139.0,1326.0,238600.0,1641.0,78748
27405,1994.0,1192.0,1335.0,296900.0,1942.0,78749
27406,1986.0,1074.0,1255.0,359500.0,2166.0,78750
27407,1964.0,1074.0,1200.0,395200.0,2482.0,78751
27408,1979.0,794.0,962.0,233900.0,1656.0,78752
27409,1986.0,837.0,1003.0,161000.0,1407.0,78753
27410,2002.0,957.0,1183.0,183200.0,1620.0,78754
27411,1969.0,1073.0,1213.0,476700.0,2483.0,78756
27412,1965.0,943.0,1120.0,348600.0,1995.0,78757
27413,1983.0,894.0,1072.0,178100.0,1361.0,78758
27414,1985.0,1052.0,1203.0,389900.0,2321.0,78759
