ID Occupation,Occupation,ID Year,Year,Median Earnings by Occupation,Median Earnings by Occupation Moe,Geography,ID Geography,Slug Geography
14,"Healthcare Practitioners & Technical Occupations",2017,"2017",56877,4862,"Austin, TX","16000US4805000","austin-tx"
4,"Business & Financial Operations Occupations",2016,"2016",56285,3707,"Austin, TX","16000US4805000","austin-tx"
1,"Management, Business, Science, & Arts Occupations",2015,"2015",55679,1277,"Austin, TX","16000US4805000","austin-tx"
21,"Law Enforcement Workers Including Supervisors",2014,"2014",55672,12377,"Austin, TX","16000US4805000","austin-tx"
14,"Healthcare Practitioners & Technical Occupations",2015,"2015",55490,6334,"Austin, TX","16000US4805000","austin-tx"
8,"Life, Physical, & Social Science Occupations",2015,"2015",55475,10454,"Austin, TX","16000US4805000","austin-tx"
14,"Healthcare Practitioners & Technical Occupations",2013,"2013",54281,6784,"Austin, TX","16000US4805000","austin-tx"
4,"Business & Financial Operations Occupations",2013,"2013",54071,5368,"Austin, TX","16000US4805000","austin-tx"
1,"Management, Business, Science, & Arts Occupations",2014,"2014",53288,1832,"Austin, TX","16000US4805000","austin-tx"
14,"Healthcare Practitioners & Technical Occupations",2014,"2014",52227,5052,"Austin, TX","16000US4805000","austin-tx"
4,"Business & Financial Operations Occupations",2015,"2015",52049,2438,"Austin, TX","16000US4805000","austin-tx"
1,"Management, Business, Science, & Arts Occupations",2013,"2013",51952,1096,"Austin, TX","16000US4805000","austin-tx"
8,"Life, Physical, & Social Science Occupations",2017,"2017",51517,15743,"Austin, TX","16000US4805000","austin-tx"
21,"Law Enforcement Workers Including Supervisors",2015,"2015",51238,8373,"Austin, TX","16000US4805000","austin-tx"
21,"Law Enforcement Workers Including Supervisors",2016,"2016",51114,7653,"Austin, TX","16000US4805000","austin-tx"
4,"Business & Financial Operations Occupations",2014,"2014",50964,2134,"Austin, TX","16000US4805000","austin-tx"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2018,"2018",50636,6018,"Austin, TX","16000US4805000","austin-tx"
21,"Law Enforcement Workers Including Supervisors",2017,"2017",49725,12763,"Austin, TX","16000US4805000","austin-tx"
8,"Life, Physical, & Social Science Occupations",2013,"2013",49502,10173,"Austin, TX","16000US4805000","austin-tx"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2018,"2018",48988,1766,"Austin, TX","16000US4805000","austin-tx"
8,"Life, Physical, & Social Science Occupations",2014,"2014",48768,10231,"Austin, TX","16000US4805000","austin-tx"
19,"Protective Service Occupations",2016,"2016",46684,1572,"Austin, TX","16000US4805000","austin-tx"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2016,"2016",45852,8672,"Austin, TX","16000US4805000","austin-tx"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2017,"2017",45602,1501,"Austin, TX","16000US4805000","austin-tx"
29,"Farming, Fishing, & Forestry Occupations",2013,"2013",45338,45728,"Austin, TX","16000US4805000","austin-tx"
0,"Total",2018,"2018",44624,1865,"Austin, TX","16000US4805000","austin-tx"
12,"Education Instruction, & Library Occupations",2018,"2018",44546,3449,"Austin, TX","16000US4805000","austin-tx"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2017,"2017",44507,6723,"Austin, TX","16000US4805000","austin-tx"
10,"Community & Social Service Occupations",2018,"2018",44223,5124,"Austin, TX","16000US4805000","austin-tx"
26,"Sales & Related Occupations",2018,"2018",44042,3889,"Austin, TX","16000US4805000","austin-tx"
12,"Education Instruction, & Library Occupations",2017,"2017",42612,4501,"Austin, TX","16000US4805000","austin-tx"
8,"Life, Physical, & Social Science Occupations",2016,"2016",42040,5206,"Austin, TX","16000US4805000","austin-tx"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2015,"2015",41815,5557,"Austin, TX","16000US4805000","austin-tx"
0,"Total",2017,"2017",41791,889,"Austin, TX","16000US4805000","austin-tx"
