,Education (No Schooling),Education (High School),Education (GED),Education (Associate's),Education (Bachelor's),Education (Master's),Education (Professional),Education (Doctorate),Zipcode
27315,40.0,2859.0,606.0,1093.0,3750.0,1135.0,112.0,104.0,78610
27318,122.0,5852.0,998.0,3123.0,13532.0,3759.0,781.0,513.0,78613
27322,459.0,2564.0,735.0,503.0,1089.0,118.0,20.0,0.0,78617
27342,328.0,5425.0,1430.0,2635.0,6670.0,1942.0,277.0,226.0,78641
27349,27.0,685.0,46.0,180.0,1049.0,247.0,17.0,3.0,78652
27350,251.0,1981.0,348.0,708.0,1396.0,331.0,196.0,45.0,78653
27356,474.0,7492.0,1332.0,4813.0,10597.0,3218.0,334.0,406.0,78660
27360,506.0,6014.0,1154.0,2495.0,7093.0,2063.0,279.0,233.0,78664
27370,207.0,4036.0,870.0,2650.0,10379.0,4082.0,579.0,496.0,78681
27371,38.0,319.0,40.0,100.0,1788.0,907.0,434.0,280.0,78701
27372,508.0,2706.0,579.0,479.0,2895.0,774.0,137.0,139.0,78702
27373,115.0,595.0,206.0,188.0,6392.0,3402.0,1841.0,717.0,78703
27374,260.0,2952.0,436.0,1594.0,10237.0,3741.0,1397.0,764.0,78704
27375,65.0,275.0,81.0,241.0,1926.0,1214.0,276.0,420.0,78705
27376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78712
27377,28.0,1550.0,197.0,1587.0,5655.0,2501.0,293.0,376.0,78717
27378,22.0,156.0,93.0,20.0,91.0,46.0,39.0,0.0,78719
27379,260.0,1593.0,382.0,266.0,749.0,159.0,47.0,10.0,78721
27380,0.0,492.0,62.0,137.0,1954.0,651.0,101.0,149.0,78722
27381,561.0,3129.0,888.0,708.0,3602.0,1364.0,270.0,254.0,78723
27382,232.0,2638.0,529.0,655.0,828.0,234.0,59.0,18.0,78724
27383,133.0,792.0,145.0,164.0,565.0,143.0,0.0,9.0,78725
27384,0.0,599.0,230.0,679.0,2557.0,1539.0,87.0,240.0,78726
27385,42.0,2326.0,458.0,1103.0,7147.0,2559.0,313.0,405.0,78727
27386,137.0,2326.0,330.0,1361.0,3683.0,1366.0,168.0,139.0,78728
27387,45.0,2754.0,252.0,1343.0,6122.0,1690.0,420.0,170.0,78729
27388,0.0,281.0,68.0,325.0,2200.0,1083.0,337.0,258.0,78730
27389,40.0,1066.0,88.0,748.0,6952.0,3625.0,1810.0,1165.0,78731
27390,0.0,551.0,174.0,318.0,3897.0,1824.0,424.0,260.0,78732
27391,18.0,465.0,68.0,293.0,2034.0,1377.0,536.0,269.0,78733
27392,38.0,1787.0,191.0,574.0,4261.0,1471.0,350.0,307.0,78734
27393,62.0,778.0,110.0,560.0,4854.0,1672.0,701.0,425.0,78735
27394,37.0,776.0,167.0,337.0,1727.0,731.0,79.0,113.0,78736
27395,1.0,884.0,118.0,477.0,3335.0,1302.0,416.0,277.0,78737
27396,2.0,554.0,67.0,412.0,3788.0,1505.0,359.0,108.0,78738
27397,50.0,675.0,50.0,523.0,4569.0,1900.0,594.0,358.0,78739
27398,512.0,4161.0,1020.0,1139.0,3655.0,1294.0,224.0,223.0,78741
27399,5.0,95.0,42.0,5.0,53.0,22.0,0.0,4.0,78742
27400,946.0,4877.0,1320.0,1225.0,2291.0,652.0,220.0,29.0,78744
27401,374.0,6559.0,1458.0,2829.0,9756.0,3007.0,537.0,406.0,78745
27402,7.0,676.0,185.0,637.0,7965.0,3885.0,2025.0,1037.0,78746
27403,152.0,1879.0,488.0,601.0,1869.0,403.0,100.0,100.0,78747
27404,133.0,4341.0,761.0,1972.0,7765.0,2572.0,275.0,238.0,78748
27405,69.0,2405.0,430.0,1500.0,9074.0,3654.0,599.0,637.0,78749
27406,76.0,2313.0,425.0,1144.0,6514.0,2611.0,845.0,892.0,78750
27407,69.0,549.0,175.0,523.0,3262.0,1622.0,218.0,547.0,78751
27408,333.0,1945.0,438.0,551.0,1691.0,830.0,37.0,140.0,78752
27409,1038.0,7005.0,789.0,1628.0,4396.0,1376.0,241.0,202.0,78753
27410,159.0,1480.0,417.0,699.0,2426.0,795.0,83.0,102.0,78754
27411,3.0,478.0,97.0,225.0,2275.0,1180.0,168.0,295.0,78756
27412,111.0,2280.0,376.0,914.0,5140.0,2334.0,519.0,493.0,78757
27413,482.0,4916.0,1197.0,1697.0,6078.0,2188.0,153.0,210.0,78758
27414,19.0,2555.0,412.0,1454.0,11152.0,5081.0,1346.0,1386.0,78759
