,Education (No Schooling),Education (High School),Education (GED),Education (Associate's),Education (Bachelor's),Education (Master's),Education (Professional),Education (Doctorate),Zipcode
26515,40.0,3401.0,717.0,1122.0,3991.0,1428.0,112.0,145.0,78610
26518,95.0,5901.0,1319.0,3464.0,14732.0,5041.0,896.0,578.0,78613
26522,579.0,2953.0,1000.0,584.0,1172.0,243.0,70.0,17.0,78617
26542,527.0,5682.0,1351.0,2955.0,7370.0,2109.0,276.0,288.0,78641
26549,41.0,748.0,68.0,142.0,1370.0,293.0,41.0,29.0,78652
26550,223.0,2205.0,596.0,947.0,1987.0,375.0,118.0,137.0,78653
26556,573.0,8341.0,1623.0,4751.0,12366.0,4562.0,344.0,474.0,78660
26560,637.0,6714.0,1127.0,2792.0,7411.0,2404.0,379.0,283.0,78664
27850,299.0,4365.0,903.0,2481.0,11398.0,4066.0,650.0,497.0,78681
27851,34.0,327.0,13.0,192.0,2049.0,1212.0,386.0,323.0,78701
27852,540.0,2696.0,716.0,425.0,3325.0,1053.0,269.0,134.0,78702
27853,11.0,443.0,78.0,234.0,6822.0,3303.0,1986.0,735.0,78703
27854,227.0,2910.0,551.0,1672.0,11789.0,3844.0,1670.0,1029.0,78704
27855,140.0,309.0,5.0,213.0,2147.0,1100.0,217.0,435.0,78705
27856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78712
27857,35.0,1350.0,549.0,1531.0,6240.0,2813.0,380.0,496.0,78717
27858,27.0,337.0,95.0,48.0,64.0,36.0,0.0,0.0,78719
27859,327.0,1855.0,505.0,306.0,911.0,229.0,59.0,16.0,78721
27860,32.0,422.0,110.0,222.0,2141.0,826.0,136.0,132.0,78722
27861,554.0,3268.0,990.0,976.0,4235.0,1751.0,386.0,382.0,78723
27862,198.0,2897.0,569.0,473.0,980.0,295.0,42.0,82.0,78724
27863,72.0,1182.0,115.0,141.0,638.0,142.0,0.0,8.0,78725
27864,32.0,357.0,309.0,578.0,2887.0,1893.0,197.0,208.0,78726
27865,100.0,2468.0,468.0,1331.0,7234.0,2446.0,349.0,510.0,78727
27866,109.0,2460.0,485.0,1332.0,4175.0,1326.0,200.0,122.0,78728
27867,42.0,2573.0,290.0,1348.0,6059.0,1829.0,390.0,163.0,78729
27868,17.0,253.0,75.0,269.0,2404.0,1199.0,364.0,229.0,78730
27869,62.0,1076.0,150.0,658.0,7787.0,3660.0,1779.0,1105.0,78731
27870,21.0,566.0,156.0,399.0,4017.0,2042.0,427.0,483.0,78732
27871,11.0,513.0,42.0,280.0,2325.0,1265.0,565.0,336.0,78733
27872,13.0,1656.0,248.0,535.0,4325.0,1676.0,289.0,317.0,78734
27873,66.0,864.0,94.0,563.0,4774.0,2037.0,879.0,500.0,78735
27874,34.0,742.0,154.0,211.0,1726.0,853.0,108.0,85.0,78736
27875,1.0,1080.0,126.0,697.0,3620.0,1408.0,456.0,273.0,78737
27876,2.0,687.0,68.0,536.0,4137.0,1513.0,429.0,188.0,78738
27877,63.0,641.0,29.0,577.0,5111.0,2006.0,624.0,419.0,78739
27878,680.0,4688.0,1060.0,1243.0,4556.0,1393.0,247.0,310.0,78741
27879,13.0,74.0,40.0,20.0,46.0,34.0,0.0,4.0,78742
27880,1221.0,5581.0,1285.0,1410.0,2955.0,754.0,133.0,35.0,78744
27881,377.0,7162.0,1860.0,2211.0,10887.0,3384.0,604.0,473.0,78745
27882,17.0,898.0,197.0,620.0,8279.0,3888.0,1869.0,1045.0,78746
27883,313.0,2310.0,639.0,544.0,2560.0,481.0,140.0,136.0,78747
27884,132.0,5015.0,971.0,2068.0,9163.0,3252.0,343.0,255.0,78748
27885,103.0,2248.0,321.0,1448.0,9900.0,4174.0,841.0,821.0,78749
27886,95.0,2528.0,493.0,1324.0,6549.0,2851.0,759.0,698.0,78750
27887,70.0,646.0,199.0,382.0,3599.0,1893.0,370.0,433.0,78751
27888,436.0,2422.0,302.0,383.0,2306.0,921.0,122.0,118.0,78752
27889,1074.0,7081.0,1352.0,1644.0,4811.0,1289.0,268.0,206.0,78753
27890,217.0,2390.0,480.0,955.0,2597.0,1037.0,120.0,139.0,78754
27891,11.0,568.0,173.0,251.0,2308.0,1403.0,248.0,391.0,78756
27892,78.0,2323.0,309.0,1002.0,5774.0,2579.0,437.0,524.0,78757
27893,561.0,5725.0,1167.0,1769.0,6489.0,2137.0,144.0,397.0,78758
27894,67.0,2476.0,468.0,1431.0,11407.0,5571.0,1443.0,1445.0,78759
