78704.0,44889
78745.0,34643
78748.0,31675
78723.0,29773
78703.0,28982
78702.0,28955
78744.0,27871
78757.0,27742
78731.0,27494
78759.0,27343
78701.0,21855
78746.0,21367
78753.0,20172
78754.0,19997
78717.0,19612
78758.0,19467
78747.0,17655
78741.0,16922
78749.0,15673
78739.0,14596
78750.0,13861
78727.0,13740
78705.0,13318
78724.0,12956
78751.0,12595
78660.0,11433
78735.0,10782
78756.0,10121
78721.0,9540
78617.0,9263
78752.0,8970
78730.0,8354
78729.0,7697
78722.0,6526
78726.0,6422
78725.0,5068
78652.0,4694
78732.0,4263
78653.0,4125
78734.0,3994
78736.0,3852
78738.0,3843
78728.0,2842
78733.0,2659
78613.0,1876
78719.0,1339
78737.0,803
78742.0,580
78610.0,32
78712.0,12
78681.0,11
78641.0,11
78669.0,6
78664.0,3
78645.0,3
78714.0,1
78620.0,1
