,Zip,Permits Issued (2008-2018),City,State,Latitude,Longitude,Zillow Rent Index (ZRI),"$200,000 or more",Median Age,Population,Population (White Alone),Population (Black Alone),Population (American Indian or Alaskan Native Alone),Population (Asian Alone),Population (Native Hawaiian and Other Pacific Islander Alone),Population (Two or more races),Household Income,Per Capita Income,Employed,Unemployed,NAME_x,Poverty White,Poverty Black,Poverty American Indian,Poverty Asian,Poverty Hispanic,Poverty Two or More Races,Total Poverty Count,Poverty Male,Poverty Female,NAME_y,Education (No Schooling),Education (High School),Education (GED),Education (Associate's),Education (Bachelor's),Education (Master's),Education (Professional),Education (Doctorate),NAME_x,Median year housing units were built,Median contract rent,Median gross rent (contract rent plus utilities),Median value (dollars) for Owner-Occupied housing units,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status,NAME_y
12,78753.0,20172,Austin,TX,30.374654,-97.67621,1412,64,29.8,52674.0,30289.0,6577.0,449.0,3152.0,30.0,1227.0,38884.0,18115.0,27016.0,2616.0,ZCTA5 78753,8279.0,1750.0,75.0,309.0,0.0,156.0,14184.0,7008.0,7176.0,ZCTA5 78753,967.0,6852.0,1143.0,1645.0,4746.0,1238.0,167.0,186.0,ZCTA5 78753,1985.0,690.0,852.0,135700.0,1323.0,ZCTA5 78753
13,78754.0,19997,Austin,TX,30.354234,-97.64679,1497,61,31.7,15109.0,7339.0,2924.0,33.0,2547.0,0.0,631.0,54896.0,27663.0,8468.0,824.0,ZCTA5 78754,1098.0,131.0,0.0,183.0,0.0,119.0,1736.0,657.0,1079.0,ZCTA5 78754,187.0,2008.0,516.0,698.0,2516.0,902.0,97.0,127.0,ZCTA5 78754,2001.0,848.0,997.0,163000.0,1570.0,ZCTA5 78754
14,78717.0,19612,Austin,TX,30.494622999999997,-97.75686999999999,1729,913,33.6,24099.0,17826.0,965.0,0.0,3997.0,7.0,796.0,93701.0,38401.0,12657.0,707.0,ZCTA5 78717,341.0,0.0,0.0,84.0,0.0,0.0,477.0,126.0,351.0,ZCTA5 78717,58.0,1467.0,471.0,1524.0,5546.0,2455.0,295.0,423.0,ZCTA5 78717,2002.0,894.0,1023.0,247200.0,2201.0,ZCTA5 78717
15,78758.0,19467,Austin,TX,30.384203999999997,-97.70392,1512,139,30.2,45623.0,25632.0,5183.0,155.0,3262.0,36.0,1057.0,43537.0,23608.0,25172.0,2668.0,ZCTA5 78758,5371.0,1687.0,24.0,249.0,0.0,193.0,10952.0,4986.0,5966.0,ZCTA5 78758,562.0,5270.0,1200.0,1690.0,6744.0,2167.0,169.0,200.0,ZCTA5 78758,1983.0,744.0,918.0,146100.0,1330.0,ZCTA5 78758
16,78747.0,17655,Austin,TX,30.132855,-97.76187,1771,142,32.4,15919.0,10747.0,1202.0,326.0,640.0,0.0,560.0,61599.0,27087.0,8050.0,480.0,ZCTA5 78747,845.0,32.0,0.0,210.0,0.0,64.0,1929.0,915.0,1014.0,ZCTA5 78747,201.0,2194.0,434.0,584.0,2354.0,406.0,133.0,118.0,ZCTA5 78747,2002.0,908.0,1104.0,167800.0,1471.0,ZCTA5 78747
17,78741.0,16922,Austin,TX,30.231252,-97.71600000000001,1562,43,26.3,48654.0,28950.0,4890.0,216.0,1776.0,39.0,1610.0,30871.0,16930.0,27187.0,2971.0,ZCTA5 78741,11603.0,1984.0,91.0,924.0,0.0,892.0,20079.0,9556.0,10523.0,ZCTA5 78741,510.0,4525.0,1035.0,1107.0,3866.0,1351.0,225.0,237.0,ZCTA5 78741,1985.0,699.0,851.0,127500.0,1278.0,ZCTA5 78741
18,78749.0,15673,Austin,TX,30.216108000000002,-97.85828000000001,1498,619,36.2,34392.0,28926.0,1200.0,198.0,2364.0,17.0,1061.0,84907.0,39897.0,19549.0,811.0,ZCTA5 78749,1668.0,160.0,2.0,203.0,0.0,46.0,2156.0,1030.0,1126.0,ZCTA5 78749,74.0,2437.0,339.0,1572.0,9571.0,3755.0,725.0,633.0,ZCTA5 78749,1994.0,1008.0,1178.0,237800.0,1828.0,ZCTA5 78749
19,78739.0,14596,Austin,TX,30.17207,-97.87284,1939,1134,36.0,17198.0,14371.0,162.0,148.0,1141.0,0.0,882.0,128597.0,49116.0,7858.0,367.0,ZCTA5 78739,176.0,0.0,0.0,0.0,0.0,0.0,176.0,42.0,134.0,ZCTA5 78739,44.0,687.0,74.0,484.0,4754.0,2002.0,529.0,353.0,ZCTA5 78739,2000.0,1948.0,2001.0,355900.0,2553.0,ZCTA5 78739
20,78750.0,13861,Austin,TX,30.438933000000002,-97.80383,1602,1265,38.9,27012.0,21255.0,907.0,15.0,3097.0,67.0,800.0,76236.0,42397.0,14534.0,1031.0,ZCTA5 78750,1233.0,67.0,0.0,437.0,0.0,43.0,1780.0,769.0,1011.0,ZCTA5 78750,61.0,2264.0,409.0,1082.0,6564.0,2470.0,801.0,761.0,ZCTA5 78750,1986.0,883.0,1063.0,306900.0,2040.0,ZCTA5 78750
21,78727.0,13740,Austin,TX,30.425652000000003,-97.71419,1598,348,32.7,28563.0,20456.0,1991.0,120.0,4461.0,0.0,850.0,69570.0,34953.0,17480.0,984.0,ZCTA5 78727,1650.0,540.0,88.0,348.0,0.0,10.0,2679.0,1116.0,1563.0,ZCTA5 78727,34.0,2392.0,509.0,1212.0,7164.0,2317.0,353.0,426.0,ZCTA5 78727,1992.0,935.0,1117.0,202600.0,1687.0,ZCTA5 78727
22,78705.0,13318,Austin,TX,30.292424,-97.73855999999999,1774,206,20.9,31282.0,23448.0,1295.0,86.0,4622.0,3.0,935.0,12143.0,9791.0,11479.0,1835.0,ZCTA5 78705,9931.0,266.0,55.0,2623.0,0.0,516.0,13638.0,7032.0,6606.0,ZCTA5 78705,98.0,296.0,80.0,242.0,2165.0,1014.0,179.0,418.0,ZCTA5 78705,1980.0,971.0,1088.0,307200.0,2411.0,ZCTA5 78705
23,78724.0,12956,Austin,TX,30.294148,-97.62863,1467,22,26.8,21454.0,12432.0,5953.0,13.0,115.0,0.0,1113.0,38479.0,13452.0,8804.0,809.0,ZCTA5 78724,3469.0,1585.0,0.0,0.0,0.0,722.0,6562.0,3338.0,3224.0,ZCTA5 78724,174.0,2740.0,582.0,683.0,915.0,245.0,18.0,71.0,ZCTA5 78724,1993.0,719.0,947.0,102000.0,1246.0,ZCTA5 78724
24,78751.0,12595,Austin,TX,30.310707,-97.723,1655,227,29.3,14045.0,11794.0,194.0,0.0,808.0,0.0,659.0,39032.0,33636.0,9279.0,908.0,ZCTA5 78751,2720.0,16.0,0.0,159.0,0.0,166.0,3481.0,1368.0,2113.0,ZCTA5 78751,52.0,501.0,189.0,438.0,3468.0,1893.0,277.0,488.0,ZCTA5 78751,1966.0,777.0,876.0,297200.0,2104.0,ZCTA5 78751
25,78660.0,11433,Pflugerville,TX,30.450121999999997,-97.62299999999999,1521,458,32.5,75038.0,50963.0,11004.0,446.0,7595.0,0.0,1656.0,76007.0,28353.0,37967.0,3154.0,ZCTA5 78660,4639.0,2066.0,47.0,842.0,0.0,56.0,8278.0,3851.0,4427.0,ZCTA5 78660,660.0,8068.0,1518.0,4886.0,11731.0,4151.0,282.0,402.0,ZCTA5 78660,2001.0,935.0,1153.0,165700.0,1624.0,ZCTA5 78660
26,78735.0,10782,Austin,TX,30.250760999999997,-97.84469,1802,1169,35.6,17118.0,14736.0,199.0,8.0,1309.0,5.0,367.0,79984.0,51690.0,8791.0,463.0,ZCTA5 78735,803.0,16.0,0.0,0.0,0.0,22.0,841.0,399.0,442.0,ZCTA5 78735,102.0,730.0,96.0,605.0,4952.0,1822.0,766.0,437.0,ZCTA5 78735,1996.0,1026.0,1147.0,373400.0,2685.0,ZCTA5 78735
