Zipcode,Poverty White,Poverty Black,Poverty American Indian,Poverty Asian,Poverty Hispanic,Poverty Two or More Races,Total Poverty Count,Poverty Male,Poverty Female,Year
78610,1603.0,64.0,0.0,0.0,0.0,36.0,2036.0,1157.0,879.0,2012
78613,2574.0,286.0,0.0,196.0,0.0,252.0,3757.0,1562.0,2195.0,2012
78617,1340.0,271.0,183.0,8.0,0.0,33.0,3373.0,1780.0,1593.0,2012
78641,1512.0,118.0,10.0,24.0,0.0,183.0,2065.0,1037.0,1028.0,2012
78652,104.0,4.0,0.0,0.0,0.0,30.0,168.0,104.0,64.0,2012
78653,1049.0,643.0,140.0,0.0,0.0,0.0,2368.0,1087.0,1281.0,2012
78660,4187.0,1723.0,40.0,700.0,0.0,67.0,7248.0,3491.0,3757.0,2012
78664,3081.0,964.0,0.0,371.0,17.0,218.0,5090.0,2641.0,2449.0,2012
78681,2370.0,195.0,152.0,105.0,0.0,51.0,2979.0,1418.0,1561.0,2012
78701,816.0,133.0,0.0,71.0,0.0,17.0,1096.0,564.0,532.0,2012
78702,3386.0,1109.0,85.0,94.0,0.0,172.0,6694.0,3011.0,3683.0,2012
78703,1705.0,45.0,55.0,170.0,0.0,0.0,1991.0,939.0,1052.0,2012
78704,6717.0,658.0,158.0,34.0,0.0,239.0,8472.0,3719.0,4753.0,2012
78705,10139.0,209.0,49.0,2426.0,0.0,330.0,13437.0,6638.0,6799.0,2012
78712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
78717,385.0,0.0,0.0,144.0,0.0,0.0,598.0,230.0,368.0,2012
78719,257.0,0.0,0.0,0.0,0.0,0.0,282.0,90.0,192.0,2012
78721,1700.0,883.0,58.0,22.0,12.0,70.0,3536.0,1422.0,2114.0,2012
78722,624.0,221.0,0.0,22.0,0.0,17.0,1076.0,531.0,545.0,2012
78723,6057.0,2041.0,126.0,128.0,0.0,115.0,8797.0,3920.0,4877.0,2012
78724,3528.0,2038.0,0.0,0.0,0.0,729.0,7745.0,3723.0,4022.0,2012
78725,457.0,363.0,0.0,0.0,0.0,104.0,985.0,457.0,528.0,2012
78726,1017.0,73.0,0.0,0.0,0.0,17.0,1107.0,633.0,474.0,2012
78727,1631.0,861.0,101.0,282.0,0.0,10.0,3089.0,1250.0,1839.0,2012
78728,1920.0,317.0,0.0,335.0,36.0,166.0,2885.0,1411.0,1474.0,2012
78729,1463.0,131.0,0.0,390.0,0.0,92.0,2108.0,861.0,1247.0,2012
78730,281.0,0.0,0.0,34.0,0.0,45.0,360.0,148.0,212.0,2012
78731,1299.0,78.0,0.0,745.0,0.0,59.0,2196.0,846.0,1350.0,2012
78732,467.0,0.0,0.0,16.0,0.0,0.0,483.0,301.0,182.0,2012
78733,207.0,0.0,0.0,0.0,0.0,37.0,255.0,111.0,144.0,2012
78734,1478.0,0.0,0.0,0.0,0.0,0.0,1824.0,881.0,943.0,2012
78735,854.0,0.0,0.0,0.0,0.0,90.0,1031.0,433.0,598.0,2012
78736,164.0,2.0,0.0,100.0,0.0,0.0,266.0,112.0,154.0,2012
78737,319.0,0.0,0.0,14.0,0.0,0.0,335.0,140.0,195.0,2012
78738,365.0,0.0,0.0,9.0,0.0,0.0,374.0,131.0,243.0,2012
78739,211.0,0.0,0.0,0.0,0.0,13.0,224.0,64.0,160.0,2012
78741,9617.0,1826.0,161.0,1188.0,40.0,719.0,19455.0,9154.0,10301.0,2012
78742,102.0,0.0,0.0,0.0,0.0,0.0,336.0,113.0,223.0,2012
78744,5427.0,646.0,27.0,2.0,0.0,380.0,11212.0,5214.0,5998.0,2012
78745,6645.0,446.0,74.0,146.0,0.0,364.0,8722.0,4098.0,4624.0,2012
78746,1098.0,58.0,0.0,122.0,0.0,22.0,1300.0,619.0,681.0,2012
78747,852.0,34.0,360.0,255.0,0.0,74.0,2397.0,1062.0,1335.0,2012
78748,2573.0,487.0,19.0,34.0,0.0,147.0,3615.0,1966.0,1649.0,2012
78749,1497.0,306.0,2.0,220.0,0.0,89.0,2178.0,900.0,1278.0,2012
78750,1374.0,48.0,0.0,353.0,0.0,71.0,1859.0,890.0,969.0,2012
78751,2869.0,17.0,0.0,354.0,0.0,114.0,3714.0,1581.0,2133.0,2012
78752,3686.0,863.0,0.0,77.0,0.0,32.0,5489.0,2726.0,2763.0,2012
78753,7845.0,1698.0,87.0,271.0,0.0,126.0,13770.0,6547.0,7223.0,2012
78754,810.0,319.0,0.0,158.0,0.0,83.0,1538.0,608.0,930.0,2012
78756,537.0,69.0,0.0,42.0,0.0,0.0,742.0,522.0,220.0,2012
78757,2115.0,54.0,0.0,80.0,0.0,16.0,3538.0,1791.0,1747.0,2012
78758,4651.0,2071.0,0.0,94.0,0.0,135.0,10778.0,4739.0,6039.0,2012
78759,1927.0,208.0,0.0,487.0,0.0,23.0,2853.0,1305.0,1548.0,2012
