,Poverty White,Poverty Black,Poverty American Indian,Poverty Asian,Poverty Hispanic,Poverty Two or More Races,Total Poverty Count,Poverty Male,Poverty Female,Zipcode
27477,855.0,61.0,0.0,0.0,0.0,49.0,1070.0,648.0,422.0,78610
27480,2152.0,61.0,0.0,113.0,0.0,72.0,3159.0,1418.0,1741.0,78613
27484,1055.0,285.0,80.0,25.0,0.0,95.0,3498.0,1857.0,1641.0,78617
27504,1464.0,75.0,9.0,0.0,0.0,217.0,1891.0,850.0,1041.0,78641
27511,130.0,1.0,0.0,7.0,0.0,28.0,194.0,116.0,78.0,78652
27512,675.0,332.0,173.0,37.0,0.0,0.0,1794.0,823.0,971.0,78653
27518,3658.0,1913.0,49.0,667.0,0.0,79.0,6883.0,3020.0,3863.0,78660
27522,2380.0,627.0,0.0,258.0,15.0,178.0,4059.0,2119.0,1940.0,78664
27532,1951.0,128.0,195.0,73.0,0.0,29.0,2476.0,1151.0,1325.0,78681
27533,795.0,150.0,0.0,107.0,0.0,32.0,1164.0,653.0,511.0,78701
27534,3034.0,1327.0,91.0,137.0,0.0,160.0,6505.0,2750.0,3755.0,78702
27535,1773.0,66.0,23.0,138.0,0.0,0.0,2011.0,964.0,1047.0,78703
27536,5600.0,695.0,78.0,17.0,0.0,291.0,7595.0,3184.0,4411.0,78704
27537,9837.0,262.0,41.0,2277.0,0.0,283.0,12977.0,6269.0,6708.0,78705
27538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78712
27539,351.0,0.0,0.0,100.0,0.0,0.0,515.0,211.0,304.0,78717
27540,70.0,0.0,0.0,0.0,0.0,0.0,79.0,31.0,48.0,78719
27541,1360.0,855.0,62.0,12.0,11.0,42.0,3707.0,1464.0,2243.0,78721
27542,635.0,158.0,0.0,24.0,0.0,11.0,989.0,442.0,547.0,78722
27543,4730.0,2388.0,138.0,144.0,0.0,87.0,8513.0,3733.0,4780.0,78723
27544,2672.0,1813.0,0.0,0.0,0.0,525.0,6538.0,2974.0,3564.0,78724
27545,222.0,123.0,0.0,52.0,0.0,42.0,571.0,192.0,379.0,78725
27546,541.0,78.0,0.0,0.0,0.0,47.0,666.0,407.0,259.0,78726
27547,1535.0,734.0,63.0,334.0,0.0,8.0,2915.0,1195.0,1720.0,78727
27548,1804.0,258.0,0.0,363.0,32.0,159.0,2671.0,1338.0,1333.0,78728
27549,1779.0,134.0,0.0,294.0,0.0,153.0,2390.0,890.0,1500.0,78729
27550,121.0,0.0,0.0,20.0,0.0,0.0,141.0,93.0,48.0,78730
27551,1519.0,72.0,0.0,722.0,0.0,31.0,2378.0,1030.0,1348.0,78731
27552,545.0,0.0,0.0,67.0,0.0,0.0,612.0,345.0,267.0,78732
27553,209.0,0.0,0.0,0.0,0.0,39.0,276.0,121.0,155.0,78733
27554,963.0,0.0,51.0,0.0,0.0,0.0,1422.0,822.0,600.0,78734
27555,944.0,0.0,0.0,0.0,0.0,41.0,1078.0,503.0,575.0,78735
27556,213.0,2.0,0.0,59.0,0.0,0.0,398.0,175.0,223.0,78736
27557,134.0,0.0,0.0,11.0,0.0,0.0,146.0,60.0,86.0,78737
27558,455.0,0.0,0.0,8.0,0.0,0.0,472.0,185.0,287.0,78738
27559,208.0,0.0,0.0,26.0,0.0,10.0,244.0,119.0,125.0,78739
27560,7231.0,1639.0,45.0,993.0,40.0,410.0,17949.0,8147.0,9802.0,78741
27561,62.0,9.0,0.0,0.0,0.0,0.0,327.0,121.0,206.0,78742
27562,3787.0,660.0,15.0,21.0,0.0,223.0,10339.0,4823.0,5516.0,78744
27563,5688.0,498.0,65.0,129.0,0.0,298.0,8632.0,4193.0,4439.0,78745
27564,992.0,26.0,0.0,134.0,0.0,10.0,1175.0,606.0,569.0,78746
27565,655.0,41.0,266.0,188.0,0.0,80.0,2065.0,953.0,1112.0,78747
27566,2289.0,517.0,70.0,115.0,0.0,71.0,3356.0,1866.0,1490.0,78748
27567,1513.0,379.0,3.0,190.0,0.0,30.0,2166.0,941.0,1225.0,78749
27568,830.0,381.0,0.0,231.0,0.0,71.0,1580.0,834.0,746.0,78750
27569,2745.0,2.0,0.0,582.0,0.0,143.0,3656.0,1532.0,2124.0,78751
27570,3709.0,623.0,0.0,45.0,0.0,85.0,5214.0,2584.0,2630.0,78752
27571,6402.0,1539.0,0.0,358.0,0.0,54.0,11949.0,5457.0,6492.0,78753
27572,593.0,338.0,0.0,157.0,0.0,44.0,1305.0,518.0,787.0,78754
27573,394.0,97.0,2.0,0.0,0.0,0.0,496.0,318.0,178.0,78756
27574,2009.0,52.0,0.0,91.0,0.0,55.0,3428.0,1755.0,1673.0,78757
27575,3490.0,1747.0,34.0,354.0,0.0,258.0,9514.0,4024.0,5490.0,78758
27576,1965.0,193.0,0.0,292.0,0.0,56.0,3162.0,1432.0,1730.0,78759
